Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Reference
283.15,10.34,12.7448,Jones-1963
194.26,13.79,5.8033,Jones-1963
197.04,13.79,5.9861,Jones-1963
199.82,13.79,6.1802,Jones-1963
202.59,13.79,6.3743,Jones-1963
205.37,13.79,6.5683,Jones-1963
210.93,13.79,6.9677,Jones-1963
216.48,13.79,7.3856,Jones-1963
222.04,13.79,7.8186,Jones-1963
227.59,13.79,8.2627,Jones-1963
233.15,13.79,8.7105,Jones-1963
238.71,13.79,9.1584,Jones-1963
244.26,13.79,9.5875,Jones-1963
249.82,13.79,10.0055,Jones-1963
255.37,13.79,10.4048,Jones-1963
260.93,13.79,10.7855,Jones-1963
266.48,13.79,11.1475,Jones-1963
272.04,13.79,11.4983,Jones-1963
277.59,13.79,11.8342,Jones-1963
283.15,13.79,12.1589,Jones-1963
