Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Reference
130.0,5.0,0.5668,van Kasteren-1979  
140.0,5.0,1.1505,van Kasteren-1979  
150.0,5.0,1.7581,van Kasteren-1979  
160.0,5.0,2.3977,van Kasteren-1979  
170.0,5.0,3.0898,van Kasteren-1979  
180.0,5.0,3.8884,van Kasteren-1979  
185.0,5.0,4.369,van Kasteren-1979  
190.0,5.0,5.0348,van Kasteren-1979  
150.0,3.2,0.6101,van Kasteren-1979 
160.0,3.2,1.2694,van Kasteren-1979 
170.0,3.2,1.9975,van Kasteren-1979  
175.0,3.2,2.4354,van Kasteren-1979  
99.82,0.34,0.0,Jones-1963
105.37,0.34,0.2986,Jones-1963
110.93,0.34,0.6009,Jones-1963
116.48,0.34,0.9069,Jones-1963
122.04,0.34,1.2166,Jones-1963
99.82,0.69,0.0,Jones-1963
105.37,0.69,0.2986,Jones-1963
110.93,0.69,0.6009,Jones-1963
116.48,0.69,0.9069,Jones-1963
122.04,0.69,1.2166,Jones-1963
127.59,0.69,1.5339,Jones-1963
133.15,0.69,1.8585,Jones-1963
138.71,0.69,2.1907,Jones-1963
99.82,1.03,0.0,Jones-1963
105.37,1.03,0.2986,Jones-1963
110.93,1.03,0.6009,Jones-1963
116.48,1.03,0.9031,Jones-1963
122.04,1.03,1.2129,Jones-1963
127.59,1.03,1.5301,Jones-1963
133.15,1.03,1.8548,Jones-1963
138.71,1.03,2.187,Jones-1963
144.26,1.03,2.5378,Jones-1963
99.82,1.38,0.0,Jones-1963
105.37,1.38,0.2986,Jones-1963
110.93,1.38,0.5971,Jones-1963
116.48,1.38,0.9031,Jones-1963
122.04,1.38,1.2129,Jones-1963
127.59,1.38,1.5301,Jones-1963
133.15,1.38,1.8548,Jones-1963
138.71,1.38,2.187,Jones-1963
144.26,1.38,2.534,Jones-1963
149.82,1.38,2.8848,Jones-1963
155.37,1.38,3.2506,Jones-1963
99.82,1.72,0.0,Jones-1963
105.37,1.72,0.2986,Jones-1963
110.93,1.72,0.5971,Jones-1963
116.48,1.72,0.9031,Jones-1963
122.04,1.72,1.2129,Jones-1963
127.59,1.72,1.5301,Jones-1963
133.15,1.72,1.8548,Jones-1963
138.71,1.72,2.187,Jones-1963
144.26,1.72,2.5303,Jones-1963
149.82,1.72,2.8811,Jones-1963
155.37,1.72,3.2394,Jones-1963
160.93,1.72,3.6275,Jones-1963
99.82,2.07,0.0,Jones-1963
105.37,2.07,0.2986,Jones-1963
110.93,2.07,0.5971,Jones-1963
116.48,2.07,0.9031,Jones-1963
122.04,2.07,1.2129,Jones-1963
127.59,2.07,1.5301,Jones-1963
133.15,2.07,1.8548,Jones-1963
138.71,2.07,2.187,Jones-1963
144.26,2.07,2.5228,Jones-1963
149.82,2.07,2.8736,Jones-1963
155.37,2.07,3.2319,Jones-1963
160.93,2.07,3.6163,Jones-1963
166.48,2.07,4.0268,Jones-1963
99.82,2.41,0.0037,Jones-1963
105.37,2.41,0.3023,Jones-1963
110.93,2.41,0.6009,Jones-1963
116.48,2.41,0.9069,Jones-1963
122.04,2.41,1.2166,Jones-1963
127.59,2.41,1.5339,Jones-1963
133.15,2.41,1.8548,Jones-1963
138.71,2.41,2.1832,Jones-1963
144.26,2.41,2.5191,Jones-1963
149.82,2.41,2.8699,Jones-1963
155.37,2.41,3.2245,Jones-1963
160.93,2.41,3.6089,Jones-1963
166.48,2.41,4.0044,Jones-1963
99.82,2.76,0.0037,Jones-1963
105.37,2.76,0.3023,Jones-1963
110.93,2.76,0.6009,Jones-1963
116.48,2.76,0.9069,Jones-1963
122.04,2.76,1.2166,Jones-1963
127.59,2.76,1.5339,Jones-1963
133.15,2.76,1.8548,Jones-1963
138.71,2.76,2.1832,Jones-1963
144.26,2.76,2.5191,Jones-1963
149.82,2.76,2.8662,Jones-1963
155.37,2.76,3.2133,Jones-1963
160.93,2.76,3.5977,Jones-1963
166.48,2.76,3.9933,Jones-1963
172.04,2.76,4.4486,Jones-1963
99.82,3.1,0.0037,Jones-1963
105.37,3.1,0.3023,Jones-1963
110.93,3.1,0.6009,Jones-1963
116.48,3.1,0.9069,Jones-1963
122.04,3.1,1.2166,Jones-1963
127.59,3.1,1.5339,Jones-1963
133.15,3.1,1.8548,Jones-1963
138.71,3.1,2.1832,Jones-1963
144.26,3.1,2.5191,Jones-1963
149.82,3.1,2.8662,Jones-1963
155.37,3.1,3.2133,Jones-1963
160.93,3.1,3.5902,Jones-1963
166.48,3.1,3.9858,Jones-1963
172.04,3.1,4.415,Jones-1963
177.59,3.1,4.9188,Jones-1963
99.82,3.45,0.0075,Jones-1963
105.37,3.45,0.306,Jones-1963
110.93,3.45,0.6046,Jones-1963
116.48,3.45,0.9106,Jones-1963
122.04,3.45,1.2204,Jones-1963
127.59,3.45,1.5376,Jones-1963
133.15,3.45,1.8585,Jones-1963
138.71,3.45,2.1795,Jones-1963
144.26,3.45,2.5154,Jones-1963
149.82,3.45,2.855,Jones-1963
155.37,3.45,3.1983,Jones-1963
160.93,3.45,3.5753,Jones-1963
166.48,3.45,3.9709,Jones-1963
172.04,3.45,4.3926,Jones-1963
177.59,3.45,4.8777,Jones-1963
99.82,3.79,0.0112,Jones-1963
105.37,3.79,0.3098,Jones-1963
110.93,3.79,0.6083,Jones-1963
116.48,3.79,0.9143,Jones-1963
122.04,3.79,1.2241,Jones-1963
127.59,3.79,1.5376,Jones-1963
133.15,3.79,1.8585,Jones-1963
138.71,3.79,2.1795,Jones-1963
144.26,3.79,2.5116,Jones-1963
149.82,3.79,2.8475,Jones-1963
155.37,3.79,3.1946,Jones-1963
160.93,3.79,3.5641,Jones-1963
166.48,3.79,3.9559,Jones-1963
172.04,3.79,4.3739,Jones-1963
177.59,3.79,4.8479,Jones-1963
183.15,3.79,5.4375,Jones-1963
99.82,4.14,0.0149,Jones-1963
105.37,4.14,0.3135,Jones-1963
110.93,4.14,0.612,Jones-1963
116.48,4.14,0.9181,Jones-1963
122.04,4.14,1.2278,Jones-1963
127.59,4.14,1.5413,Jones-1963
133.15,4.14,1.8585,Jones-1963
138.71,4.14,2.1795,Jones-1963
144.26,4.14,2.5116,Jones-1963
149.82,4.14,2.8438,Jones-1963
155.37,4.14,3.1909,Jones-1963
160.93,4.14,3.5566,Jones-1963
166.48,4.14,3.9447,Jones-1963
172.04,4.14,4.3515,Jones-1963
177.59,4.14,4.8143,Jones-1963
183.15,4.14,5.3666,Jones-1963
185.93,4.14,5.751,Jones-1963
99.82,4.31,0.0149,Jones-1963
105.37,4.31,0.3135,Jones-1963
110.93,4.31,0.612,Jones-1963
116.48,4.31,0.9181,Jones-1963
122.04,4.31,1.2278,Jones-1963
127.59,4.31,1.5413,Jones-1963
133.15,4.31,1.8585,Jones-1963
138.71,4.31,2.1795,Jones-1963
144.26,4.31,2.5116,Jones-1963
149.82,4.31,2.8438,Jones-1963
155.37,4.31,3.1909,Jones-1963
160.93,4.31,3.5529,Jones-1963
166.48,4.31,3.9373,Jones-1963
172.04,4.31,4.3403,Jones-1963
177.59,4.31,4.8031,Jones-1963
183.15,4.31,5.3405,Jones-1963
185.93,4.31,5.695,Jones-1963
99.82,4.69,0.0224,Jones-1963
105.37,4.69,0.321,Jones-1963
110.93,4.69,0.6195,Jones-1963
116.48,4.69,0.9255,Jones-1963
122.04,4.69,1.2353,Jones-1963
127.59,4.69,1.5451,Jones-1963
133.15,4.69,1.8585,Jones-1963
138.71,4.69,2.1795,Jones-1963
144.26,4.69,2.5116,Jones-1963
149.82,4.69,2.8438,Jones-1963
155.37,4.69,3.1871,Jones-1963
160.93,4.69,3.5417,Jones-1963
166.48,4.69,3.9186,Jones-1963
172.04,4.69,4.3217,Jones-1963
177.59,4.69,4.7732,Jones-1963
183.15,4.69,5.2808,Jones-1963
185.93,4.69,5.5756,Jones-1963
188.71,4.69,5.9787,Jones-1963
190.59,4.69,6.4414,Jones-1963
99.82,4.83,0.0261,Jones-1963
105.37,4.83,0.3247,Jones-1963
110.93,4.83,0.6232,Jones-1963
116.48,4.83,0.9293,Jones-1963
122.04,4.83,1.239,Jones-1963
127.59,4.83,1.5488,Jones-1963
133.15,4.83,1.8623,Jones-1963
138.71,4.83,2.1832,Jones-1963
144.26,4.83,2.5116,Jones-1963
149.82,4.83,2.8438,Jones-1963
155.37,4.83,3.1871,Jones-1963
160.93,4.83,3.5417,Jones-1963
166.48,4.83,3.9186,Jones-1963
172.04,4.83,4.3142,Jones-1963
177.59,4.83,4.7546,Jones-1963
183.15,4.83,5.2584,Jones-1963
185.93,4.83,5.5495,Jones-1963
188.71,4.83,5.9152,Jones-1963
190.59,4.83,6.2548,Jones-1963
99.82,5.52,0.0411,Jones-1963
105.37,5.52,0.3396,Jones-1963
110.93,5.52,0.6382,Jones-1963
116.48,5.52,0.9405,Jones-1963
122.04,5.52,1.2465,Jones-1963
127.59,5.52,1.5562,Jones-1963
133.15,5.52,1.866,Jones-1963
138.71,5.52,2.187,Jones-1963
144.26,5.52,2.5116,Jones-1963
149.82,5.52,2.8438,Jones-1963
155.37,5.52,3.1871,Jones-1963
160.93,5.52,3.5417,Jones-1963
166.48,5.52,3.9111,Jones-1963
172.04,5.52,4.2993,Jones-1963
177.59,5.52,4.721,Jones-1963
183.15,5.52,5.1838,Jones-1963
185.93,5.52,5.4375,Jones-1963
188.71,5.52,5.7361,Jones-1963
190.59,5.52,5.9749,Jones-1963
99.82,6.21,0.0634,Jones-1963
105.37,6.21,0.362,Jones-1963
110.93,6.21,0.6606,Jones-1963
116.48,6.21,0.9629,Jones-1963
122.04,6.21,1.2689,Jones-1963
127.59,6.21,1.5786,Jones-1963
133.15,6.21,1.8884,Jones-1963
138.71,6.21,2.2093,Jones-1963
144.26,6.21,2.534,Jones-1963
149.82,6.21,2.8662,Jones-1963
155.37,6.21,3.2058,Jones-1963
160.93,6.21,3.5566,Jones-1963
166.48,6.21,3.9111,Jones-1963
172.04,6.21,4.2881,Jones-1963
177.59,6.21,4.6986,Jones-1963
183.15,6.21,5.1464,Jones-1963
185.93,6.21,5.3853,Jones-1963
188.71,6.21,5.6577,Jones-1963
190.59,6.21,5.8518,Jones-1963
99.82,6.89,0.0896,Jones-1963
105.37,6.89,0.3881,Jones-1963
110.93,6.89,0.6867,Jones-1963
116.48,6.89,0.989,Jones-1963
122.04,6.89,1.295,Jones-1963
127.59,6.89,1.601,Jones-1963
