# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.929599999999999795e+02	3.400000000000000244e-01	1.092600000000000016e+01	1.093950000000000067e+01	1.099065630194805898e+01
2.970799999999999841e+02	3.400000000000000244e-01	1.106199999999999939e+01	1.107300000000000040e+01	1.113966243073593176e+01
3.238600000000000136e+02	3.400000000000000244e-01	1.191399999999999970e+01	1.192430000000000057e+01	1.199147181349206370e+01
3.505500000000000114e+02	3.400000000000000244e-01	1.273499999999999943e+01	1.274559999999999960e+01	1.278929119642857337e+01
3.781499999999999773e+02	3.400000000000000244e-01	1.356199999999999939e+01	1.356850000000000023e+01	1.354225548611111130e+01
4.058799999999999955e+02	3.400000000000000244e-01	1.436500000000000021e+01	1.437010000000000076e+01	1.425292746428572599e+01
4.338299999999999841e+02	3.400000000000000244e-01	1.514899999999999913e+01	1.515450000000000053e+01	1.527235291702743325e+01
4.618500000000000227e+02	3.400000000000000244e-01	1.591200000000000081e+01	1.591869999999999941e+01	1.604061507774169826e+01
4.901299999999999955e+02	3.400000000000000244e-01	1.666300000000000026e+01	1.666929999999999978e+01	1.647406212626262345e+01
5.188300000000000409e+02	3.400000000000000244e-01	1.739799999999999969e+01	1.741130000000000067e+01	1.769012534632034672e+01
5.426000000000000227e+02	3.400000000000000244e-01	1.799599999999999866e+01	1.801180000000000092e+01	1.790061111201298871e+01
5.653799999999999955e+02	3.400000000000000244e-01	1.856400000000000006e+01	1.857620000000000005e+01	1.844479435010822144e+01
5.940800000000000409e+02	3.400000000000000244e-01	1.926099999999999923e+01	1.927260000000000062e+01	1.914104337445886728e+01
6.233300000000000409e+02	3.400000000000000244e-01	1.995299999999999940e+01	1.996679999999999922e+01	1.918336147145909010e+01
2.919300000000000068e+02	3.400000000000000244e-01	1.089100000000000001e+01	1.090600000000000058e+01	1.094835295328282854e+01
2.964300000000000068e+02	3.400000000000000244e-01	1.102899999999999991e+01	1.105199999999999960e+01	1.110270852994227475e+01
2.890500000000000114e+02	3.400000000000000244e-01	1.081300000000000061e+01	1.081209999999999916e+01	1.089478105390444185e+01
2.965699999999999932e+02	3.400000000000000244e-01	1.104800000000000004e+01	1.105649999999999977e+01	1.108342294047618459e+01
3.234300000000000068e+02	3.400000000000000244e-01	1.188599999999999923e+01	1.191080000000000005e+01	1.200543766738817197e+01
3.506399999999999864e+02	3.400000000000000244e-01	1.272499999999999964e+01	1.274830000000000041e+01	1.278587052182538919e+01
3.782500000000000000e+02	3.400000000000000244e-01	1.355199999999999960e+01	1.357140000000000057e+01	1.355283382431457007e+01
4.060299999999999727e+02	3.400000000000000244e-01	1.435999999999999943e+01	1.437439999999999962e+01	1.425650177164500931e+01
4.340199999999999818e+02	3.400000000000000244e-01	1.514100000000000001e+01	1.515970000000000084e+01	1.526941340313852180e+01
4.617500000000000000e+02	3.400000000000000244e-01	1.590099999999999980e+01	1.591600000000000037e+01	1.603470812103173770e+01
4.901499999999999773e+02	3.400000000000000244e-01	1.664900000000000091e+01	1.666979999999999862e+01	1.647182349999999218e+01
5.187999999999999545e+02	3.400000000000000244e-01	1.740299999999999869e+01	1.741049999999999898e+01	1.768083788888890240e+01
5.423600000000000136e+02	3.400000000000000244e-01	1.798100000000000165e+01	1.800580000000000069e+01	1.787020333116883819e+01
5.651000000000000227e+02	3.400000000000000244e-01	1.854400000000000048e+01	1.856929999999999836e+01	1.848330553427128820e+01
5.938400000000000318e+02	3.400000000000000244e-01	1.923900000000000077e+01	1.926689999999999969e+01	1.914351677831890441e+01
6.230499999999999545e+02	3.400000000000000244e-01	1.993400000000000105e+01	1.996020000000000039e+01	1.919521868650794261e+01
2.904100000000000250e+02	3.400000000000000244e-01	1.083300000000000018e+01	1.085650000000000048e+01	1.088320678712955214e+01
2.107599999999999909e+02	0.000000000000000000e+00	8.080000000000000071e+00	8.075350000000000250e+00	1.079498188690476645e+01
2.258100000000000023e+02	0.000000000000000000e+00	8.621999999999999886e+00	8.613369999999999749e+00	8.868120599747468802e+00
2.482500000000000000e+02	0.000000000000000000e+00	9.407999999999999474e+00	9.397270000000000678e+00	9.543829073565317955e+00
2.731600000000000250e+02	0.000000000000000000e+00	1.025399999999999956e+01	1.024189999999999934e+01	1.028210043722944178e+01
2.981399999999999864e+02	0.000000000000000000e+00	1.107499999999999929e+01	1.106259999999999977e+01	1.106430743975469078e+01
2.981499999999999773e+02	0.000000000000000000e+00	1.107300000000000040e+01	1.106290000000000084e+01	1.110032814880953111e+01
2.981499999999999773e+02	0.000000000000000000e+00	1.107499999999999929e+01	1.106290000000000084e+01	1.109971489087302210e+01
3.132200000000000273e+02	0.000000000000000000e+00	1.155700000000000038e+01	1.154579999999999984e+01	1.138755983531747518e+01
3.315500000000000114e+02	0.000000000000000000e+00	1.213199999999999967e+01	1.212139999999999951e+01	1.250386711507936965e+01
3.525699999999999932e+02	0.000000000000000000e+00	1.277500000000000036e+01	1.276600000000000001e+01	1.278145958134920690e+01
3.711899999999999977e+02	0.000000000000000000e+00	1.332900000000000063e+01	1.332399999999999984e+01	1.341773125595236493e+01
3.915400000000000205e+02	0.000000000000000000e+00	1.392300000000000004e+01	1.392050000000000054e+01	1.391607939285715467e+01
3.915500000000000114e+02	0.000000000000000000e+00	1.392300000000000004e+01	1.392079999999999984e+01	1.391607939285715467e+01
2.107599999999999909e+02	1.000000000000000056e-01	8.067000000000000171e+00	8.088309999999999889e+00	1.075094850793650281e+01
2.258100000000000023e+02	1.000000000000000056e-01	8.608999999999999986e+00	8.626689999999999969e+00	9.079343053571426125e+00
2.482500000000000000e+02	1.000000000000000056e-01	9.394999999999999574e+00	9.410709999999999908e+00	9.730902047799425247e+00
2.731600000000000250e+02	1.000000000000000056e-01	1.024200000000000088e+01	1.025510000000000055e+01	1.042030332088743805e+01
2.981399999999999864e+02	1.000000000000000056e-01	1.106400000000000006e+01	1.107549999999999990e+01	1.107335861435787194e+01
2.981499999999999773e+02	1.000000000000000056e-01	1.106099999999999994e+01	1.107579999999999920e+01	1.110851221356421803e+01
2.981499999999999773e+02	1.000000000000000056e-01	1.106400000000000006e+01	1.107579999999999920e+01	1.110767892135642754e+01
3.132200000000000273e+02	1.000000000000000056e-01	1.154599999999999937e+01	1.155840000000000067e+01	1.137011055555555394e+01
3.315500000000000114e+02	1.000000000000000056e-01	1.212100000000000044e+01	1.213359999999999950e+01	1.249837122023809854e+01
3.525699999999999932e+02	1.000000000000000056e-01	1.276399999999999935e+01	1.277779999999999916e+01	1.277738233225107756e+01
3.711899999999999977e+02	1.000000000000000056e-01	1.331900000000000084e+01	1.333539999999999992e+01	1.336860538690476830e+01
3.915400000000000205e+02	1.000000000000000056e-01	1.391399999999999970e+01	1.393159999999999954e+01	1.388457717460316942e+01
3.915500000000000114e+02	1.000000000000000056e-01	1.391399999999999970e+01	1.393190000000000062e+01	1.388457717460316942e+01
2.600000000000000000e+02	1.000000000000000056e-01	9.814999999999999503e+00	9.812369999999999592e+00	9.982104757936514972e+00
2.600000000000000000e+02	2.000000000000000111e-01	9.836000000000000298e+00	9.826060000000000016e+00	9.872671882936518983e+00
2.600000000000000000e+02	2.999999999999999889e-01	9.851000000000000867e+00	9.840099999999999625e+00	9.865847469336220144e+00
2.600000000000000000e+02	4.000000000000000222e-01	9.865000000000000213e+00	9.854469999999999175e+00	9.866548663961037136e+00
