# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.800000000000000000e+02	3.200000000000000178e+00	7.157000000000000028e+00	8.670930000000000248e+00	1.076008889827605586e+01
1.850000000000000000e+02	3.200000000000000178e+00	7.581699999999999662e+00	9.097229999999999706e+00	1.085138153262947114e+01
1.900000000000000000e+02	3.200000000000000178e+00	7.924500000000000099e+00	9.432550000000000878e+00	1.094246778093304329e+01
2.000000000000000000e+02	3.200000000000000178e+00	8.508300000000000196e+00	9.995900000000000674e+00	1.112861616385026586e+01
2.100000000000000000e+02	3.200000000000000178e+00	8.974099999999999966e+00	1.048949999999999960e+01	1.131486804071414376e+01
3.387099999999999795e+02	3.450000000000000178e+00	4.254000000000000004e-01	1.566549999999999976e+01	1.405809835998200619e+01
2.942599999999999909e+02	3.450000000000000178e+00	5.661000000000000476e-01	1.390900000000000070e+01	1.303576534411735821e+01
3.109300000000000068e+02	3.450000000000000178e+00	4.993000000000000216e-01	1.456509999999999927e+01	1.340614681615858927e+01
3.275899999999999750e+02	3.450000000000000178e+00	4.552999999999999825e-01	1.522330000000000005e+01	1.379782818350327922e+01
3.442599999999999909e+02	3.450000000000000178e+00	4.190999999999999726e-01	1.588739999999999952e+01	1.418681110034437332e+01
3.609300000000000068e+02	3.450000000000000178e+00	3.803000000000000269e-01	1.655930000000000035e+01	1.459492548120915956e+01
3.775899999999999750e+02	3.450000000000000178e+00	3.512000000000000122e-01	1.724060000000000059e+01	1.501835744880230017e+01
9.981999999999999318e+01	0.000000000000000000e+00	8.449299999999999145e+00	7.901449999999999640e+00	9.315093621879952934e+00
1.053700000000000045e+02	0.000000000000000000e+00	8.632099999999999440e+00	8.086130000000000706e+00	9.414153589402568301e+00
1.109300000000000068e+02	0.000000000000000000e+00	8.818699999999999761e+00	8.271160000000000068e+00	9.512867532439781115e+00
1.164800000000000040e+02	0.000000000000000000e+00	9.001599999999999824e+00	8.455859999999999488e+00	9.610890107251305992e+00
1.220400000000000063e+02	0.000000000000000000e+00	9.184499999999999886e+00	8.640900000000000247e+00	9.709804596600271509e+00
1.275900000000000034e+02	0.000000000000000000e+00	9.367300000000000182e+00	8.825620000000000687e+00	9.809342113552627751e+00
1.331500000000000057e+02	0.000000000000000000e+00	9.553900000000000503e+00	9.010690000000000310e+00	9.909148978128174079e+00
1.387100000000000080e+02	0.000000000000000000e+00	9.736800000000000566e+00	9.195790000000000575e+00	1.000893287654742814e+01
1.442599999999999909e+02	0.000000000000000000e+00	9.919700000000000628e+00	9.380570000000000519e+00	1.010908652808422659e+01
1.498199999999999932e+02	0.000000000000000000e+00	1.010260000000000069e+01	9.565720000000000667e+00	1.020958237898939203e+01
1.553700000000000045e+02	0.000000000000000000e+00	1.028919999999999924e+01	9.750569999999999737e+00	1.031044189374917508e+01
1.609300000000000068e+02	0.000000000000000000e+00	1.047199999999999953e+01	9.935810000000000031e+00	1.041114099660463133e+01
1.664799999999999898e+02	0.000000000000000000e+00	1.065489999999999959e+01	1.012079999999999913e+01	1.051199439133835689e+01
1.720399999999999920e+02	0.000000000000000000e+00	1.083779999999999966e+01	1.030620000000000047e+01	1.061326485543424525e+01
1.775900000000000034e+02	0.000000000000000000e+00	1.102439999999999998e+01	1.049140000000000050e+01	1.071426858236435464e+01
1.831500000000000057e+02	0.000000000000000000e+00	1.120720000000000027e+01	1.067699999999999960e+01	1.081570200871906096e+01
1.859300000000000068e+02	0.000000000000000000e+00	1.130049999999999955e+01	1.076989999999999981e+01	1.086639678675708254e+01
1.887100000000000080e+02	0.000000000000000000e+00	1.139380000000000059e+01	1.086280000000000001e+01	1.091716192024328791e+01
1.905900000000000034e+02	0.000000000000000000e+00	1.145730000000000004e+01	1.092559999999999931e+01	1.095147257483935199e+01
1.942599999999999909e+02	0.000000000000000000e+00	1.158039999999999914e+01	1.104840000000000089e+01	1.101851194457572802e+01
1.970399999999999920e+02	0.000000000000000000e+00	1.167370000000000019e+01	1.114150000000000063e+01	1.106927252532017114e+01
1.998199999999999932e+02	0.000000000000000000e+00	1.176699999999999946e+01	1.123460000000000036e+01	1.112002224708908926e+01
2.025900000000000034e+02	0.000000000000000000e+00	1.186030000000000051e+01	1.132750000000000057e+01	1.117058936643083200e+01
2.053700000000000045e+02	0.000000000000000000e+00	1.195359999999999978e+01	1.142070000000000007e+01	1.122136205070007264e+01
2.109300000000000068e+02	0.000000000000000000e+00	1.214020000000000010e+01	1.160749999999999993e+01	1.132282521520074603e+01
2.164799999999999898e+02	0.000000000000000000e+00	1.232680000000000042e+01	1.179429999999999978e+01	1.142397865798773893e+01
2.220399999999999920e+02	0.000000000000000000e+00	1.251340000000000074e+01	1.198179999999999978e+01	1.152528500258843636e+01
2.275900000000000034e+02	0.000000000000000000e+00	1.269999999999999929e+01	1.216929999999999978e+01	1.162636761515032013e+01
2.331500000000000057e+02	0.000000000000000000e+00	1.288659999999999961e+01	1.235779999999999923e+01	1.172751183028987754e+01
2.387100000000000080e+02	0.000000000000000000e+00	1.307319999999999993e+01	1.254669999999999952e+01	1.182837337603465322e+01
2.442599999999999909e+02	0.000000000000000000e+00	1.325980000000000025e+01	1.273590000000000089e+01	1.192910713161890968e+01
2.498199999999999932e+02	0.000000000000000000e+00	1.345020000000000060e+01	1.292600000000000016e+01	1.202960589922032852e+01
2.553700000000000045e+02	0.000000000000000000e+00	1.364049999999999940e+01	1.311660000000000004e+01	1.212972588854636946e+01
2.609300000000000068e+02	0.000000000000000000e+00	1.383079999999999998e+01	1.330819999999999936e+01	1.223025344894063693e+01
2.664800000000000182e+02	0.000000000000000000e+00	1.402120000000000033e+01	1.350019999999999953e+01	1.232986327997913989e+01
2.720400000000000205e+02	0.000000000000000000e+00	1.421519999999999939e+01	1.369350000000000023e+01	1.242942249715753000e+01
2.775899999999999750e+02	0.000000000000000000e+00	1.440930000000000000e+01	1.388729999999999976e+01	1.252866740725538364e+01
2.831499999999999773e+02	0.000000000000000000e+00	1.460340000000000060e+01	1.408239999999999981e+01	1.262780269941733202e+01
1.275900000000000034e+02	3.400000000000000244e-01	1.533900000000000041e+00	9.115229999999999722e-01	9.905550843971649755e+00
1.331500000000000057e+02	3.400000000000000244e-01	9.359899999999999665e+00	8.768509999999999138e+00	9.869771718753090894e+00
1.387100000000000080e+02	3.400000000000000244e-01	9.546499999999999986e+00	8.975479999999999237e+00	9.972295392935411229e+00
1.442599999999999909e+02	3.400000000000000244e-01	9.733100000000000307e+00	9.178520000000000678e+00	1.007432507631489926e+01
1.498199999999999932e+02	3.400000000000000244e-01	9.927099999999999369e+00	9.379250000000000753e+00	1.017649910504067812e+01
1.553700000000000045e+02	3.400000000000000244e-01	1.012119999999999997e+01	9.577540000000000830e+00	1.027927256265444811e+01
1.609300000000000068e+02	3.400000000000000244e-01	1.031530000000000058e+01	9.774530000000000385e+00	1.038216195023257349e+01
1.664799999999999898e+02	3.400000000000000244e-01	1.050929999999999964e+01	9.969839999999999591e+00	1.048491758061568646e+01
