 ======== AdaboostLassoCV10 ========
Liquid Phase
Liquid Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,17.0%,15.165,3172.584,56.326,0.063
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,17.0%,11.371,192.144,13.862,0.300

Vapor Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,75.0%,51.487,19611.879,140.042,0.020
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,73.0%,34.083,1954.496,44.210,-0.770

Supercritical Phase - BaggingRegressorRidge
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,44.0%,31.656,3827.770,61.869,0.195
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,44.0%,31.725,3806.754,61.699,0.173


 ======== DecisionTreeCV10 ========
Liquid Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,7.206,2950.865,54.322,0.129
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,4.0%,3.299,80.514,8.973,0.707

Vapor Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,46.0%,41.176,22616.917,150.389,-0.130
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,44.0%,23.660,3845.940,62.016,-2.483

Supercritical Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,14.0%,17.399,2448.954,49.487,0.485
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,16.0%,17.811,2464.011,49.639,0.465


 ======== DecisionTreeCVLOO ========
Liquid Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,7.491,3515.576,59.292,-0.038
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,4.0%,3.656,641.389,25.326,-1.338

Vapor Phase - DecisionTree
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,5.786,1032.024,32.125,0.948
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,20.0%,19.989,14382.448,119.927,-12.025
