# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
2.528329999999999984e+02	4.589699999999999669e+00	2.352697824479139943e-02	2.444059999999999983e-02	9.505574379326791473e-03
2.033990000000000009e+02	4.855900000000000105e+00	2.453817438141960017e-02	1.330970000000000070e-02	6.961577800613211187e-03
2.733799999999999955e+02	5.105800000000000338e+00	2.447363572696580059e-02	2.446169999999999942e-02	1.047410648163397962e-02
2.085740000000000123e+02	6.027000000000000135e+00	9.648704561066100832e-03	9.682480000000000253e-03	7.057891782636647494e-03
2.232340000000000089e+02	7.234600000000000364e+00	9.655129957856100134e-03	9.669540000000000773e-03	7.629909799119226343e-03
2.344399999999999977e+02	8.143299999999999983e+00	9.659917205236000573e-03	9.668740000000000320e-03	8.069195410947473460e-03
2.437330000000000041e+02	8.891299999999999315e+00	9.664559380367199193e-03	9.667989999999999570e-03	8.434279981513859159e-03
2.437729999999999961e+02	8.893900000000000361e+00	9.664559380367199193e-03	9.668909999999999311e-03	8.435939279008194958e-03
2.513760000000000048e+02	9.501799999999999358e+00	9.668306321181199467e-03	9.669409999999999811e-03	8.735207749459478893e-03
2.621899999999999977e+02	1.035050000000000026e+01	9.672956564710599378e-03	9.683419999999999875e-03	9.163126918259522843e-03
2.721549999999999727e+02	1.114780000000000015e+01	9.677611283723099728e-03	9.673460000000000045e-03	9.555290813643303044e-03
2.721850000000000023e+02	1.114939999999999998e+01	9.677611283723099728e-03	9.674260000000000498e-03	9.556584914091567975e-03
1.910320000000000107e+02	4.614499999999999602e+00	8.618092043360300533e-03	8.485799999999999940e-03	6.368812673528136646e-03
1.933249999999999886e+02	4.833599999999999675e+00	8.621071360538799452e-03	8.702980000000000785e-03	6.453998638308639305e-03
1.977369999999999948e+02	5.272199999999999775e+00	8.622502164592900711e-03	8.674730000000000288e-03	6.615492235183111427e-03
2.027529999999999859e+02	5.762699999999999712e+00	8.624768575897100512e-03	8.657579999999999790e-03	6.800248968737076724e-03
2.032239999999999895e+02	6.290899999999999714e+00	8.627036178960000717e-03	6.701050000000000062e-03	6.749233443133047933e-03
2.121649999999999920e+02	6.668899999999999828e+00	8.628468963776699321e-03	8.642459999999999379e-03	7.148935161251801333e-03
2.171359999999999957e+02	7.142100000000000115e+00	8.630738513306899368e-03	8.640099999999999517e-03	7.333863450361729173e-03
2.229259999999999877e+02	7.690900000000000070e+00	8.632889714454000663e-03	8.637459999999999583e-03	7.549594669440219154e-03
2.300500000000000114e+02	8.361399999999999721e+00	8.635879273447499838e-03	8.637680000000000011e-03	7.815702145127336256e-03
2.373360000000000127e+02	9.043200000000000571e+00	8.638870903719500158e-03	8.639020000000000726e-03	8.088420595545989938e-03
2.427090000000000032e+02	9.543400000000000105e+00	8.641145929322000679e-03	8.640800000000000564e-03	8.289901465117054807e-03
2.484439999999999884e+02	1.007569999999999943e+01	8.643422153485099194e-03	8.642449999999999438e-03	8.505183816449655640e-03
2.501939999999999884e+02	1.023760000000000048e+01	8.644141210275799528e-03	8.643150000000000485e-03	8.570950779484951335e-03
2.534449999999999932e+02	1.053780000000000072e+01	8.645579682832400456e-03	8.644580000000000666e-03	8.693206969034706841e-03
2.536419999999999959e+02	1.101720000000000077e+01	8.647858243754200439e-03	8.185619999999999355e-03	8.635219400964721029e-03
2.630500000000000114e+02	1.142290000000000028e+01	8.649417951258000711e-03	8.647449999999999234e-03	9.054669876057136121e-03
2.683009999999999877e+02	1.190489999999999959e+01	8.651578475301799701e-03	8.649070000000000022e-03	9.252546095852031555e-03
2.731709999999999923e+02	1.236040000000000028e+01	8.653860199726899280e-03	8.642830000000000651e-03	9.434863516765456745e-03
1.910320000000000107e+02	4.657899999999999707e+00	6.896170484809599661e-03	7.105710000000000325e-03	6.362658884916673994e-03
1.915509999999999877e+02	4.731799999999999784e+00	6.337718781221099960e-03	6.773580000000000399e-03	6.378493179592812680e-03
1.929379999999999882e+02	4.928200000000000358e+00	6.338105368922800423e-03	6.510540000000000424e-03	6.420964590461855984e-03
1.952429999999999950e+02	5.256300000000000416e+00	6.338943137423299831e-03	6.402309999999999598e-03	6.491303574824025535e-03
1.975620000000000118e+02	5.586999999999999744e+00	6.339329874510400177e-03	6.373979999999999577e-03	6.561983684213511768e-03
2.004110000000000014e+02	5.997700000000000031e+00	6.340103490269999656e-03	6.347359999999999808e-03	6.648190843208223733e-03
2.028290000000000077e+02	6.341700000000000337e+00	6.340941787110699647e-03	6.352759999999999831e-03	6.722004309315141382e-03
2.063700000000000045e+02	6.850299999999999834e+00	6.342167389026799607e-03	6.348290000000000356e-03	6.829413663042111123e-03
2.135029999999999859e+02	7.877100000000000435e+00	6.344168072745699945e-03	6.344289999999999825e-03	7.045456809791577832e-03
