Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
150.000	1.02600	16.0487	0.0623102	7.89338	8.91900	61.5603	28.3397	46.2620	286.602	17.8243	5.82487	0.0182785	vapor
155.000	1.07440	16.0429	0.0623330	8.03358	9.10798	62.4823	27.7308	44.4864	294.067	16.4763	6.06453	0.0186855	vapor
160.000	1.12220	16.0382	0.0623511	8.17134	9.29387	63.3591	27.3508	43.2511	301.175	15.3267	6.29269	0.0191392	vapor
165.000	1.16960	16.0351	0.0623633	8.30748	9.47764	64.1983	27.0842	42.3083	308.014	14.3222	6.51332	0.0196279	vapor
170.000	1.21650	16.0302	0.0623824	8.44249	9.65995	65.0066	26.8808	41.5445	314.634	13.4307	6.72834	0.0201438	vapor
175.000	1.26320	16.0273	0.0623935	8.57654	9.84096	65.7850	26.7188	40.9076	321.057	12.6314	6.93887	0.0206835	vapor
180.000	1.30960	16.0242	0.0624056	8.70986	10.0210	66.5376	26.5872	40.3658	327.307	11.9095	7.14557	0.0212459	vapor
185.000	1.35590	16.0231	0.0624098	8.84255	10.2001	67.2652	26.4805	39.9017	333.393	11.2539	7.34899	0.0218368	vapor
190.000	1.40200	16.0222	0.0624136	8.97475	10.3786	67.9708	26.3951	39.5015	339.330	10.6556	7.54945	0.0225018	vapor
195.000	1.44790	16.0210	0.0624180	9.10658	10.5564	68.6562	26.3286	39.1557	345.128	10.1074	7.74725	0.0229369	vapor
200.000	1.49370	16.0207	0.0624193	9.23810	10.7339	69.3223	26.2795	38.8573	350.793	9.60305	7.94262	0.0234559	vapor
205.000	1.53940	16.0209	0.0624186	9.36940	10.9109	69.9707	26.2463	38.6004	356.332	9.13750	8.13576	0.0240023	vapor
210.000	1.58510	16.0225	0.0624124	9.50055	11.0877	70.6020	26.2279	38.3806	361.751	8.70633	8.32682	0.0245628	vapor
215.000	1.63060	16.0231	0.0624100	9.63166	11.2643	71.2187	26.2235	38.1931	367.059	8.30574	8.51589	0.0251326	vapor
220.000	1.67610	16.0247	0.0624036	9.76276	11.4408	71.8207	26.2323	38.0354	372.256	7.93248	8.70312	0.0257099	vapor
225.000	1.72150	16.0262	0.0623977	9.89394	11.6172	72.4096	26.2538	37.9045	377.350	7.58374	8.88857	0.0262937	vapor
230.000	1.76680	16.0275	0.0623927	10.0253	11.7937	72.9862	26.2873	37.7981	382.343	7.25709	9.07231	0.0268836	vapor
235.000	1.81200	16.0286	0.0623887	10.1568	11.9704	73.5515	26.3325	37.7142	387.240	6.95041	9.25442	0.0274794	vapor
240.000	1.85720	16.0302	0.0623822	10.2886	12.1472	74.1055	26.3891	37.6516	392.043	6.66185	9.43497	0.0280812	vapor
245.000	1.90230	16.0315	0.0623773	10.4206	12.3243	74.6496	26.4566	37.6085	396.757	6.38979	9.61399	0.0286890	vapor
250.000	1.94740	16.0332	0.0623704	10.5531	12.5016	75.1839	26.5348	37.5840	401.383	6.13281	9.79155	0.0293032	vapor
255.000	1.99240	16.0345	0.0623654	10.6860	12.6794	75.7094	26.6233	37.5767	405.925	5.88965	9.96766	0.0299238	vapor
260.000	2.03730	16.0354	0.0623620	10.8193	12.8575	76.2269	26.7220	37.5857	410.386	5.65922	10.1424	0.0305510	vapor
265.000	2.08220	16.0366	0.0623573	10.9531	13.0362	76.7362	26.8305	37.6103	414.768	5.44053	10.3157	0.0311852	vapor
270.000	2.12710	16.0382	0.0623513	11.0876	13.2153	77.2380	26.9487	37.6498	419.074	5.23270	10.4878	0.0318266	vapor
170.000	2.06160	31.9526	0.0312964	8.06087	9.09596	58.1538	29.4975	57.6939	288.192	14.3817	6.93024	0.0233859	vapor
175.000	2.16630	31.9476	0.0313013	8.20670	9.29453	59.0002	28.8367	54.4536	296.437	13.3760	7.18638	0.0237117	vapor
180.000	2.26970	31.9473	0.0313015	8.34972	9.48948	59.8061	28.3924	52.0947	304.264	12.4909	7.42745	0.0241217	vapor
165.000	2.37210	326.084	0.00306670	3.19984	3.31655	23.3951	30.4895	74.4416	744.205	0.272071	43.0291	0.108973	liquid
130.000	2.47370	396.896	0.00251955	0.992221	1.09221	8.28366	31.8520	57.8963	1175.79	-0.330394	84.0528	0.160585	liquid
195.000	2.57450	31.9579	0.0312911	8.76885	10.0612	62.0409	27.6155	47.5585	326.010	10.3642	8.09765	0.0254197	vapor
200.000	2.67480	31.9641	0.0312851	8.90638	10.2489	62.7360	27.4530	46.5226	332.804	9.78711	8.30901	0.0258090	vapor
205.000	2.77460	31.9710	0.0312783	9.04316	10.4354	63.4101	27.3219	45.6384	339.404	9.26063	8.51588	0.0262736	vapor
210.000	2.87390	31.9777	0.0312718	9.17936	10.6212	64.0651	27.2178	44.8778	345.827	8.77810	8.71879	0.0267750	vapor
215.000	2.97290	31.9861	0.0312636	9.31508	10.8062	64.7020	27.1379	44.2213	352.082	8.33406	8.91825	0.0272999	vapor
220.000	3.07150	31.9941	0.0312557	9.45046	10.9906	65.3227	27.0798	43.6521	358.181	7.92394	9.11456	0.0278414	vapor
225.000	3.16980	32.0025	0.0312476	9.58559	11.1746	65.9282	27.0417	43.1583	364.132	7.54388	9.30803	0.0283960	vapor
230.000	3.26770	32.0096	0.0312406	9.72061	11.3583	66.5202	27.0221	42.7295	369.943	7.19060	9.49885	0.0289613	vapor
235.000	3.36540	32.0174	0.0312330	9.85556	11.5418	67.0989	27.0198	42.3583	375.620	6.86128	9.68730	0.0295365	vapor
240.000	3.46290	32.0257	0.0312250	9.99054	11.7252	67.6653	27.0337	42.0379	381.170	6.55349	9.87353	0.0301206	vapor
245.000	3.56010	32.0329	0.0312179	10.1256	11.9086	68.2208	27.0629	41.7624	386.600	6.26514	10.0576	0.0307130	vapor
250.000	3.65700	32.0392	0.0312118	10.2609	12.0921	68.7661	27.1065	41.5272	391.914	5.99441	10.2398	0.0313135	vapor
255.000	3.75370	32.0452	0.0312059	10.3965	12.2757	69.3016	27.1637	41.3284	397.116	5.73968	10.4200	0.0319220	vapor
260.000	3.85020	32.0509	0.0312003	10.5324	12.4596	69.8280	27.2340	41.1629	402.213	5.49955	10.5985	0.0325385	vapor
265.000	3.94650	32.0563	0.0311952	10.6687	12.6437	70.3460	27.3167	41.0275	407.207	5.27281	10.7753	0.0331631	vapor
270.000	4.04260	32.0611	0.0311905	10.8054	12.8282	70.8560	27.4112	40.9198	412.104	5.05835	10.9504	0.0337957	vapor
172.527	2.46600	40.9588	0.0244148	7.92066	8.88654	55.8827	31.1975	72.0863	278.411	14.2386	7.20136	0.0259542	vapor
174.691	2.52830	40.9666	0.0244101	7.98736	8.97746	56.2658	30.6424	68.8327	282.522	13.7738	7.33064	0.0260094	vapor
177.203	2.59940	40.9641	0.0244116	8.06373	9.08173	56.7002	30.1323	65.7581	287.133	13.2656	7.47230	0.0261083	vapor
183.176	2.76660	40.9788	0.0244029	8.24068	9.32378	57.6803	29.2988	60.4742	297.479	12.1796	7.78509	0.0264995	vapor
190.532	2.96760	40.9699	0.0244081	8.45387	9.61591	58.8228	28.6608	56.1081	309.423	11.0387	8.13935	0.0275366	vapor
191.849	3.00380	40.9798	0.0244023	8.49135	9.66728	59.0174	28.5740	55.4935	311.472	10.8539	8.20061	0.0271923	vapor
203.084	3.30480	40.9730	0.0244063	8.80909	10.1031	60.6281	28.0120	51.3487	328.290	9.46730	8.69874	0.0276473	vapor
213.041	3.56720	40.9631	0.0244122	9.08654	10.4836	61.9634	27.6992	48.8368	342.225	8.46555	9.11520	0.0285317	vapor
217.864	3.69310	40.9573	0.0244157	9.21997	10.6665	62.5837	27.5921	47.8760	348.693	8.03973	9.31051	0.0290092	vapor
223.831	3.84610	40.9250	0.0244349	9.38491	10.8926	63.3359	27.4919	46.8523	356.480	7.55770	9.54648	0.0296239	vapor
233.546	4.09900	40.9473	0.0244216	9.65108	11.2570	64.4962	27.4019	45.5468	368.603	6.86127	9.92338	0.0306851	vapor
239.797	4.25900	40.9393	0.0244264	9.82244	11.4914	65.2217	27.3832	44.8694	376.112	6.46267	10.1596	0.0313896	vapor
252.833	4.58970	40.9155	0.0244406	10.1800	11.9796	66.6779	27.4321	43.7873	391.079	5.73230	10.6399	0.0329105	vapor
203.399	4.85590	75.1333	0.0133097	8.15826	9.19512	53.9258	30.4737	84.9813	304.549	8.94064	10.0518	0.0357989	supercritical
273.380	5.10580	40.8802	0.0244617	10.7468	12.7505	68.8392	27.7148	42.7528	412.981	4.79542	11.3694	0.0354379	supercritical
190.429	4.47200	101.805	0.00982270	7.22997	7.93468	47.8554	38.3557	344.914	257.297	9.70068	10.7048	0.0637529	vapor
190.532	4.48140	101.857	0.00981765	7.23292	7.93876	47.8690	38.2774	340.569	257.611	9.68381	10.7162	0.0643232	vapor
208.574	6.02700	103.279	0.00968248	7.81969	8.75588	50.7587	31.4647	114.848	306.967	7.41205	11.8557	0.0440163	supercritical
223.234	7.23460	103.418	0.00966954	8.26642	9.38870	52.8228	30.0081	84.6053	338.681	6.08971	12.5172	0.0431378	supercritical
234.440	8.14330	103.426	0.00966874	8.59917	9.86231	54.2768	29.4541	73.3999	360.333	5.30597	12.9757	0.0434709	supercritical
243.733	8.89130	103.434	0.00966799	8.87137	10.2504	55.4151	29.1761	67.3458	377.040	4.76396	13.3380	0.0440444	supercritical
243.773	8.89390	103.424	0.00966891	8.87269	10.2523	55.4210	29.1750	67.3204	377.106	4.76211	13.3390	0.0440450	supercritical
251.376	9.50180	103.419	0.00966941	9.09402	10.5680	56.3154	29.0358	63.6560	390.049	4.37645	13.6249	0.0446376	supercritical
262.190	10.3505	103.269	0.00968342	9.40978	11.0177	57.5539	28.9452	59.7176	407.402	3.90284	14.0106	0.0455868	supercritical
272.155	11.1478	103.376	0.00967346	9.69656	11.4266	58.6211	28.9604	57.0857	422.613	3.51983	14.3703	0.0466232	supercritical
272.185	11.1494	103.367	0.00967426	9.69756	11.4280	58.6253	28.9604	57.0771	422.653	3.51897	14.3708	0.0466246	supercritical
190.052	4.49890	113.648	0.00879907	6.99465	7.62972	46.2309	41.7564	750.446	247.740	9.13851	11.4214	0.0823376	vapor
190.532	4.54930	114.144	0.00876084	7.00552	7.64491	46.2735	41.2270	667.828	249.363	9.05592	11.4994	0.0834423	vapor
190.750	4.57100	114.059	0.00876736	7.01601	7.65893	46.3310	40.9174	625.038	250.310	9.03487	11.5131	0.0793300	vapor
191.032	4.61450	117.844	0.00848580	6.95970	7.58790	45.9274	41.4802	718.734	248.979	8.80340	11.8025	0.0818341	supercritical
193.325	4.83360	114.903	0.00870298	7.10279	7.77766	46.7576	38.3076	387.693	259.969	8.68255	11.7750	0.0632166	supercritical
197.737	5.27220	115.277	0.00867473	7.25827	7.99199	47.5413	35.3695	239.056	275.395	8.12551	12.0838	0.0542027	supercritical
202.753	5.76270	115.506	0.00865758	7.42644	8.22683	48.3737	33.3804	171.797	290.797	7.53354	12.3739	0.0501232	supercritical
203.224	6.29090	149.230	0.00670105	6.91036	7.58666	44.9014	34.3164	234.361	298.217	5.94023	15.0526	0.0604507	supercritical
212.165	6.66890	115.708	0.00864246	7.72675	8.65138	49.8145	31.3952	119.086	315.866	6.56655	12.8385	0.0472445	supercritical
217.136	7.14210	115.739	0.00864010	7.88074	8.87072	50.5308	30.8009	104.801	327.767	6.12660	13.0606	0.0466682	supercritical
222.926	7.69090	115.775	0.00863746	8.05700	9.12272	51.3305	30.3067	93.2524	340.825	5.66657	13.3093	0.0463832	supercritical
230.050	8.36140	115.772	0.00863768	8.27133	9.42999	52.2770	29.8760	83.3558	355.946	5.16931	13.6011	0.0463663	supercritical
237.336	9.04320	115.754	0.00863902	8.48809	9.74143	53.2055	29.5665	76.1788	370.536	4.72537	13.8881	0.0465930	supercritical
242.709	9.54340	115.730	0.00864080	8.64686	9.96979	53.8681	29.3998	72.1155	380.806	4.43314	14.0934	0.0468667	supercritical
248.444	10.0757	115.708	0.00864245	8.81541	10.2124	54.5556	29.2684	68.5922	391.363	4.14889	14.3081	0.0472351	supercritical
250.194	10.2376	115.699	0.00864315	8.86675	10.2863	54.7619	29.2367	67.6501	394.505	4.06736	14.3725	0.0473598	supercritical
253.445	10.5378	115.679	0.00864458	8.96201	10.4234	55.1412	29.1875	66.0391	400.248	3.92177	14.4911	0.0476049	supercritical
253.642	11.0172	122.165	0.00818562	8.86755	10.3143	54.4558	29.2605	67.4169	405.169	3.72005	14.9426	0.0491231	supercritical
263.050	11.4229	115.641	0.00864745	9.24250	10.8272	56.2294	29.1082	62.1466	416.575	3.53068	14.8356	0.0484229	supercritical
268.301	11.9049	115.619	0.00864907	9.39565	11.0475	56.8070	29.1021	60.4454	425.118	3.33876	15.0198	0.0489172	supercritical
273.171	12.3604	115.703	0.00864283	9.53613	11.2500	57.3214	29.1184	59.0951	432.902	3.17010	15.1953	0.0494238	supercritical
191.032	4.65790	140.732	0.00710571	6.57078	7.10176	43.3537	48.7775	3324.25	230.723	7.62856	13.6496	0.138126	supercritical
191.551	4.73180	147.632	0.00677358	6.48747	7.00166	42.7874	48.5622	2781.37	229.797	7.31083	14.3527	0.124052	supercritical
192.938	4.92820	153.597	0.00651054	6.46192	6.97666	42.5485	43.8278	1314.51	242.287	6.94152	15.0289	0.0940512	supercritical
195.243	5.25630	156.194	0.00640231	6.51854	7.05842	42.7947	38.9296	635.435	263.035	6.52769	15.3744	0.0765620	supercritical
197.562	5.58700	156.888	0.00637398	6.59595	7.16726	43.1764	36.8271	419.156	277.228	6.19793	15.5246	0.0694259	supercritical
200.411	5.99770	157.546	0.00634736	6.68909	7.29983	43.6321	35.3947	300.068	290.933	5.83620	15.6932	0.0648733	supercritical
202.829	6.34170	157.412	0.00635276	6.77545	7.42177	44.0631	34.4307	243.935	301.241	5.59034	15.7740	0.0624430	supercritical
206.370	6.85030	157.523	0.00634829	6.89353	7.59119	44.6379	33.2261	193.373	315.693	5.24999	15.9225	0.0601984	supercritical
213.503	7.87710	157.622	0.00634429	7.12279	7.92452	45.7280	31.6342	140.459	341.311	4.65913	16.2109	0.0578718	supercritical
223.647	9.33890	157.619	0.00634440	7.43744	8.38797	47.1681	30.5356	106.258	371.682	3.98146	16.6045	0.0566783	supercritical
236.398	11.1767	157.562	0.00634670	7.82291	8.96091	48.8461	29.8710	85.6851	404.530	3.32355	17.0829	0.0565545	supercritical
248.147	12.8674	157.487	0.00634972	8.17294	9.48371	50.2936	29.5587	75.1287	431.567	2.84938	17.5078	0.0570469	supercritical
255.163	13.8749	157.436	0.00635177	8.38069	9.79455	51.1210	29.4587	70.7481	446.579	2.61010	17.7543	0.0574996	supercritical
273.167	16.4504	157.291	0.00635765	8.91247	10.5903	53.1402	29.4235	63.1415	481.934	2.10507	18.3639	0.0590053	supercritical
191.032	4.66070	144.875	0.00690251	6.50471	7.02082	42.9283	50.3078	4449.32	226.798	7.44433	14.0351	0.151740	supercritical
190.839	4.63420	142.870	0.00699938	6.52685	7.04722	43.0821	50.5245	5271.59	226.926	7.53494	13.8235	0.165425	supercritical
191.040	4.66180	144.945	0.00689917	6.50401	7.01999	42.9233	50.2915	4416.45	226.810	7.44118	14.0426	0.151207	supercritical
191.229	4.69000	149.825	0.00667447	6.43792	6.94012	42.4894	50.7906	4432.91	224.554	7.23889	14.5389	0.147070	supercritical
191.428	4.71880	152.311	0.00656551	6.41041	6.90743	42.3026	50.2281	3796.47	225.156	7.13472	14.8068	0.136715	supercritical
191.820	4.77620	156.000	0.00641024	6.37525	6.86643	42.0574	48.5953	2792.26	228.410	6.96381	15.2107	0.120325	supercritical
192.076	4.81310	156.885	0.00637411	6.37466	6.86684	42.0399	47.3792	2290.29	231.573	6.90200	15.3150	0.112068	supercritical
193.522	5.02630	160.778	0.00621974	6.38308	6.88461	42.0204	42.0855	1065.80	249.441	6.54373	15.7651	0.0880974	supercritical
195.158	5.27000	162.328	0.00616037	6.42689	6.94772	42.2206	38.8312	644.830	265.128	6.24273	15.9703	0.0773934	supercritical
197.926	5.68360	163.091	0.00613155	6.51963	7.07871	42.6796	36.4221	393.018	282.593	5.85210	16.1346	0.0693618	supercritical
200.575	6.08140	163.377	0.00612082	6.61030	7.20746	43.1296	35.1921	291.615	295.473	5.53710	16.2534	0.0655215	supercritical
204.037	6.60360	163.557	0.00611408	6.72722	7.37494	43.7042	33.8895	221.396	311.008	5.17966	16.3952	0.0626177	supercritical
207.855	7.17990	163.559	0.00611400	6.85427	7.55851	44.3211	32.7313	177.291	326.790	4.83908	16.5373	0.0607042	supercritical
207.855	7.18330	163.731	0.00610757	6.85176	7.55560	44.3055	32.7285	177.227	326.958	4.83108	16.5535	0.0607363	supercritical
213.044	7.96910	163.672	0.00610977	7.01944	7.80055	45.1036	31.6530	142.083	345.975	4.42601	16.7448	0.0592371	supercritical
233.386	11.0688	163.620	0.00611172	7.64321	8.72850	47.9025	29.9766	89.2570	405.041	3.24745	17.5112	0.0578893	supercritical
252.887	14.0387	163.474	0.00611719	8.22434	9.60205	50.2987	29.4941	72.0800	450.765	2.50718	18.2079	0.0587598	supercritical
273.016	17.0925	163.316	0.00612311	8.81926	10.4983	52.5679	29.4456	63.2768	491.530	1.96061	18.8888	0.0604256	supercritical
273.058	17.0967	163.296	0.00612384	8.82078	10.5004	52.5742	29.4458	63.2633	491.577	1.96010	18.8884	0.0604250	supercritical
190.532	4.58340	127.838	0.00782241	6.76280	7.33799	44.6386	45.4768	1864.80	239.111	8.31011	12.5022	0.121059	vapor
191.032	4.66430	152.813	0.00654395	6.38251	6.87218	42.1482	52.7485	7183.82	219.735	7.13742	14.8249	0.175140	supercritical
191.848	4.79830	175.111	0.00571067	6.11138	6.55098	40.4019	46.3022	2120.69	233.890	6.18265	17.2680	0.106058	supercritical
191.873	4.80090	173.995	0.00574729	6.12738	6.57003	40.4999	46.4895	2176.41	233.321	6.22797	17.1438	0.106976	supercritical
193.248	5.02480	176.684	0.00565983	6.15130	6.60755	40.5884	41.2842	959.391	256.446	5.82181	17.4194	0.0861391	supercritical
195.110	5.33400	177.840	0.00562304	6.20900	6.69018	40.8699	37.9612	556.707	276.312	5.47881	17.5626	0.0764490	supercritical
197.300	5.69920	178.068	0.00561583	6.28678	6.80025	41.2631	36.1325	381.029	291.517	5.18818	17.6347	0.0711157	supercritical
199.216	6.02280	178.343	0.00560716	6.35123	6.89300	41.5840	35.1578	301.723	302.574	4.95356	17.7129	0.0684065	supercritical
200.901	6.30920	178.515	0.00560178	6.40749	6.97449	41.8626	34.4728	257.119	311.628	4.76522	17.7773	0.0667880	supercritical
203.064	6.67820	178.620	0.00559846	6.47973	7.07953	42.2185	33.7066	218.003	322.658	4.54767	17.8521	0.0653085	supercritical
207.564	7.45160	178.726	0.00559514	6.62688	7.29575	42.9335	32.4318	168.768	343.625	4.15754	18.0092	0.0634051	supercritical
213.197	8.42660	178.745	0.00559458	6.80613	7.56244	43.7853	31.3914	134.854	366.045	3.75338	18.2096	0.0621472	supercritical
213.204	8.42820	178.757	0.00559419	6.80618	7.56258	43.7853	31.3902	134.815	366.089	3.75239	18.2111	0.0621484	supercritical
213.212	8.42930	178.748	0.00559448	6.80656	7.56310	43.7873	31.3892	134.785	366.105	3.75227	18.2105	0.0621454	supercritical
223.184	10.1660	178.708	0.00559572	7.11469	8.02730	45.2007	30.4168	103.897	399.164	3.18082	18.5719	0.0613092	supercritical
233.161	11.9122	178.675	0.00559674	7.41590	8.48547	46.5218	29.9175	87.7520	427.777	2.73249	18.9357	0.0613094	supercritical
243.137	13.6601	178.614	0.00559867	7.71372	8.94064	47.7743	29.6362	77.8769	453.584	2.37105	19.2915	0.0617160	supercritical
253.153	15.4123	178.517	0.00560172	8.01115	9.39621	48.9759	29.4905	71.2177	477.338	2.07164	19.6376	0.0623596	supercritical
263.124	17.1554	178.430	0.00560443	8.30618	9.84863	50.1218	29.4478	66.4880	499.284	1.81979	19.9743	0.0631642	supercritical
