Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
323.150	24.6000	162.841	0.00614096	10.3233	12.7469	57.6431	30.5026	54.2425	574.133	1.10095	20.4339	0.0661450	supercritical
298.150	2.38000	16.0517	0.0622987	11.8570	14.2357	79.9414	27.7808	38.1161	442.012	4.23246	11.4332	0.0355818	vapor
298.150	5.63000	40.1274	0.0249207	11.4527	13.7036	71.4491	28.3118	42.1216	437.116	3.92616	12.1865	0.0385888	supercritical
298.150	10.4900	80.1810	0.0124718	10.8105	12.9093	64.2400	29.0250	49.1330	444.507	3.21426	13.9457	0.0450707	supercritical
298.150	15.2000	120.295	0.00831292	10.1980	12.2251	59.3852	29.5046	54.8143	474.227	2.36298	16.3443	0.0532271	supercritical
298.150	19.4200	152.995	0.00653616	9.71405	11.7504	56.1279	29.7508	57.1487	518.085	1.66772	18.8174	0.0606705	supercritical
298.150	20.7000	161.904	0.00617651	9.58371	11.6348	55.3029	29.8021	57.3681	533.540	1.48761	19.5821	0.0627930	supercritical
273.150	16.1800	154.795	0.00646015	8.94883	10.6257	53.3715	29.4126	63.0750	478.029	2.16760	18.1494	0.0584131	supercritical
248.150	12.8200	156.833	0.00637620	8.18273	9.49412	50.3551	29.5577	75.1129	430.673	2.86960	17.4510	0.0568938	supercritical
223.150	9.32000	158.967	0.00629063	7.40233	8.34290	46.9749	30.5674	107.394	371.824	3.95730	16.7050	0.0570087	supercritical
198.150	5.70000	160.866	0.00621636	6.55977	7.12822	42.9214	36.3718	384.301	282.357	5.93351	15.9262	0.0687159	supercritical
193.050	0.780000	8.26420	0.121004	9.22302	10.7372	74.3264	25.7438	36.1699	353.259	10.1168	7.54091	0.0217303	vapor
193.050	1.56000	17.6915	0.0565243	9.01924	10.4339	67.4738	26.4875	40.0385	340.718	10.3535	7.70150	0.0229889	vapor
193.050	2.24000	27.2597	0.0366842	8.81451	10.1328	63.3464	27.2840	45.0444	328.820	10.5367	7.90168	0.0244833	vapor
193.050	2.82000	36.8960	0.0271032	8.61099	9.83715	60.2943	28.1263	51.5859	317.743	10.6590	8.14191	0.0262773	vapor
193.050	3.31000	46.6637	0.0214300	8.40774	9.54571	57.8019	29.0382	60.4013	307.482	10.7094	8.42618	0.0284726	vapor
193.050	3.70000	56.1275	0.0178166	8.21397	9.27153	55.7473	30.0044	71.9979	298.472	10.6766	8.74214	0.0310538	vapor
193.050	4.03000	66.0743	0.0151345	8.01378	8.99226	53.8494	31.1386	89.0291	289.946	10.5472	9.11906	0.0343663	vapor
193.050	4.28000	75.6519	0.0132184	7.82456	8.73218	52.2078	32.3686	112.551	282.575	10.3290	9.52773	0.0382686	vapor
193.050	4.48000	85.6345	0.0116775	7.63128	8.47056	50.6456	33.8013	148.647	275.663	10.0106	10.0049	0.0432358	vapor
193.050	4.63000	95.7426	0.0104447	7.44006	8.21587	49.1883	35.3875	204.209	269.359	9.60959	10.5461	0.0493615	supercritical
193.050	4.73000	105.007	0.00952315	7.26926	7.99190	47.9451	36.9155	281.308	264.102	9.19180	11.0987	0.0560405	supercritical
193.050	4.81000	115.510	0.00865726	7.08156	7.74961	46.6295	38.6576	413.997	258.612	8.68652	11.7978	0.0647767	supercritical
193.050	4.86000	124.999	0.00800009	6.91819	7.54194	45.5191	40.1759	587.454	253.916	8.22488	12.5014	0.0733126	supercritical
193.050	4.90000	135.879	0.00735952	6.73902	7.31755	44.3312	41.7755	844.605	248.785	7.71302	13.3958	0.0826654	supercritical
193.050	4.92000	143.112	0.00698754	6.62500	7.17653	43.5888	42.6726	1028.75	245.838	7.38783	14.0400	0.0877969	supercritical
193.050	4.95000	156.740	0.00638000	6.42092	6.92757	42.2825	43.5453	1287.73	243.452	6.79027	15.3444	0.0931999	supercritical
193.050	4.96000	161.772	0.00618152	6.34876	6.84064	41.8270	43.4556	1306.04	244.311	6.56542	15.8511	0.0932943	supercritical
193.050	4.97000	166.727	0.00599784	6.27918	6.75740	41.3908	43.1175	1264.37	246.307	6.33795	16.3615	0.0922740	supercritical
193.050	4.99000	175.587	0.00569518	6.15785	6.61377	40.6370	41.9689	1066.60	252.835	5.91175	17.3013	0.0883318	supercritical
193.050	5.02000	185.584	0.00538840	6.02479	6.45874	39.8202	40.1590	779.929	264.663	5.39560	18.3985	0.0828545	supercritical
191.450	4.59000	105.499	0.00947879	7.20016	7.89814	47.5684	38.2582	352.263	258.401	9.38126	11.0108	0.0619862	vapor
191.450	4.65000	115.907	0.00862759	7.01131	7.65492	46.2523	40.4664	578.027	251.988	8.85696	11.7013	0.0744734	supercritical
191.450	4.68000	124.192	0.00805202	6.86596	7.47051	45.2681	42.4088	893.306	246.674	8.42892	12.3103	0.0867885	supercritical
191.450	4.70000	132.886	0.00752526	6.71871	7.28612	44.2919	44.7445	1441.85	240.464	7.98720	13.0088	0.101956	supercritical
191.450	4.72000	149.779	0.00667649	6.44970	6.95526	42.5517	49.5739	3363.09	227.143	7.23030	14.5544	0.132111	supercritical
191.450	4.72000	149.779	0.00667649	6.44970	6.95526	42.5517	49.5739	3363.09	227.143	7.23030	14.5544	0.132111	supercritical
191.450	4.73000	166.112	0.00602005	6.21345	6.67027	41.0578	50.4685	4302.59	221.552	6.64134	16.2792	0.135114	supercritical
191.450	4.73000	166.112	0.00602005	6.21345	6.67027	41.0578	50.4685	4302.59	221.552	6.64134	16.2792	0.135114	supercritical
191.450	4.74000	179.461	0.00557223	6.03592	6.45965	39.9528	46.6589	2387.12	231.369	6.08093	17.7725	0.109293	supercritical
191.450	4.75000	186.869	0.00535133	5.94120	6.34898	39.3703	43.8242	1506.23	242.916	5.68953	18.6046	0.0966419	supercritical
190.850	4.53000	104.701	0.00955105	7.19189	7.88600	47.5528	38.6250	372.198	256.817	9.50094	10.9138	0.0647064	vapor
190.850	4.59000	116.314	0.00859739	6.97949	7.61257	46.0741	41.3517	694.112	249.219	8.90432	11.6781	0.0817388	vapor
