Temperature (K),Pressure (MPa),Cp (J/mol*K), DOI
164.9,3.2,71.5991,  10.1021/i160072a007  
164.9,3.2,71.3423,  10.1021/i160072a007  
174.3,3.2,89.2059,  10.1021/i160072a007  
178.4,3.2,847.3116,  10.1021/i160072a007   
180.0,3.2,1277.5479,  10.1021/i160072a007   
180.5,3.2,966.4187,  10.1021/i160072a007   
180.6,3.2,971.2497,  10.1021/i160072a007   
185.5,3.2,72.562,  10.1021/i160072a007  
193.2,3.2,57.9886,  10.1021/i160072a007  
193.1,3.2,58.101,  10.1021/i160072a007  
202.9,3.2,50.2044,  10.1021/i160072a007  
202.9,3.2,50.0279,  10.1021/i160072a007 
116.48,1.03,55.3888,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
122.04,1.03,56.5302,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
127.59,1.03,57.873,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
133.15,1.03,59.35,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
138.71,1.03,61.0956,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
144.26,1.03,63.3783,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
155.37,1.03,42.0955,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
160.93,1.03,40.4842,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
166.48,1.03,39.3429,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
172.04,1.03,38.5372,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
177.59,1.03,38.0001,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
183.15,1.03,37.5973,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
188.71,1.03,37.2616,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
194.26,1.03,36.993,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
199.82,1.03,36.7245,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
