Temperature (K)	Pressure (MPa)	Sound Spd (m/s)	Reference
248.15	450.0	2488.63	Kortbeek-1990
248.15	500.0	2584.34	Kortbeek-1990
248.15	550.0	2673.42	Kortbeek-1990
248.15	600.0	2756.88	Kortbeek-1990
248.15	650.0	2835.5	Kortbeek-1990
248.15	700.0	2909.88	Kortbeek-1990
248.15	750.0	2980.54	Kortbeek-1990
248.15	800.0	3047.88	Kortbeek-1990
248.15	850.0	3112.25	Kortbeek-1990
248.15	900.0	3173.95	Kortbeek-1990
223.15	100.0	1469.28	Kortbeek-1990
223.15	150.0	1711.44	Kortbeek-1990
223.15	200.0	1901.92	Kortbeek-1990
223.15	250.0	2060.43	Kortbeek-1990
223.15	300.0	2197.71	Kortbeek-1990
223.15	350.0	2319.82	Kortbeek-1990
223.15	400.0	2430.43	Kortbeek-1990
223.15	450.0	2531.9	Kortbeek-1990
223.15	500.0	2625.89	Kortbeek-1990
223.15	550.0	2713.54	Kortbeek-1990
223.15	600.0	2795.73	Kortbeek-1990
223.15	650.0	2873.13	Kortbeek-1990
223.15	700.0	2946.26	Kortbeek-1990
223.15	750.0	3015.55	Kortbeek-1990
198.15	100.0	1546.83	Kortbeek-1990
198.15	150.0	1778.11	Kortbeek-1990
198.15	200.0	1961.04	Kortbeek-1990
198.15	250.0	2114.82	Kortbeek-1990
198.15	300.0	2248.76	Kortbeek-1990
198.15	350.0	2368.13	Kortbeek-1990
198.15	400.0	2476.3	Kortbeek-1990
198.15	450.0	2575.52	Kortbeek-1990
198.15	500.0	2667.41	Kortbeek-1990
198.15	550.0	2753.15	Kortbeek-1990
300.15	5.17	407.0	Cardamone-1970
300.15	6.21	407.0	Cardamone-1970
300.15	7.58	411.0	Cardamone-1970
300.15	8.83	419.0	Cardamone-1970
300.15	9.65	426.0	Cardamone-1970
300.15	10.76	430.0	Cardamone-1970
300.15	10.76	434.0	Cardamone-1970
210.0	34.07	987.0	Straty-1974
210.0	27.6	898.0	Straty-1974
210.0	22.26	809.8	Straty-1974
210.0	17.49	711.5	Straty-1974
210.0	14.83	643.9	Straty-1974
210.0	12.7	577.5	Straty-1974
210.0	10.94	511.5	Straty-1974
210.0	10.17	477.0	Straty-1974
210.0	9.65	451.2	Straty-1974
240.0	34.64	863.5	Straty-1974
240.0	29.11	782.7	Straty-1974
240.0	24.66	707.0	Straty-1974
240.0	20.89	632.6	Straty-1974
240.0	18.89	588.8	Straty-1974
240.0	16.84	540.2	Straty-1974
240.0	15.19	498.4	Straty-1974
240.0	14.07	469.8	Straty-1974
270.0	34.77	771.5	Straty-1974
270.0	30.49	711.2	Straty-1974
270.0	25.97	641.6	Straty-1974
270.0	21.84	572.8	Straty-1974
300.0	34.84	713.9	Straty-1974
300.0	29.73	649.5	Straty-1974
300.0	27.3	618.0	Straty-1974
300.0	24.63	580.4	Straty-1974
300.0	20.98	537.3	Straty-1974
300.0	17.59	507.4	Straty-1975
300.0	12.57	463.5	Straty-1975
300.0	7.8	445.6	Straty-1975
240.0	14.47	480.8	Straty-1975
240.0	12.54	433.1	Straty-1975
240.0	12.5	431.5	Straty-1975
240.0	10.18	387.6	Straty-1975
240.0	9.78	381.6	Straty-1975
240.0	8.11	370.6	Straty-1975
240.0	7.64	368.2	Straty-1975
240.0	6.23	369.0	Straty-1975
240.0	5.45	371.9	Straty-1975
210.0	9.87	462.9	Straty-1975
210.0	8.72	400.4	Straty-1975
210.0	7.95	357.5	Straty-1975
210.0	6.81	313.1	Straty-1975
210.0	5.81	311.6	Straty-1975
255.0	6.94	388.39	Goodwin-1988
255.0	6.33	388.99	Goodwin-1988
255.0	5.73	390.17	Goodwin-1988
255.0	5.08	391.99	Goodwin-1988
273.16	7.09	410.82	Goodwin-1988
273.16	6.56	410.92	Goodwin-1988
273.16	5.68	411.76	Goodwin-1988
273.16	4.84	413.3	Goodwin-1988
