Temperature (K),Pressure (MPa),Viscosity (uPa*s),Reference
280.0,17.5,18.596,Schley-2004
280.0,17.99,18.961,Schley-2004
280.0,18.51,19.331,Schley-2004
280.0,19.01,19.686,Schley-2004
280.0,19.47,20.006,Schley-2004
280.0,19.84,20.268,Schley-2004
300.0,0.1,11.142,Schley-2004
300.0,0.2,11.161,Schley-2004
300.0,0.3,11.173,Schley-2004
300.0,0.4,11.19,Schley-2004
300.0,0.5,11.204,Schley-2004
300.0,0.6,11.216,Schley-2004
300.0,0.7,11.228,Schley-2004
300.0,0.8,11.238,Schley-2004
300.0,0.9,11.253,Schley-2004
300.0,1.0,11.268,Schley-2004
300.0,1.25,11.306,Schley-2004
300.0,1.49,11.342,Schley-2004
300.0,1.75,11.383,Schley-2004
300.0,2.0,11.424,Schley-2004
300.0,2.25,11.468,Schley-2004
300.0,2.49,11.511,Schley-2004
300.0,2.74,11.558,Schley-2004
300.0,2.99,11.605,Schley-2004
300.0,3.25,11.657,Schley-2004
300.0,3.5,11.711,Schley-2004
300.0,3.75,11.767,Schley-2004
300.0,3.99,11.82,Schley-2004
300.0,4.25,11.879,Schley-2004
300.0,4.5,11.939,Schley-2004
300.0,4.75,12.001,Schley-2004
300.0,4.99,12.064,Schley-2004
300.0,5.49,12.197,Schley-2004
300.0,5.97,12.332,Schley-2004
300.0,6.47,12.482,Schley-2004
300.0,7.0,12.648,Schley-2004
300.0,7.5,12.813,Schley-2004
300.0,7.98,12.979,Schley-2004
300.0,8.46,13.155,Schley-2004
300.0,9.0,13.357,Schley-2004
300.0,9.5,13.554,Schley-2004
300.0,9.99,13.755,Schley-2004
300.0,10.49,13.968,Schley-2004
300.0,10.95,14.172,Schley-2004
300.0,11.51,14.426,Schley-2004
300.0,12.0,14.658,Schley-2004
300.0,12.5,14.898,Schley-2004
300.0,12.98,15.135,Schley-2004
300.0,13.46,15.38,Schley-2004
300.0,14.02,15.672,Schley-2004
300.0,14.52,15.939,Schley-2004
300.0,14.97,16.178,Schley-2004
300.0,15.48,16.457,Schley-2004
300.0,15.96,16.718,Schley-2004
300.0,16.47,17.003,Schley-2004
300.0,16.98,17.296,Schley-2004
300.0,17.48,17.58,Schley-2004
300.0,17.96,17.86,Schley-2004
300.0,18.47,18.151,Schley-2004
300.0,18.94,18.42,Schley-2004
300.0,19.52,18.755,Schley-2004
300.0,20.03,19.048,Schley-2004
320.0,0.1,11.773,Schley-2004
320.0,0.2,11.795,Schley-2004
320.0,0.3,11.809,Schley-2004
320.0,0.4,11.821,Schley-2004
320.0,0.5,11.835,Schley-2004
320.0,0.6,11.846,Schley-2004
320.0,0.7,11.859,Schley-2004
320.0,0.8,11.871,Schley-2004
320.0,0.9,11.882,Schley-2004
320.0,1.0,11.898,Schley-2004
320.0,1.25,11.932,Schley-2004
320.0,1.5,11.967,Schley-2004
320.0,1.75,12.003,Schley-2004
320.0,2.0,12.044,Schley-2004
320.0,2.25,12.084,Schley-2004
320.0,2.49,12.123,Schley-2004
320.0,2.74,12.167,Schley-2004
320.0,3.0,12.21,Schley-2004
320.0,3.26,12.26,Schley-2004
320.0,3.49,12.303,Schley-2004
320.0,3.76,12.353,Schley-2004
320.0,4.01,12.406,Schley-2004
320.0,4.25,12.455,Schley-2004
320.0,4.51,12.513,Schley-2004
320.0,4.75,12.564,Schley-2004
320.0,5.0,12.62,Schley-2004
320.0,5.49,12.734,Schley-2004
320.0,6.0,12.859,Schley-2004
320.0,6.49,12.987,Schley-2004
320.0,7.0,13.125,Schley-2004
320.0,7.48,13.257,Schley-2004
320.0,8.01,13.41,Schley-2004
320.0,8.49,13.56,Schley-2004
320.0,8.99,13.715,Schley-2004
320.0,9.5,13.88,Schley-2004
320.0,10.0,14.051,Schley-2004
320.0,10.49,14.221,Schley-2004
320.0,11.0,14.401,Schley-2004
320.0,11.5,14.586,Schley-2004
320.0,11.87,14.733,Schley-2004
320.0,12.48,14.966,Schley-2004
320.0,12.98,15.168,Schley-2004
320.0,13.5,15.379,Schley-2004
320.0,14.0,15.589,Schley-2004
320.0,14.5,15.802,Schley-2004
320.0,15.0,16.01,Schley-2004
320.0,15.5,16.232,Schley-2004
320.0,16.02,16.464,Schley-2004
320.0,16.53,16.704,Schley-2004
320.0,17.04,16.928,Schley-2004
320.0,17.54,17.159,Schley-2004
320.0,18.01,17.384,Schley-2004
320.0,18.52,17.622,Schley-2004
320.0,19.02,17.86,Schley-2004
320.0,19.5,18.092,Schley-2004
320.0,19.93,18.293,Schley-2004
340.0,0.1,12.402,Schley-2004
340.0,0.2,12.421,Schley-2004
340.0,0.3,12.439,Schley-2004
340.0,0.4,12.452,Schley-2004
340.0,0.5,12.461,Schley-2004
340.0,0.6,12.472,Schley-2004
340.0,0.7,12.484,Schley-2004
340.0,0.8,12.496,Schley-2004
340.0,0.91,12.509,Schley-2004
340.0,1.0,12.521,Schley-2004
340.0,1.26,12.558,Schley-2004
340.0,1.49,12.584,Schley-2004
340.0,1.75,12.616,Schley-2004
340.0,1.99,12.654,Schley-2004
340.0,2.25,12.69,Schley-2004
340.0,2.5,12.728,Schley-2004
340.0,2.75,12.763,Schley-2004
340.0,3.0,12.804,Schley-2004
340.0,3.24,12.844,Schley-2004
340.0,3.51,12.89,Schley-2004
340.0,3.75,12.932,Schley-2004
340.0,4.0,12.978,Schley-2004
340.0,4.25,13.026,Schley-2004
340.0,4.49,13.069,Schley-2004
340.0,4.74,13.121,Schley-2004
340.0,4.92,13.157,Schley-2004
340.0,5.5,13.275,Schley-2004
340.0,5.99,13.38,Schley-2004
340.0,6.47,13.492,Schley-2004
340.0,7.01,13.618,Schley-2004
340.0,7.48,13.737,Schley-2004
340.0,7.94,13.85,Schley-2004
340.0,8.01,13.869,Schley-2004
340.0,8.49,13.996,Schley-2004
340.0,9.0,14.132,Schley-2004
340.0,9.5,14.272,Schley-2004
340.0,9.99,14.414,Schley-2004
340.0,10.47,14.557,Schley-2004
340.0,10.99,14.715,Schley-2004
340.0,11.49,14.873,Schley-2004
340.0,11.88,14.994,Schley-2004
340.0,12.5,15.197,Schley-2004
340.0,12.97,15.356,Schley-2004
340.0,13.5,15.537,Schley-2004
340.0,14.01,15.722,Schley-2004
340.0,14.5,15.895,Schley-2004
340.0,15.01,16.076,Schley-2004
340.0,16.0,16.44,Schley-2004
340.0,17.02,16.826,Schley-2004
340.0,17.99,17.202,Schley-2004
340.0,19.02,17.611,Schley-2004
340.0,20.09,18.039,Schley-2004
340.0,20.99,18.409,Schley-2004
340.0,21.99,18.82,Schley-2004
340.0,22.95,19.219,Schley-2004
340.0,23.88,19.603,Schley-2004
340.0,24.96,20.054,Schley-2004
340.0,25.96,20.479,Schley-2004
340.0,26.95,20.888,Schley-2004
340.0,27.8,21.244,Schley-2004
340.0,28.77,21.647,Schley-2004
360.0,0.1,12.995,Schley-2004
360.0,0.2,13.018,Schley-2004
360.0,0.3,13.032,Schley-2004
360.0,0.4,13.044,Schley-2004
360.0,0.5,13.058,Schley-2004
360.0,0.6,13.067,Schley-2004
360.0,0.7,13.079,Schley-2004
360.0,0.8,13.092,Schley-2004
360.0,0.9,13.1,Schley-2004
360.0,1.0,13.114,Schley-2004
360.0,1.25,13.145,Schley-2004
360.0,1.5,13.176,Schley-2004
360.0,1.75,13.207,Schley-2004
360.0,2.0,13.238,Schley-2004
360.0,2.25,13.275,Schley-2004
360.0,2.5,13.31,Schley-2004
360.0,2.74,13.34,Schley-2004
360.0,3.0,13.377,Schley-2004
360.0,3.25,13.416,Schley-2004
360.0,3.5,13.454,Schley-2004
360.0,3.75,13.496,Schley-2004
360.0,4.0,13.539,Schley-2004
360.0,4.25,13.58,Schley-2004
360.0,4.5,13.624,Schley-2004
360.0,4.75,13.672,Schley-2004
360.0,5.0,13.715,Schley-2004
360.0,5.5,13.806,Schley-2004
360.0,6.01,13.906,Schley-2004
360.0,6.5,14.004,Schley-2004
360.0,7.0,14.113,Schley-2004
360.0,7.5,14.217,Schley-2004
360.0,8.02,14.333,Schley-2004
360.0,8.51,14.45,Schley-2004
360.0,8.98,14.561,Schley-2004
360.0,9.48,14.684,Schley-2004
360.0,10.0,14.814,Schley-2004
360.0,10.48,14.941,Schley-2004
360.0,10.99,15.076,Schley-2004
360.0,11.5,15.213,Schley-2004
360.0,11.98,15.346,Schley-2004
360.0,12.49,15.487,Schley-2004
360.0,12.99,15.632,Schley-2004
360.0,13.48,15.778,Schley-2004
360.0,13.98,15.927,Schley-2004
360.0,14.49,16.082,Schley-2004
360.0,14.99,16.241,Schley-2004
360.0,16.0,16.562,Schley-2004
360.0,17.04,16.897,Schley-2004
360.0,18.02,17.222,Schley-2004
360.0,18.99,17.55,Schley-2004
