Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
409.820	5.07000	24.2739	0.0411965	15.1066	18.4574	85.8150	33.1511	43.3425	519.257	1.88426	15.0982	0.0540062	supercritical
409.820	5.07000	24.2739	0.0411965	15.1066	18.4574	85.8150	33.1511	43.3425	519.257	1.88426	15.0982	0.0540062	supercritical
365.930	5.07000	27.6510	0.0361650	13.6506	16.5922	81.0029	30.8767	41.7532	490.875	2.50046	13.9118	0.0470484	supercritical
365.930	5.07000	27.6510	0.0361650	13.6506	16.5922	81.0029	30.8767	41.7532	490.875	2.50046	13.9118	0.0470484	supercritical
365.930	5.07000	27.6510	0.0361650	13.6506	16.5922	81.0029	30.8767	41.7532	490.875	2.50046	13.9118	0.0470484	supercritical
365.930	5.07000	27.6510	0.0361650	13.6506	16.5922	81.0029	30.8767	41.7532	490.875	2.50046	13.9118	0.0470484	supercritical
343.150	5.07000	29.8698	0.0334786	12.9244	15.6475	78.3375	29.8350	41.2382	474.558	2.91120	13.2841	0.0437495	supercritical
343.150	5.07000	29.8698	0.0334786	12.9244	15.6475	78.3375	29.8350	41.2382	474.558	2.91120	13.2841	0.0437495	supercritical
343.150	5.07000	29.8698	0.0334786	12.9244	15.6475	78.3375	29.8350	41.2382	474.558	2.91120	13.2841	0.0437495	supercritical
334.820	5.07000	30.7889	0.0324792	12.6627	15.3044	77.3255	29.4862	41.1267	468.241	3.08100	13.0530	0.0426037	supercritical
334.260	5.07000	30.8531	0.0324117	12.6451	15.2814	77.2567	29.4634	41.1210	467.809	3.09284	13.0375	0.0425279	supercritical
332.590	5.07000	31.0463	0.0322099	12.5929	15.2127	77.0508	29.3962	41.1052	466.514	3.12846	12.9911	0.0423028	supercritical
121.100	5.00000	413.404	0.00241894	0.444881	0.638914	3.87617	32.5433	55.9536	1293.72	-0.398050	103.228	0.176179	liquid
121.100	5.00000	413.404	0.00241894	0.444881	0.638914	3.87617	32.5433	55.9536	1293.72	-0.398050	103.228	0.176179	liquid
121.100	5.00000	413.404	0.00241894	0.444881	0.638914	3.87617	32.5433	55.9536	1293.72	-0.398050	103.228	0.176179	liquid
121.000	5.00000	413.549	0.00241809	0.439354	0.633319	3.82995	32.5501	55.9424	1294.68	-0.398505	103.429	0.176316	liquid
136.100	5.00000	390.510	0.00256075	1.28750	1.49291	10.5220	31.5995	58.0747	1145.43	-0.310610	78.0168	0.155479	liquid
136.200	5.00000	390.349	0.00256181	1.29322	1.49872	10.5647	31.5937	58.0925	1144.42	-0.309870	77.8759	0.155341	liquid
136.200	5.00000	390.349	0.00256181	1.29322	1.49872	10.5647	31.5937	58.0925	1144.42	-0.309870	77.8759	0.155341	liquid
