# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
1.500000000000000000e+02	1.026000000000000023e+00	6.234413965087279991e-02	6.231020000000000308e-02	1.686114982584207764e-02
1.550000000000000000e+02	1.074400000000000022e+00	6.234413965087279991e-02	6.233299999999999952e-02	1.872227970983187870e-02
1.600000000000000000e+02	1.122200000000000086e+00	6.234413965087279991e-02	6.235109999999999958e-02	1.954740536815259208e-02
1.650000000000000000e+02	1.169599999999999973e+00	6.234413965087279991e-02	6.236330000000000345e-02	2.210001794765221322e-02
1.700000000000000000e+02	1.216499999999999915e+00	6.234413965087279991e-02	6.238239999999999758e-02	2.458458922815073139e-02
1.750000000000000000e+02	1.263200000000000101e+00	6.234413965087279991e-02	6.239349999999999757e-02	2.603315628298017576e-02
1.800000000000000000e+02	1.309600000000000097e+00	6.234413965087279991e-02	6.240559999999999857e-02	2.721930135398057532e-02
1.850000000000000000e+02	1.355900000000000105e+00	6.234413965087279991e-02	6.240980000000000139e-02	2.971329552312117206e-02
1.900000000000000000e+02	1.401999999999999913e+00	6.234413965087279991e-02	6.241359999999999963e-02	3.158912411635079326e-02
1.950000000000000000e+02	1.447899999999999965e+00	6.234413965087279991e-02	6.241800000000000126e-02	3.706191010385900125e-02
2.000000000000000000e+02	1.493700000000000028e+00	6.234413965087279991e-02	6.241929999999999701e-02	4.232467124044534540e-02
2.050000000000000000e+02	1.539400000000000102e+00	6.234413965087279991e-02	6.241859999999999770e-02	5.048456648669055746e-02
2.100000000000000000e+02	1.585099999999999953e+00	6.234413965087279991e-02	6.241239999999999982e-02	5.365574119231629469e-02
2.150000000000000000e+02	1.630600000000000049e+00	6.234413965087279991e-02	6.241000000000000020e-02	5.710583576429148489e-02
2.200000000000000000e+02	1.676099999999999923e+00	6.234413965087279991e-02	6.240359999999999657e-02	5.953113262774399617e-02
2.250000000000000000e+02	1.721500000000000030e+00	6.234413965087279991e-02	6.239770000000000039e-02	5.725829917399302693e-02
2.300000000000000000e+02	1.766799999999999926e+00	6.234413965087279991e-02	6.239270000000000232e-02	6.274064619314950741e-02
2.350000000000000000e+02	1.812000000000000055e+00	6.234413965087279991e-02	6.238869999999999832e-02	6.273342327064773682e-02
2.400000000000000000e+02	1.857199999999999962e+00	6.234413965087279991e-02	6.238219999999999876e-02	6.118628258482489146e-02
2.450000000000000000e+02	1.902300000000000102e+00	6.234413965087279991e-02	6.237729999999999664e-02	6.117752552741702321e-02
2.500000000000000000e+02	1.947400000000000020e+00	6.234413965087279991e-02	6.237039999999999945e-02	6.142033844975392648e-02
2.550000000000000000e+02	1.992399999999999949e+00	6.234413965087279991e-02	6.236540000000000139e-02	6.214308284835726170e-02
2.600000000000000000e+02	2.037300000000000111e+00	6.234413965087279991e-02	6.236200000000000077e-02	6.008802525718074522e-02
2.650000000000000000e+02	2.082199999999999829e+00	6.234413965087279991e-02	6.235729999999999745e-02	6.099457794735548694e-02
2.700000000000000000e+02	2.127099999999999991e+00	6.234413965087279991e-02	6.235129999999999839e-02	6.196707553923556933e-02
1.700000000000000000e+02	2.061599999999999877e+00	3.117206982543639995e-02	3.129640000000000200e-02	4.267567098361998296e-02
1.750000000000000000e+02	2.166300000000000114e+00	3.117206982543639995e-02	3.130129999999999718e-02	4.099489881902795146e-02
1.800000000000000000e+02	2.269699999999999829e+00	3.117206982543639995e-02	3.130150000000000293e-02	3.620919962559198541e-02
1.950000000000000000e+02	2.574500000000000011e+00	3.117206982543639995e-02	3.129110000000000225e-02	2.810235028503146881e-02
2.000000000000000000e+02	2.674799999999999844e+00	3.117206982543639995e-02	3.128510000000000318e-02	2.881749096752315997e-02
2.050000000000000000e+02	2.774599999999999955e+00	3.117206982543639995e-02	3.127830000000000193e-02	2.925659104584048611e-02
2.100000000000000000e+02	2.873899999999999899e+00	3.117206982543639995e-02	3.127180000000000237e-02	2.908310800759042816e-02
2.150000000000000000e+02	2.972900000000000098e+00	3.117206982543639995e-02	3.126360000000000250e-02	2.814279259396578262e-02
2.200000000000000000e+02	3.071499999999999897e+00	3.117206982543639995e-02	3.125569999999999737e-02	3.036254712585135726e-02
2.250000000000000000e+02	3.169799999999999951e+00	3.117206982543639995e-02	3.124760000000000038e-02	3.085976141145998358e-02
2.300000000000000000e+02	3.267700000000000049e+00	3.117206982543639995e-02	3.124060000000000031e-02	3.067149529592208893e-02
2.350000000000000000e+02	3.365400000000000169e+00	3.117206982543639995e-02	3.123300000000000035e-02	3.050345650757000510e-02
2.400000000000000000e+02	3.462899999999999867e+00	3.117206982543639995e-02	3.122499999999999928e-02	3.109696572347663002e-02
2.450000000000000000e+02	3.560099999999999820e+00	3.117206982543639995e-02	3.121789999999999982e-02	3.216640563977029438e-02
2.500000000000000000e+02	3.657000000000000028e+00	3.117206982543639995e-02	3.121180000000000135e-02	3.257429281670740778e-02
2.550000000000000000e+02	3.753699999999999815e+00	3.117206982543639995e-02	3.120590000000000169e-02	3.245957581684880133e-02
2.600000000000000000e+02	3.850200000000000067e+00	3.117206982543639995e-02	3.120030000000000026e-02	3.130741195304215241e-02
2.650000000000000000e+02	3.946499999999999897e+00	3.117206982543639995e-02	3.119519999999999932e-02	3.140384540656952078e-02
2.700000000000000000e+02	4.042600000000000193e+00	3.117206982543639995e-02	3.119049999999999948e-02	3.136416924312056265e-02
1.725269999999999868e+02	2.466000000000000192e+00	2.435984044499379941e-02	2.441480000000000039e-02	2.749563796231865864e-02
1.746910000000000025e+02	2.528300000000000214e+00	2.435984044499379941e-02	2.441010000000000055e-02	2.687411138882117925e-02
1.772030000000000030e+02	2.599400000000000155e+00	2.427164200376569908e-02	2.441159999999999858e-02	2.542525933148155268e-02
1.831759999999999877e+02	2.766599999999999948e+00	2.427731294815919927e-02	2.440290000000000167e-02	2.264624297050199520e-02
1.905320000000000107e+02	2.967600000000000016e+00	2.437507903619370170e-02	2.440809999999999855e-02	2.209126199753974271e-02
1.918489999999999895e+02	3.003800000000000026e+00	2.438365912502839933e-02	2.440229999999999830e-02	2.306771661359609607e-02
2.030840000000000032e+02	3.304800000000000182e+00	2.439606325606440140e-02	2.440629999999999883e-02	2.484234850049298754e-02
2.130409999999999968e+02	3.567200000000000149e+00	2.440752442973519870e-02	2.441219999999999848e-02	2.291944413913917303e-02
2.178640000000000043e+02	3.693099999999999827e+00	2.349328848433230102e-02	2.441569999999999852e-02	2.285309139393676414e-02
2.238309999999999889e+02	3.846099999999999852e+00	2.441995285972299937e-02	2.443489999999999898e-02	2.355063780736604134e-02
2.335459999999999923e+02	4.099000000000000199e+00	2.351012129529849934e-02	2.442160000000000164e-02	2.405839332550512369e-02
2.397969999999999970e+02	4.259000000000000341e+00	2.443718236550360134e-02	2.442640000000000089e-02	2.474833525971531500e-02
1.904290000000000020e+02	4.472000000000000419e+00	9.640349412536299706e-03	9.822700000000000181e-03	1.223437702177164466e-02
1.905320000000000107e+02	4.481399999999999828e+00	9.637964884344799379e-03	9.817650000000000682e-03	1.211690344130643242e-02
1.900519999999999925e+02	4.498899999999999899e+00	8.619521858573000669e-03	8.799070000000000849e-03	1.201277896751612971e-02
1.905320000000000107e+02	4.549299999999999677e+00	8.617258203526399762e-03	8.760840000000000641e-03	1.081499963660272241e-02
1.900320000000000107e+02	4.523600000000000065e+00	4.921348872433299951e-03	4.992429999999999958e-03	1.155558106670306028e-02
1.905320000000000107e+02	4.023900000000000254e+00	4.844859742376300162e-03	1.413829999999999948e-02	1.533111927299848562e-02
1.900320000000000107e+02	4.024000000000000021e+00	4.532635839243299991e-03	1.390369999999999974e-02	1.533111927299848562e-02
1.910320000000000107e+02	4.352299999999999613e+00	4.532833570905100105e-03	1.157440000000000031e-02	1.265096900860510250e-02
2.731499999999999773e+02	1.637599999999999945e+00	8.312551953449709430e-02	8.311219999999999719e-02	1.172050122643780168e-01
2.981419999999999959e+02	1.802000000000000046e+00	8.312551953449709430e-02	8.310800000000000132e-02	6.927794913000540067e-02
3.031429999999999723e+02	1.834699999999999998e+00	8.312551953449709430e-02	8.311380000000000157e-02	6.860693530944417251e-02
