# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
2.942599999999999909e+02	0.000000000000000000e+00	3.559660000000000224e+01	3.556640000000000157e+01	1.297562369368293611e-01
2.942599999999999909e+02	1.719999999999999973e+00	3.722800000000000153e+01	3.732690000000000197e+01	-3.620679161367826859e-01
2.942599999999999909e+02	3.450000000000000178e+00	3.900719999999999743e+01	3.935609999999999786e+01	4.483122184451945458e+01
3.109300000000000068e+02	0.000000000000000000e+00	3.625450000000000017e+01	3.620420000000000016e+01	-2.549806399602650586e+01
3.109300000000000068e+02	1.719999999999999973e+00	3.768460000000000321e+01	3.771249999999999858e+01	6.437787167677647915e+01
3.109300000000000068e+02	3.450000000000000178e+00	3.924219999999999686e+01	3.939690000000000225e+01	4.759124976317467315e+01
3.275899999999999750e+02	0.000000000000000000e+00	3.695949999999999847e+01	3.691270000000000095e+01	6.617680677942526124e+00
3.275899999999999750e+02	1.719999999999999973e+00	3.821490000000000009e+01	3.822030000000000172e+01	4.349582070949622903e+01
3.275899999999999750e+02	3.450000000000000178e+00	3.956439999999999912e+01	3.964549999999999841e+01	9.942935036339571653e+00
3.442599999999999909e+02	0.000000000000000000e+00	3.773160000000000025e+01	3.768430000000000035e+01	6.833243607544672216e+01
3.442599999999999909e+02	1.719999999999999973e+00	3.881920000000000215e+01	3.882900000000000063e+01	-7.474715812763427891e+00
3.442599999999999909e+02	3.450000000000000178e+00	4.000079999999999814e+01	4.005319999999999681e+01	-2.057735825219233691e-02
3.609300000000000068e+02	0.000000000000000000e+00	3.859089999999999776e+01	3.850970000000000226e+01	4.591932460478403755e+00
3.609300000000000068e+02	1.719999999999999973e+00	3.953090000000000259e+01	3.952040000000000219e+01	8.048660139335179053e+01
3.609300000000000068e+02	3.450000000000000178e+00	4.055140000000000100e+01	4.058509999999999707e+01	5.357996620385481634e+00
3.775899999999999750e+02	0.000000000000000000e+00	3.947710000000000008e+01	3.937989999999999924e+01	4.599273663074167473e+01
3.775899999999999750e+02	1.719999999999999973e+00	4.031640000000000157e+01	4.027890000000000015e+01	7.169512969077025843e+01
3.775899999999999750e+02	3.450000000000000178e+00	4.120259999999999678e+01	4.121450000000000102e+01	4.464969944573701888e+00
1.800000000000000000e+02	3.200000000000000178e+00	1.277547900000000027e+03	1.034530000000000030e+02	5.670222472797487256e+01
1.805000000000000000e+02	3.200000000000000178e+00	9.664186999999999443e+02	9.820130000000000337e+01	-4.906533366476937275e-01
1.805999999999999943e+02	3.200000000000000178e+00	9.712496999999999616e+02	9.725650000000000261e+01	3.186494005586510880e+01
1.855000000000000000e+02	3.200000000000000178e+00	7.256199999999999761e+01	7.180429999999999779e+01	7.217704739014406456e+00
1.931999999999999886e+02	3.200000000000000178e+00	5.798859999999999815e+01	5.785020000000000095e+01	4.476951618626543450e+01
1.930999999999999943e+02	3.200000000000000178e+00	5.810099999999999909e+01	5.796350000000000335e+01	-3.969135673721272184e+01
2.029000000000000057e+02	3.200000000000000178e+00	5.020439999999999969e+01	5.030830000000000268e+01	6.451745809091099204e+01
2.029000000000000057e+02	3.200000000000000178e+00	5.002790000000000248e+01	5.030830000000000268e+01	6.135213381282559197e+01
1.553700000000000045e+02	1.030000000000000027e+00	4.209550000000000125e+01	4.348660000000000281e+01	2.805988286800028320e+00
1.609300000000000068e+02	1.030000000000000027e+00	4.048420000000000130e+01	4.165720000000000312e+01	-2.980899131855870368e-02
1.664799999999999898e+02	1.030000000000000027e+00	3.934290000000000020e+01	4.037669999999999959e+01	6.336568124465522089e+01
1.720399999999999920e+02	1.030000000000000027e+00	3.853719999999999857e+01	3.940959999999999752e+01	-3.038266167757472402e+01
1.775900000000000034e+02	1.030000000000000027e+00	3.800010000000000332e+01	3.865540000000000020e+01	-6.204235513011612246e-01
1.831500000000000057e+02	1.030000000000000027e+00	3.759729999999999706e+01	3.805330000000000013e+01	6.780131402536047958e+00
1.887100000000000080e+02	1.030000000000000027e+00	3.726160000000000139e+01	3.756830000000000069e+01	2.880691566567140782e+01
1.942599999999999909e+02	1.030000000000000027e+00	3.699300000000000210e+01	3.717569999999999908e+01	4.564389555035026547e+01
1.998199999999999932e+02	1.030000000000000027e+00	3.672449999999999903e+01	3.685620000000000118e+01	3.956638448357773541e+01
2.053700000000000045e+02	1.030000000000000027e+00	3.652309999999999945e+01	3.659779999999999944e+01	-1.117548489187451963e+02
2.109300000000000068e+02	1.030000000000000027e+00	3.638880000000000337e+01	3.638949999999999818e+01	6.289994759822047143e+01
2.164799999999999898e+02	1.030000000000000027e+00	3.625450000000000017e+01	3.622480000000000189e+01	6.666814847076169315e+01
2.220399999999999920e+02	1.030000000000000027e+00	3.605310000000000059e+01	3.609709999999999752e+01	-4.880317971710927405e-01
2.275900000000000034e+02	1.030000000000000027e+00	3.598599999999999710e+01	3.600240000000000151e+01	7.409014882177187289e+00
2.331500000000000057e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.593690000000000140e+01	8.277240582254359325e+00
2.387100000000000080e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.589789999999999992e+01	6.329616700193911072e+01
2.442599999999999909e+02	1.030000000000000027e+00	3.585170000000000101e+01	3.588309999999999889e+01	2.719794998481312565e+00
2.498199999999999932e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.589039999999999964e+01	3.155305776430918030e+00
2.553700000000000045e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.591819999999999879e+01	5.837893799867028122e+01
2.609300000000000068e+02	1.030000000000000027e+00	3.598599999999999710e+01	3.596529999999999916e+01	6.324756994793524001e+01
2.664800000000000182e+02	1.030000000000000027e+00	3.605310000000000059e+01	3.603029999999999688e+01	6.499184017614598474e+01
