Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
210.760	0.100000	0.920457	1.08642	9.83036	11.5733	95.1987	25.3530	33.8504	379.829	8.45971	8.08831	0.0229067	vapor
225.810	0.100000	0.858223	1.16520	10.2145	12.0838	97.5384	25.5385	34.0060	393.033	7.47151	8.62669	0.0246939	vapor
248.250	0.100000	0.779761	1.28244	10.7934	12.8508	100.776	25.9427	34.3776	411.571	6.27458	9.41071	0.0274291	vapor
273.160	0.100000	0.708028	1.41237	11.4484	13.7143	104.091	26.5789	34.9883	430.681	5.22276	10.2551	0.0305992	vapor
298.140	0.100000	0.648299	1.54250	12.1234	14.5980	107.186	27.4096	35.8007	448.467	4.37776	11.0755	0.0339561	vapor
298.150	0.100000	0.648277	1.54255	12.1237	14.5984	107.187	27.4100	35.8011	448.474	4.37745	11.0758	0.0339575	vapor
298.150	0.100000	0.648277	1.54255	12.1237	14.5984	107.187	27.4100	35.8011	448.474	4.37745	11.0758	0.0339575	vapor
313.220	0.100000	0.616906	1.62099	12.5417	15.1422	108.966	27.9969	36.3793	458.617	3.94627	11.5584	0.0360796	vapor
331.550	0.100000	0.582631	1.71635	13.0626	15.8161	111.057	28.7878	37.1615	470.431	3.48690	12.1336	0.0387639	vapor
352.570	0.100000	0.547750	1.82565	13.6786	16.6074	113.371	29.7847	38.1503	483.359	3.03425	12.7778	0.0419829	vapor
371.190	0.100000	0.520174	1.92243	14.2424	17.3265	115.358	30.7346	39.0943	494.331	2.68893	13.3354	0.0449579	vapor
391.540	0.100000	0.493056	2.02817	14.8793	18.1331	117.473	31.8301	40.1844	505.880	2.36188	13.9316	0.0483370	vapor
391.550	0.100000	0.493043	2.02822	14.8796	18.1335	117.474	31.8307	40.1850	505.886	2.36173	13.9319	0.0483387	vapor
260.000	0.100000	0.744183	1.34376	11.1004	13.2562	102.372	26.2182	34.6400	420.768	5.74799	9.81237	0.0289044	vapor
260.000	0.200000	1.49253	0.670002	11.0865	13.2362	96.5551	26.2430	34.7736	420.202	5.74492	9.82606	0.0289828	vapor
260.000	0.300000	2.24509	0.445417	11.0725	13.2162	93.1300	26.2679	34.9091	419.640	5.74170	9.84010	0.0290607	vapor
260.000	0.400000	3.00190	0.333123	11.0585	13.1962	90.6840	26.2929	35.0465	419.080	5.73835	9.85447	0.0291388	vapor
260.000	0.500000	3.76299	0.265746	11.0444	13.1760	88.7744	26.3181	35.1857	418.524	5.73485	9.86918	0.0292175	vapor
260.000	0.600000	4.52843	0.220827	11.0302	13.1558	87.2039	26.3435	35.3268	417.970	5.73119	9.88425	0.0292969	vapor
260.000	0.700000	5.29823	0.188742	11.0160	13.1355	85.8674	26.3689	35.4699	417.419	5.72739	9.89966	0.0293771	vapor
260.000	0.800000	6.07246	0.164678	11.0017	13.1152	84.7021	26.3945	35.6149	416.871	5.72342	9.91544	0.0294581	vapor
260.000	0.900000	6.85115	0.145961	10.9873	13.0948	83.6675	26.4202	35.7619	416.326	5.71928	9.93158	0.0295402	vapor
260.000	1.00000	7.63435	0.130987	10.9729	13.0743	82.7358	26.4461	35.9110	415.785	5.71498	9.94809	0.0296232	vapor
260.000	1.25000	9.61236	0.104033	10.9365	13.0227	80.7404	26.5113	36.2928	414.447	5.70346	9.99100	0.0298353	vapor
260.000	1.50000	11.6195	0.0860620	10.8997	12.9708	79.0828	26.5774	36.6881	413.131	5.69077	10.0363	0.0300544	vapor
260.000	1.75000	13.6566	0.0732248	10.8626	12.9183	77.6577	26.6442	37.0974	411.839	5.67685	10.0842	0.0302810	vapor
260.000	2.00000	15.7242	0.0635961	10.8249	12.8655	76.4023	26.7118	37.5212	410.573	5.66161	10.1346	0.0305153	vapor
260.000	2.26000	17.9079	0.0558414	10.7854	12.8100	75.2334	26.7830	37.9780	409.285	5.64428	10.1899	0.0307679	vapor
260.000	2.50000	19.9544	0.0501144	10.7484	12.7583	74.2516	26.8493	38.4146	408.126	5.62685	10.2437	0.0310094	vapor
260.000	2.73000	21.9440	0.0455706	10.7126	12.7084	73.3816	26.9136	38.8471	407.042	5.60879	10.2977	0.0312489	vapor
260.000	2.99000	24.2273	0.0412757	10.6716	12.6515	72.4671	26.9869	39.3530	405.851	5.58669	10.3618	0.0315294	vapor
260.000	3.25000	26.5478	0.0376679	10.6301	12.5941	71.6139	27.0608	39.8775	404.701	5.56270	10.4292	0.0318208	vapor
260.000	3.48000	28.6322	0.0349257	10.5930	12.5429	70.9022	27.1268	40.3576	403.718	5.53982	10.4918	0.0320882	vapor
260.000	3.74000	31.0249	0.0322322	10.5505	12.4845	70.1394	27.2020	40.9189	402.651	5.51200	10.5659	0.0324018	vapor
