Temperature (K), Pressure (MPa), Enthalpy (kJ/mol), DOI
199.82,0.0,11.767,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
202.59,0.0,11.8603,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
205.37,0.0,11.9536,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
210.93,0.0,12.1402,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
216.48,0.0,12.3268,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
222.04,0.0,12.5134,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
227.59,0.0,12.7,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
233.15,0.0,12.8866,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
238.71,0.0,13.0732,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
244.26,0.0,13.2598,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
249.82,0.0,13.4502,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
255.37,0.0,13.6405,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
260.93,0.0,13.8308,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
266.48,0.0,14.0212,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
272.04,0.0,14.2152,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
277.59,0.0,14.4093,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
283.15,0.0,14.6034,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
99.82,0.34,0.0,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
105.37,0.34,0.2986,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
110.93,0.34,0.6009,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
116.48,0.34,0.9069,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
122.04,0.34,1.2166,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
127.59,0.34,1.5339,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
133.15,0.34,9.3599,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
138.71,0.34,9.5465,M. L. Jones D. T. Mage- R. C. Faulkner- and D. L. Katz Chern. Engng. Proc. Symp. Ser. 59- 52 (1963)
