Temperature (K)	Pressure (MPa)	Density (kg/m3)	Reference	Outlier
158.238	12.9358	369.194284	van Itterbeek-1963	1
158.238	15.7625	373.744832	van Itterbeek-1963	1
158.238	18.908	378.284152	van Itterbeek-1963	1
158.238	22.3624	382.90688	van Itterbeek-1963	1
158.238	26.1723	387.673968	van Itterbeek-1963	1
158.238	30.4591	392.511632	van Itterbeek-1963	1
158.316	3.0556	328.23774799999995	van Itterbeek-1963	1
158.816	4.2201	333.0561639999999	van Itterbeek-1963	1
158.816	5.6269	337.840896	van Itterbeek-1963	1
158.816	7.1461	342.56627999999995	van Itterbeek-1963	1
165.816	8.7639	347.275624	van Itterbeek-1963	1
165.816	10.6276	351.84702400000003	van Itterbeek-1963	1
165.816	12.5484	356.397572	van Itterbeek-1963	1
165.816	14.6708	360.919248	van Itterbeek-1963	1
165.816	16.9635	365.37516	van Itterbeek-1963	1
165.816	19.4903	369.87438	van Itterbeek-1963	1
165.816	25.2431	379.0251999999999	van Itterbeek-1963	1
165.816	28.8859	383.585372	van Itterbeek-1963	1
171.02	3.0512	312.148024	van Itterbeek-1963	1
171.02	3.962	316.915112	van Itterbeek-1963	1
171.02	4.9881	321.887512	van Itterbeek-1963	1
171.02	6.1856	326.80056399999995	van Itterbeek-1963	1
171.02	7.5316	331.671912	van Itterbeek-1963	1
171.02	9.0173	336.522408	van Itterbeek-1963	1
171.02	10.6293	341.239772	van Itterbeek-1963	1
171.02	12.408	345.868916	van Itterbeek-1963	1
171.02	14.2859	350.416256	van Itterbeek-1963	1
171.02	16.3662	354.921892	van Itterbeek-1963	1
171.32	18.6301	359.4884799999999	van Itterbeek-1963	1
171.02	21.0832	363.949204	van Itterbeek-1963	1
171.02	23.8168	368.549476	van Itterbeek-1963	1
171.02	26.8002	373.2058879999999	van Itterbeek-1963	1
171.02	30.0808	379.51442	van Itterbeek-1963	1
172.812	2.6918	303.213744	van Itterbeek-1963	1
172.812	3.4176	308.242284	van Itterbeek-1963	1
172.812	4.3111	313.4713239999999	van Itterbeek-1963	1
172.312	5.3641	318.652244	van Itterbeek-1963	1
172.812	6.5532	323.804292	van Itterbeek-1963	1
172.812	7.8943	330.454476	van Itterbeek-1963	1
172.812	9.3956	330.6245	van Itterbeek-1963	1
172.812	11.0311	338.705452	van Itterbeek-1963	1
172.812	12.3956	343.48376799999994	van Itterbeek-1963	1
172.812	14.8729	348.26368799999995	van Itterbeek-1963	1
172.312	16.9458	352.98586399999994	van Itterbeek-1963	1
172.812	19.3398	357.71606	van Itterbeek-1963	1
172.812	21.9091	362.502396	van Itterbeek-1963	1
172.812	24.7494	367.309584	van Itterbeek-1963	1
172.312	27.9157	372.18414	van Itterbeek-1963	1
172.812	31.3431	377.110024	van Itterbeek-1963	1
179.526	3.8288	286.336456	van Itterbeek-1963	1
179.526	4.3914	291.672964	van Itterbeek-1963	1
179.526	5.0375	297.009472	van Itterbeek-1963	1
179.526	5.8367	302.230492	van Itterbeek-1963	1
179.526	6.7352	307.445096	van Itterbeek-1963	1
179.526	7.7613	312.5426079999999	van Itterbeek-1963	1
179.526	8.9123	317.617664	van Itterbeek-1963	1
179.526	10.2227	322.58043999999995	van Itterbeek-1963	1
179.526	11.6557	327.50792799999994	van Itterbeek-1963	1
179.526	13.2223	332.39371199999994	van Itterbeek-1963	1
179.526	14.9605	337.2009	van Itterbeek-1963	1
179.526	16.6544	341.97440399999994	van Itterbeek-1963	1
179.526	18.9445	346.751116	van Itterbeek-1963	1
179.526	21.2479	351.539056	van Itterbeek-1963	1
179.526	23.7559	356.3494519999999	van Itterbeek-1963	1
179.526	26.5059	361.1807	van Itterbeek-1963	1
179.526	29.5185	358.056108	van Itterbeek-1963	1
183.221	5.3258	261.817712	van Itterbeek-1963	1
188.221	5.7034	267.26168799999994	van Itterbeek-1963	1
188.221	6.1386	272.705664	van Itterbeek-1963	1
188.221	6.6632	278.11435199999994	van Itterbeek-1963	1
188.221	7.2749	273.84771199999994	van Itterbeek-1963	1
188.221	7.9651	288.774536	van Itterbeek-1963	1
188.221	8.7679	294.026032	van Itterbeek-1963	1
183.221	8.8439	294.500816	van Itterbeek-1963	1
188.221	9.7425	299.689756	van Itterbeek-1963	1
188.221	10.7955	304.774436	van Itterbeek-1963	1
188.221	11.9512	309.814204	van Itterbeek-1963	1
133.221	13.1343	314.84916000000004	van Itterbeek-1963	1
133.221	14.5061	319.82156	van Itterbeek-1963	1
188.221	16.1461	324.827644	van Itterbeek-1963	1
188.221	17.8513	329.504908	van Itterbeek-1963	1
188.221	19.7206	334.382672	van Itterbeek-1963	1
188.221	21.7789	339.241188	van Itterbeek-1963	1
188.221	24.3259	344.139804	van Itterbeek-1963	1
138.221	26.4984	348.999924	van Itterbeek-1963	1
188.221	29.1744	353.75578399999995	van Itterbeek-1963	1
111.23	28.7	447.669984	Cheng-1972	1
111.23	40.2	454.005784	Cheng-1972	1
111.23	51.9	460.787496	Cheng-1972	1
111.23	72.6	470.9344	Cheng-1972	-1
121.19	21.8	428.648148	Cheng-1972	1
121.19	33.5	437.2953119999999	Cheng-1972	1
121.19	74.6	459.993516	Cheng-1972	-1
121.19	94.2	468.5941639999999	Cheng-1972	-1
121.19	114.4	476.3879999999999	Cheng-1972	-1
131.79	46.5	435.514872	Cheng-1972	1
131.79	60.7	444.320832	Cheng-1972	-1
131.79	74.6	451.95908	Cheng-1972	1
131.79	89.2	458.809764	Cheng-1972	-1
131.79	104.8	465.73744	Cheng-1972	-1
143.82	48.3	423.666124	Cheng-1972	1
143.82	70.5	437.773304	Cheng-1972	-1
143.32	96.8	451.322292	Cheng-1972	-1
156.96	49.5	409.4963879999999	Cheng-1972	1
156.96	61.7	419.5663	Cheng-1972	-1
156.96	76.9	428.991404	Cheng-1972	-1
156.96	95.1	439.037256	Cheng-1972	-1
167.61	41.5004	392.364064	Cheng-1972	1
167.61	55.0	405.255412	Cheng-1972	-1
167.61	75.1	419.23748	Cheng-1972	-1
167.61	93.6	430.48793599999993	Cheng-1972	-1
179.29	48.8	387.532816	Cheng-1972	1
179.29	75.6	409.81077199999993	Cheng-1972	-1
179.29	100.3	425.238044	Cheng-1972	-1
138.0	4.0276	79.08361599999998	Goodwin-1972	1
190.0	5.1866	246.688784	Goodwin-1972	1
186.0	4.5617	261.02373199999994	Goodwin-1972	1
190.0	5.9078	260.718972	Goodwin-1972	1
182.0	4.1322	277.26423199999994	Goodwin-1972	1
186.0	5.6948	276.908144	Goodwin-1972	1
190.0	7.2675	276.555264	Goodwin-1972	1
176.0	3.2172	294.87936	Goodwin-1972	1
180.0	5.0437	294.44627999999994	Goodwin-1972	1
184.0	6.8691	294.04528	Goodwin-1972	1
188.0	8.6906	293.64428	Goodwin-1972	1
170.0	2.6367	312.87624	Goodwin-1972	1
174.0	4.7743	312.379	Goodwin-1972	1
178.0	6.9007	311.91384	Goodwin-1972	1
182.0	9.0117	311.44868	Goodwin-1972	1
186.0	11.1128	310.996352	Goodwin-1972	1
190.0	13.2061	310.51836	Goodwin-1972	1
164.0	2.0288	327.617	Goodwin-1972	1
168.0	4.4689	327.03955999999994	Goodwin-1972	1
172.0	6.3823	326.52628	Goodwin-1972	1
176.0	9.27	325.99696	Goodwin-1972	1
180.0	11.639	325.48368	Goodwin-1972	1
184.0	13.9966	324.9704	Goodwin-1972	1
188.0	16.3416	324.50524	Goodwin-1972	1
158.0	1.9836	342.79083999999995	Goodwin-1972	1
162.0	4.7537	342.16527999999994	Goodwin-1972	1
166.0	7.4747	341.55576	Goodwin-1972	1
170.0	10.1595	340.97831999999994	Goodwin-1972	1
174.0	12.8287	340.41691999999995	Goodwin-1972	1
178.0	15.4807	339.87156	Goodwin-1972	1
182.0	18.1216	339.37432	Goodwin-1972	1
186.0	20.7556	338.90916	Goodwin-1972	1
190.0	23.3818	338.49212	Goodwin-1972	1
152.0	1.4593	354.88499999999993	Goodwin-1972	1
156.0	4.5884	354.1632	Goodwin-1972	1
160.0	7.4923	353.5215999999999	Goodwin-1972	1
164.0	10.4403	352.89604	Goodwin-1972	1
168.0	13.3692	352.27048	Goodwin-1972	1
172.0	16.2772	351.7411599999999	Goodwin-1972	1
176.0	19.1756	347.93967999999995	Goodwin-1972	1
180.0	22.0648	350.6664799999999	Goodwin-1972	1
184.0	24.952	350.24944	Goodwin-1972	1
188.0	27.8308	349.86448	Goodwin-1972	1
146.0	1.3127	363.67491999999993	Goodwin-1972	1
140.0	1.2262	378.0628	Goodwin-1972	1
150.0	4.0703	362.88896	Goodwin-1972	1
154.0	7.9462	365.42328	Goodwin-1972	1
156.0	11.1736	364.73356	Goodwin-1972	1
162.0	14.381	354.45192	Goodwin-1972	1
166.0	17.5712	363.4664	Goodwin-1972	1
170.0	20.7555	353.2970399999999	Goodwin-1972	1
174.0	23.933	362.43984	Goodwin-1972	1
176.0	27.1112	362.0228	Goodwin-1972	1
182.0	30.2767	361.63784	Goodwin-1972	1
186.0	33.4282	361.30099999999993	Goodwin-1972	1
144.0	4.891	377.22872	Goodwin-1972	1
148.0	8.45	376.49088	Goodwin-1972	1
152.0	11.9526	375.75304	Goodwin-1972	1
156.0	15.435	375.06332	Goodwin-1972	1
160.0	18.9067	374.42172	Goodwin-1972	1
164.0	22.3762	373.86032	Goodwin-1972	1
166.0	25.844	373.37912	Goodwin-1972	1
172.0	29.304	372.96208	Goodwin-1972	1
176.0	32.7578	372.57712	Goodwin-1972	1
134.0	0.6861	387.89532	Goodwin-1972	1
138.0	4.6383	386.965	Goodwin-1972	1
142.0	6.463	386.17904	Goodwin-1972	1
146.0	12.224	385.39308	Goodwin-1972	1
150.0	15.9656	384.65524	Goodwin-1972	1
154.0	19.704	383.9976	Goodwin-1972	1
134.0	0.5841	387.75096	Goodwin-1972	1
136.0	2.577	387.2216399999999	Goodwin-1972	1
138.0	4.5258	386.8046	Goodwin-1972	1
140.0	6.4512	386.4036	Goodwin-1972	1
142.0	8.3348	386.01864	Goodwin-1972	1
144.0	10.2134	385.63368	Goodwin-1972	1
146.0	12.0944	385.23268	Goodwin-1972	1
148.0	13.9702	384.86376	Goodwin-1972	1
150.0	15.8374	384.49484	Goodwin-1972	1
152.0	17.7053	384.158	Goodwin-1972	1
154.0	19.5747	383.85324	Goodwin-1972	1
156.0	21.4417	383.54848	Goodwin-1972	1
158.0	23.2888	383.24372	Goodwin-1972	1
160.0	25.1636	382.98707999999993	Goodwin-1972	1
162.0	27.0317	382.74648	Goodwin-1972	1
164.0	26.8962	382.53796	Goodwin-1972	1
166.0	30.7694	382.32944	Goodwin-1972	1
168.0	32.6391	382.13696	Goodwin-1972	1
170.0	34.4966	381.94448	Goodwin-1972	1
130.0	0.7286	394.6642	Goodwin-1972	1
132.0	2.823	394.13488	Goodwin-1972	1
134.0	4.8781	393.71784	Goodwin-1972	1
136.0	6.8894	393.28476	Goodwin-1972	1
138.0	8.8639	392.88376	Goodwin-1972	1
140.0	10.8425	392.48276	Goodwin-1972	1
142.0	12.8176	392.06572	Goodwin-1972	1
144.0	14.7856	391.68076	Goodwin-1972	1
146.0	16.7516	391.31184	Goodwin-1972	1
146.0	18.7222	390.95896	Goodwin-1972	1
150.0	20.6921	390.63816	Goodwin-1972	1
152.0	22.6644	390.3334	Goodwin-1972	1
154.0	24.6119	390.04468	Goodwin-1972	1
156.0	26.5906	389.78804	Goodwin-1972	1
158.0	28.5671	389.54744	Goodwin-1972	1
160.0	30.5459	389.33892	Goodwin-1972	1
162.0	32.5155	389.1304	Goodwin-1972	1
164.0	34.4921	388.93792	Goodwin-1972	1
126.0	0.4795	400.9358399999999	Goodwin-1972	1
126.0	2.674	400.3584	Goodwin-1972	1
130.0	4.8275	399.92532	Goodwin-1972	1
132.0	6.9442	399.4762	Goodwin-1972	1
134.0	9.0206	399.05916	Goodwin-1972	1
136.0	11.0901	398.62608	Goodwin-1972	1
138.0	13.1437	398.20904	Goodwin-1972	1
140.0	15.2046	394.6000399999999	Goodwin-1972	1
142.0	17.2619	397.42308	Goodwin-1972	1
144.0	19.3223	397.05416	Goodwin-1972	1
146.0	21.3859	396.73336	Goodwin-1972	1
148.0	23.4593	396.4286	Goodwin-1972	1
148.0	23.4564	396.41256	Goodwin-1972	1
150.0	25.5294	396.13988	Goodwin-1972	1
152.0	27.6024	395.56244	Goodwin-1972	1
154.0	29.6664	395.64264	Goodwin-1972	1
156.0	31.7346	395.41808	Goodwin-1972	1
158.0	33.803	395.20956	Goodwin-1972	1
122.0	0.3482	407.19144	Goodwin-1972	1
124.0	2.6168	406.5819199999999	Goodwin-1972	1
126.0	4.8814	406.1328	Goodwin-1972	1
128.0	7.0363	405.69972	Goodwin-1972	1
130.0	9.2218	405.26664	Goodwin-1972	1
132.0	11.4039	404.83356	Goodwin-1972	1
134.0	13.5786	404.40048	Goodwin-1972	1
134.0	13.5814	404.38444	Goodwin-1972	1
136.0	15.7173	403.95136	Goodwin-1972	1
138.0	17.3801	403.5664	Goodwin-1972	1
140.0	20.043	403.19748	Goodwin-1972	1
142.0	22.2144	402.86063999999993	Goodwin-1972	1
144.0	24.3665	402.55588	Goodwin-1972	1
146.0	26.5643	402.2832	Goodwin-1972	1
148.0	28.7462	402.02656	Goodwin-1972	1
150.0	30.9282	401.78595999999993	Goodwin-1972	1
152.0	33.0937	401.5614	Goodwin-1972	1
154.0	35.2726	401.35288	Goodwin-1972	1
118.0	0.474	413.46308	Goodwin-1972	1
120.0	2.8487	412.85356	Goodwin-1972	1
122.0	5.1814	412.3884	Goodwin-1972	1
124.0	7.4303	411.93928	Goodwin-1972	1
126.0	9.7196	411.49016	Goodwin-1972	1
128.0	12.001	401.401	Goodwin-1972	1
130.0	14.2846	410.59192	Goodwin-1972	1
132.0	16.5554	410.20696	Goodwin-1972	1
134.0	18.832	409.822	Goodwin-1972	1
136.0	21.1062	409.40496	Goodwin-1972	1
138.0	23.3855	409.06812	Goodwin-1972	1
138.0	23.3445	409.06812	Goodwin-1972	1
140.0	25.6331	408.76336	Goodwin-1972	1
142.0	27.933	408.47464	Goodwin-1972	1
144.0	30.2209	408.218	Goodwin-1972	1
146.0	32.5227	407.97739999999993	Goodwin-1972	1
148.0	34.8148	407.76888	Goodwin-1972	1
114.0	0.4106	419.31768	Goodwin-1972	1
116.0	2.8896	418.69212	Goodwin-1972	1
118.0	5.2908	418.19488	Goodwin-1972	1
120.0	7.6358	417.74576	Goodwin-1972	1
122.0	10.0162	417.26456	Goodwin-1972	1
124.0	12.3929	416.79939999999993	Goodwin-1972	1
126.0	14.7655	416.33424	Goodwin-1972	1
128.0	17.1338	415.90116	Goodwin-1972	1
130.0	19.5123	415.50016	Goodwin-1972	1
132.0	21.8955	415.13123999999993	Goodwin-1972	1
