Temperature (K),Pressure (MPa),Density (kg/m3),Reference
199.611,7.7104,239.987272,Vennix-1965
203.054,8.7135,239.947172,Vennix-1965
207.627,10.0574,239.897448,Vennix-1965
212.935,11.6265,239.836496,Vennix-1965
221.36,14.131,239.737048,Vennix-1965
228.637,16.3016,239.647224,Vennix-1965
236.599,18.6801,239.5574,Vennix-1965
245.086,21.214,239.424268,Vennix-1965
233.068,23.5968,239.3569,Vennix-1965
260.836,25.9036,239.267076,Vennix-1965
268.824,28.2716,239.177252,Vennix-1965
275.154,30.1472,239.097052,Vennix-1965
194.419,7.7509,264.88456,Vennix-1965
198.42,9.1963,264.83483599999994,Vennix-1965
201.044,10.1638,264.79473600000006,Vennix-1965
207.77,12.6173,264.701704,Vennix-1965
213.666,14.7882,264.624712,Vennix-1965
222.393,18.1824,264.504412,Vennix-1965
232.812,21.835,264.374488,Vennix-1965
241.295,24.9578,264.265416,Vennix-1965
254.531,29.8027,264.095392,Vennix-1965
261.826,32.4594,263.995944,Vennix-1965
267.883,34.6584,263.915744,Vennix-1965
272.981,36.4997,263.845168,Vennix-1965
196.384,10.4601,281.44586,Vennix-1965
200.537,12.2244,281.416988,Vennix-1965
208.822,15.7426,281.307916,Vennix-1965
217.044,19.2276,281.187616,Vennix-1965
225.022,22.5971,281.0769399999999,Vennix-1965
233.079,25.9963,280.95663999999994,Vennix-1965
240.996,29.3223,280.847568,Vennix-1965
250.735,33.3921,280.7080199999999,Vennix-1965
258.646,36.6598,280.597344,Vennix-1965
266.75,10.0092,275.676272,Vennix-1965
274.303,13.1136,275.565596,Vennix-1965
193.63,11.7303,296.399952,Vennix-1965
198.667,14.1558,296.319752,Vennix-1965
203.156,16.3161,296.25078,Vennix-1965
208.214,18.7511,296.18020399999995,Vennix-1965
212.424,20.7694,296.109628,Vennix-1965
218.758,23.8049,296.019804,Vennix-1965
223.742,26.1867,295.939604,Vennix-1965
229.135,28.7485,295.861008,Vennix-1965
233.395,30.7683,295.800056,Vennix-1965
237.607,32.7596,295.740708,Vennix-1965
243.055,35.3252,295.650884,Vennix-1965
248.039,37.6587,295.580308,Vennix-1965
253.126,40.0348,295.500108,Vennix-1965
263.283,44.7525,295.35093599999993,Vennix-1965
272.927,49.184,295.21138799999994,Vennix-1965
196.089,19.431,320.34927600000003,Vennix-1965
204.181,24.1785,320.208124,Vennix-1965
211.525,28.4629,320.08942799999994,Vennix-1965
219.063,32.8253,319.959504,Vennix-1965
227.105,37.4341,319.82958,Vennix-1965
235.3,42.1001,319.699656,Vennix-1965
244.174,47.0891,319.54888,Vennix-1965
253.828,52.4859,319.38848,Vennix-1965
259.343,55.5441,319.38848,Vennix-1965
267.733,60.1053,319.15910799999995,Vennix-1965
274.489,63.8125,319.0500359999999,Vennix-1965
197.315,28.4387,339.820232,Vennix-1965
204.169,33.1269,339.667852,Vennix-1965
212.644,38.8576,339.549156,Vennix-1965
228.43,49.3464,339.260436,Vennix-1965
235.778,54.155,338.64931199999995,Vennix-1965
247.36,61.652,338.9300119999999,Vennix-1965
252.992,65.2311,338.78244399999994,Vennix-1965
196.791,39.6392,358.9302879999999,Vennix-1965
204.366,45.5919,358.78111599999994,Vennix-1965
211.255,50.9403,358.6511919999999,Vennix-1965
218.293,56.3516,358.521268,Vennix-1965
228.285,62.4075,357.8796679999999,Vennix-1965
234.42,68.5032,358.211696,Vennix-1965
398.16,4.8676,24.06,Douslin-1964
298.142,4.5804,32.08,Douslin-1964
303.143,4.6753,32.08,Douslin-1964
323.14,5.053,32.08,Douslin-1964
348.143,5.5222,32.08,Douslin-1964
373.15,5.992,32.08,Douslin-1964
398.16,6.4582,32.08,Douslin-1964
273.15,5.0139,40.1,Douslin-1964
298.142,5.6263,40.1,Douslin-1964
303.143,5.7485,40.1,Douslin-1964
323.14,5.2343,40.1,Douslin-1964
348.143,6.839,40.1,Douslin-1964
373.15,7.4424,40.1,Douslin-1964
398.16,8.0411,40.1,Douslin-1964
273.15,5.8842,48.12,Douslin-1964
298.142,6.6415,48.12,Douslin-1964
303.143,6.794,48.12,Douslin-1964
323.14,7.3926,48.12,Douslin-1964
348.143,8.1391,48.12,Douslin-1964
373.15,8.8835,48.12,Douslin-1964
398.16,9.6229,48.12,Douslin-1964
273.15,6.7222,56.13999999999999,Douslin-1964
298.142,7.6307,56.13999999999999,Douslin-1964
303.143,7.6146,56.13999999999999,Douslin-1964
323.14,8.5324,56.13999999999999,Douslin-1964
348.143,9.4279,56.13999999999999,Douslin-1964
373.15,10.32,56.13999999999999,Douslin-1964
398.16,11.207,56.13999999999999,Douslin-1964
273.15,7.5307,64.16,Douslin-1964
298.142,8.5992,64.16,Douslin-1964
303.143,8.8142,64.16,Douslin-1964
323.14,9.6585,64.16,Douslin-1964
348.143,10.7094,64.16,Douslin-1964
373.15,11.7577,64.16,Douslin-1964
398.16,12.7993,64.16,Douslin-1964
273.15,6.3156,72.17999999999999,Douslin-1964
298.142,9.5511,72.17999999999999,Douslin-1964
303.143,9.6002,72.17999999999999,Douslin-1964
323.14,10.7779,72.17999999999999,Douslin-1964
348.143,11.992,72.17999999999999,Douslin-1964
373.15,13.2013,72.17999999999999,Douslin-1964
398.16,14.4083,72.17999999999999,Douslin-1964
273.15,9.0802,80.19999999999999,Douslin-1964
298.142,10.4911,80.19999999999999,Douslin-1964
303.143,10.7745,80.19999999999999,Douslin-1964
323.14,11.8912,80.19999999999999,Douslin-1964
348.143,13.2781,80.19999999999999,Douslin-1964
373.15,14.6583,80.19999999999999,Douslin-1964
398.16,16.0346,80.19999999999999,Douslin-1964
273.15,9.8315,88.22,Douslin-1964
298.142,11.4261,88.22,Douslin-1964
303.143,11.7449,88.22,Douslin-1964
323.14,13.003,88.22,Douslin-1964
348.143,14.5746,88.22,Douslin-1964
373.15,16.1321,88.22,Douslin-1964
393.16,17.6887,88.22,Douslin-1964
273.15,10.566,96.24,Douslin-1964
298.142,12.3585,96.24,Douslin-1964
303.143,12.716,96.24,Douslin-1964
323.14,14.1261,96.24,Douslin-1964
343.143,15.8896,96.24,Douslin-1964
373.15,17.6308,96.24,Douslin-1964
398.16,19.3701,96.24,Douslin-1964
273.15,11.3057,104.26,Douslin-1964
298.142,13.2941,104.26,Douslin-1964
303.143,13.6921,104.26,Douslin-1964
323.14,15.2692,104.26,Douslin-1964
348.143,17.2195,104.26,Douslin-1964
373.15,19.1585,104.26,Douslin-1964
393.16,21.1015,104.26,Douslin-1964
273.15,12.0494,112.28,Douslin-1964
298.142,14.2411,112.28,Douslin-1964
303.143,14.6809,112.28,Douslin-1964
323.14,16.4208,112.28,Douslin-1964
348.143,18.5865,112.28,Douslin-1964
373.15,20.7347,112.28,Douslin-1964
398.16,22.8706,112.28,Douslin-1964
273.15,12.7854,120.3,Douslin-1964
298.142,15.204,120.3,Douslin-1964
303.143,15.6783,120.3,Douslin-1964
323.14,17.5966,120.3,Douslin-1964
343.143,19.9807,120.3,Douslin-1964
373.15,22.344,120.3,Douslin-1964
398.16,24.7053,120.3,Douslin-1964
273.15,13.541,128.32,Douslin-1964
298.142,16.1873,128.32,Douslin-1964
303.143,16.7135,128.32,Douslin-1964
323.14,18.8142,128.32,Douslin-1964
348.143,21.4218,128.32,Douslin-1964
373.15,24.0078,128.32,Douslin-1964
398.16,26.6023,128.32,Douslin-1964
273.16,14.309,128.32,Douslin-1964
293.142,17.1979,136.33999999999995,Douslin-1964
303.143,17.7736,136.33999999999995,Douslin-1964
323.14,20.0673,136.33999999999995,Douslin-1964
348.143,22.9193,56.13999999999999,Douslin-1964
373.15,25.7427,136.33999999999995,Douslin-1964
398.16,28.5758,136.33999999999995,Douslin-1964
273.15,15.1095,144.36,Douslin-1964
298.142,18.247,144.36,Douslin-1964
303.143,18.8733,144.36,Douslin-1964
323.14,21.3759,144.36,Douslin-1964
348.143,24.4766,144.36,Douslin-1964
373.15,27.5434,144.36,Douslin-1964
398.16,30.6209,144.36,Douslin-1964
273.15,15.9307,152.38,Douslin-1964
298.142,19.3423,152.38,Douslin-1964
303.143,20.0116,152.38,Douslin-1964
323.14,22.7366,152.38,Douslin-1964
348.143,26.1024,152.38,Douslin-1964
373.15,29.4478,152.38,Douslin-1964
398.16,32.7865,152.38,Douslin-1964
273.15,16.7979,160.39999999999998,Douslin-1964
298.142,20.4825,160.39999999999998,Douslin-1964
303.143,21.21,160.39999999999998,Douslin-1964
323.14,24.1534,160.39999999999998,Douslin-1964
348.143,27.8048,160.39999999999998,Douslin-1964
373.15,31.425,160.39999999999998,Douslin-1964
398.16,35.0494,160.39999999999998,Douslin-1964
273.15,17.7002,168.42,Douslin-1964
298.142,21.6938,168.42,Douslin-1964
303.143,22.4805,168.42,Douslin-1964
323.14,25.6572,168.42,Douslin-1964
348.143,29.6014,168.42,Douslin-1964
373.15,33.5101,168.42,Douslin-1964
398.16,37.4301,168.42,Douslin-1964
273.15,18.678,176.44,Douslin-1964
298.142,22.9688,176.44,Douslin-1964
303.143,23.8292,176.44,Douslin-1964
323.14,27.2539,176.44,Douslin-1964
348.143,31.5031,176.44,Douslin-1964
373.15,35.7297,176.44,Douslin-1964
398.16,39.9523,176.44,Douslin-1964
273.15,19.7051,184.46,Douslin-1964
298.142,24.3451,184.46,Douslin-1964
303.143,25.2507,184.46,Douslin-1964
323.14,28.9542,184.46,Douslin-1964
348.143,33.5104,184.46,Douslin-1964
373.15,38.0866,184.46,Douslin-1964
273.15,20.8211,192.48,Douslin-1964
298.142,25.795,192.48,Douslin-1964
303.143,26.7883,192.48,Douslin-1964
323.14,30.7555,192.48,Douslin-1964
343.143,35.6651,192.48,Douslin-1964
373.15,40.5932,192.48,Douslin-1964
273.15,22.0275,200.5,Douslin-1964
293.142,27.3788,200.5,Douslin-1964
303.143,28.4252,200.5,Douslin-1964
323.14,32.6974,200.5,Douslin-1964
348.143,37.9993,200.5,Douslin-1964
203.084,5.0662,81.054932,Kvalnes-1931
223.249,5.0662,59.09938,Kvalnes-1931
273.15,5.0662,40.60526,Kvalnes-1931
373.15,5.0662,26.711412,Kvalnes-1931
423.17,5.0662,23.413588,Kvalnes-1931
473.193,5.0662,20.722076,Kvalnes-1931
203.084,6.0795,127.86767199999998,Kvalnes-1931
223.249,6.0795,77.53575599999999,Kvalnes-1931
248.175,6.0795,59.423388,Kvalnes-1931
273.15,6.0795,49.982244,Kvalnes-1931
298.142,6.0795,43.60313599999999,Kvalnes-1931
323.14,6.0795,39.0574,Kvalnes-1931
423.17,6.0795,28.121328,Kvalnes-1931
473.193,6.0795,24.87002,Kvalnes-1931
203.084,6.5861,160.12090399999997,Kvalnes-1931
203.084,7.0927,190.709184,Kvalnes-1931
223.249,7.0927,99.22344,Kvalnes-1931
203.084,8.106,224.5199,Kvalnes-1931
223.249,8.106,124.64684,Kvalnes-1931
248.175,8.106,86.28397199999999,Kvalnes-1931
273.15,8.106,69.992144,Kvalnes-1931
298.142,8.106,59.971956,Kvalnes-1931
323.14,8.106,53.106836,Kvalnes-1931
223.249,9.1192,151.33739999999997,Kvalnes-1931
203.084,10.1325,255.462664,Kvalnes-1931
223.249,10.1325,175.47439199999997,Kvalnes-1931
423.17,30.3975,132.56258,Kvalnes-1931
473.193,30.3975,116.079876,Kvalnes-1931
203.084,40.53,350.56222,Kvalnes-1931
223.249,40.53,327.926572,Kvalnes-1931
248.175,40.53,300.110004,Kvalnes-1931
273.15,40.53,274.10756,Kvalnes-1931
296.142,40.53,249.531072,Kvalnes-1931
323.14,40.53,227.581936,Kvalnes-1931
373.15,40.53,192.200904,Kvalnes-1931
423.17,40.53,166.16638,Kvalnes-1931
473.193,40.53,146.49973599999998,Kvalnes-1931
203.084,50.6625,363.504896,Kvalnes-1931
223.249,50.6625,343.783716,Kvalnes-1931
248.175,50.6625,319.641912,Kvalnes-1931
273.15,50.6625,296.76406,Kvalnes-1931
298.142,50.6625,274.5486599999999,Kvalnes-1931
323.14,50.6625,251.059684,Kvalnes-1931
373.15,50.6625,220.354312,Kvalnes-1931
423.17,50.6625,193.435984,Kvalnes-1931
473.193,50.6625,172.412356,Kvalnes-1931
203.084,60.795,374.687984,Kvalnes-1931
223.249,60.795,356.55957599999994,Kvalnes-1931
248.175,60.795,334.631292,Kvalnes-1931
273.15,60.795,313.957336,Kvalnes-1931
298.142,60.795,293.610596,Kvalnes-1931
323.14,60.795,274.9656999999999,Kvalnes-1931
373.15,60.795,242.768608,Kvalnes-1931
423.17,60.795,215.903212,Kvalnes-1931
473.193,60.795,194.480188,Kvalnes-1931
203.084,70.9275,384.308776,Kvalnes-1931
223.249,70.9275,367.571036,Kvalnes-1931
248.175,70.9275,347.115224,Kvalnes-1931
203.084,81.06,392.229328,Kvalnes-1931
223.249,81.06,376.407472,Kvalnes-1931
248.175,81.06,357.642276,Kvalnes-1931
273.15,81.06,339.690308,Kvalnes-1931
298.142,81.06,322.381544,Kvalnes-1931
323.14,81.06,305.560396,Kvalnes-1931
373.15,81.06,276.645088,Kvalnes-1931
423.17,81.06,251.390108,Kvalnes-1931
473.193,81.06,230.018412,Kvalnes-1931
203.084,91.1925,399.657452,Kvalnes-1931
223.249,91.1925,384.3809559999999,Kvalnes-1931
248.175,91.1925,366.6760039999999,Kvalnes-1931
203.084,101.325,406.286784,Kvalnes-1931
223.249,101.325,392.267824,Kvalnes-1931
246.175,101.325,375.374496,Kvalnes-1931
273.15,101.325,358.67044,Kvalnes-1931
298.142,101.325,343.355448,Kvalnes-1931
323.14,101.325,328.377296,Kvalnes-1931
373.15,101.325,298.740188,Kvalnes-1931
423.17,101.325,278.0710439999999,Kvalnes-1931
473.193,101.325,257.470872,Kvalnes-1931
192.87,33.4,353.848816,Cheng-1972
192.87,52.9,377.980996,Cheng-1972
192.87,71.4,395.268908,Cheng-1972
192.87,97.9,413.828792,Cheng-1972
