Temperature (K),Pressure (MPa),Density (kg/m3),Reference
260.0,16.2909,175.52251199999998,Goodwin-1972
270.0,17.9548,175.153592,Goodwin-1972
280.0,19.607,174.800712,Goodwin-1972
290.0,21.2497,174.46547599999997,Goodwin-1972
330.0,22.8828,174.14628,Goodwin-1972
192.0,4.8685,193.597988,Goodwin-1972
196.0,5.6033,193.427964,Goodwin-1972
200.0,6.3574,193.251524,Goodwin-1972
204.0,7.1216,193.07348,Goodwin-1972
208.0,7.8913,192.890624,Goodwin-1972
212.0,8.6654,192.707768,Goodwin-1972
216.0,9.4428,192.521704,Goodwin-1972
220.0,10.2201,192.338848,Goodwin-1972
225.0,11.1912,192.106268,Goodwin-1972
230.0,12.1617,191.876896,Goodwin-1972
240.0,14.0985,191.424568,Goodwin-1972
250.0,16.0255,190.985072,Goodwin-1972
260.0,17.9425,190.568032,Goodwin-1972
270.0,19.849,190.173448,Goodwin-1972
280.0,21.7442,189.80132,Goodwin-1972
290.0,23.6293,189.451648,Goodwin-1972
300.0,25.5031,189.121224,Goodwin-1972
192.0,4.9455,208.22326,Goodwin-1972
196.0,5.779,208.03078,Goodwin-1972
200.0,6.6328,207.83028,Goodwin-1972
204.0,7.4993,207.624968,Goodwin-1972
208.0,8.3726,207.418052,Goodwin-1972
212.0,9.2499,207.211136,Goodwin-1972
216.0,10.1304,207.001012,Goodwin-1972
220.0,11.0116,206.792492,Goodwin-1972
225.0,12.1115,206.53264399999995,Goodwin-1972
230.0,13.2115,206.2744,Goodwin-1972
240.0,15.4057,205.770744,Goodwin-1972
250.0,17.59,205.292752,Goodwin-1972
260.0,19.7638,204.843632,Goodwin-1972
270.0,21.9261,204.426592,Goodwin-1972
280.0,24.0753,204.03682,Goodwin-1972
290.0,26.213,203.67592,Goodwin-1972
300.0,28.3387,203.334268,Goodwin-1972
192.0,5.2052,228.306944,Goodwin-1972
196.0,6.2209,228.069552,Goodwin-1972
200.0,7.2451,227.828952,Goodwin-1972
204.0,8.2785,227.553064,Goodwin-1972
208.0,9.3177,227.339732,Goodwin-1972
212.0,10.3608,227.09431999999995,Goodwin-1972
216.0,11.404,226.848908,Goodwin-1972
220.0,12.4478,226.6051,Goodwin-1972
225.0,13.7516,226.305152,Goodwin-1972
233.0,15.0534,226.013224,Goodwin-1972
240.0,17.5506,225.453428,Goodwin-1972
250.0,20.2352,224.933732,Goodwin-1972
260.0,22.8062,224.462156,Goodwin-1972
270.0,25.3635,224.029076,Goodwin-1972
280.0,27.9069,223.631284,Goodwin-1972
290.0,30.4333,223.26076,Goodwin-1972
300.0,32.9483,222.911088,Goodwin-1972
194.0,6.3787,246.408084,Goodwin-1972
198.0,7.5861,246.124176,Goodwin-1972
202.0,8.8012,245.840268,Goodwin-1972
206.0,10.0201,245.553152,Goodwin-1972
210.0,11.2378,245.269244,Goodwin-1972
215.0,12.7596,244.917968,Goodwin-1972
220.0,14.2792,244.574712,Goodwin-1972
230.0,17.3125,243.921884,Goodwin-1972
240.0,20.3287,243.328404,Goodwin-1972
250.0,23.3313,242.795876,Goodwin-1972
260.0,26.3178,242.314676,Goodwin-1972
270.0,29.2861,241.878388,Goodwin-1972
280.0,32.2396,241.475784,Goodwin-1972
290.0,35.1677,241.102052,Goodwin-1972
194.0,7.266,260.406192,Goodwin-1972
198.0,8.6363,260.090204,Goodwin-1972
202.0,10.0048,259.772612,Goodwin-1972
206.0,11.3751,259.45502,Goodwin-1972
210.0,12.7454,259.145448,Goodwin-1972
215.0,14.4404,258.770112,Goodwin-1972
220.0,16.1607,258.401192,Goodwin-1972
230.0,19.5626,257.72590799999995,Goodwin-1972
240.0,22.9438,257.124408,Goodwin-1972
250.0,26.3114,256.593484,Goodwin-1972
260.0,29.6539,256.120304,Goodwin-1972
270.0,32.9757,255.690432,Goodwin-1972
194.0,8.6346,276.199176,Goodwin-1972
198.0,10.408,275.84469199999995,Goodwin-1972
202.0,11.9774,275.493416,Goodwin-1972
206.0,13.5462,275.148556,Goodwin-1972
210.0,15.108,274.814924,Goodwin-1972
215.0,17.0602,274.418736,Goodwin-1972
220.0,19.033,274.040192,Goodwin-1972
230.0,22.6723,273.360096,Goodwin-1972
240.0,26.7186,272.769824,Goodwin-1972
250.0,30.5442,272.2485239999999,Goodwin-1972
260.0,34.3357,271.78336399999995,Goodwin-1972
192.0,10.5089,293.22723999999994,Goodwin-1972
196.0,12.3227,292.82624,Goodwin-1972
200.0,14.1311,292.44127999999995,Goodwin-1972
205.0,16.386,291.9761199999999,Goodwin-1972
210.0,18.6312,291.527,Goodwin-1972
215.0,20.8687,291.1259999999999,Goodwin-1972
220.0,23.1002,290.75708,Goodwin-1972
225.0,25.3237,290.42024,Goodwin-1972
230.0,27.5393,290.00319999999994,Goodwin-1972
235.0,29.7479,289.81072,Goodwin-1972
240.0,31.9488,289.55408,Goodwin-1972
245.0,34.1402,289.29744,Goodwin-1972
194.0,15.2913,310.08527999999995,Goodwin-1972
198.0,17.3668,309.68428,Goodwin-1972
202.0,19.4349,309.29932,Goodwin-1972
205.0,20.9838,309.02664,Goodwin-1972
210.0,23.5576,308.60959999999994,Goodwin-1972
215.0,26.1206,308.12839999999994,Goodwin-1972
220.0,28.6762,307.8878,Goodwin-1972
225.0,31.2214,307.567,Goodwin-1972
230.0,33.7542,307.27827999999994,Goodwin-1972
192.0,18.6776,324.10424,Goodwin-1972
196.0,21.0084,323.65511999999995,Goodwin-1972
200.0,23.3321,323.28619999999995,Goodwin-1972
204.0,25.6494,322.94936,Goodwin-1972
208.0,27.9599,322.6446,Goodwin-1972
212.0,30.2629,322.35588,Goodwin-1972
216.0,32.5569,322.0832,Goodwin-1972
220.0,34.8434,321.8426,Goodwin-1972
194.0,26.0026,338.12319999999994,Goodwin-1972
198.0,28.6118,337.78636,Goodwin-1972
206.0,31.214,337.4816,Goodwin-1972
206.0,33.8043,337.19287999999995,Goodwin-1972
192.0,30.7015,349.52764,Goodwin-1972
196.0,33.5575,349.22288,Goodwin-1972
