# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
2.942599999999999909e+02	5.169999999999999929e+00	4.095420000000000016e+01	4.163810000000000144e+01	4.438623104307619371e+01
2.942599999999999909e+02	6.889999999999999680e+00	4.303549999999999898e+01	4.415690000000000026e+01	4.405134052890188201e+01
2.942599999999999909e+02	8.619999999999999218e+00	4.517040000000000077e+01	4.685040000000000049e+01	4.490653156012559322e+01
2.942599999999999909e+02	1.033999999999999986e+01	4.748669999999999902e+01	4.955080000000000240e+01	4.537569502132856769e+01
3.109300000000000068e+02	5.169999999999999929e+00	4.092060000000000031e+01	4.123169999999999646e+01	4.352067012021689152e+01
3.109300000000000068e+02	6.889999999999999680e+00	4.269310000000000116e+01	4.320000000000000284e+01	4.336832305279746436e+01
3.109300000000000068e+02	8.619999999999999218e+00	4.456620000000000203e+01	4.526180000000000092e+01	4.391448159624210490e+01
3.109300000000000068e+02	1.033999999999999986e+01	4.643939999999999912e+01	4.731560000000000343e+01	4.379369450613870640e+01
3.275899999999999750e+02	5.169999999999999929e+00	4.100119999999999720e+01	4.116170000000000329e+01	3.901853981561995255e+01
3.275899999999999750e+02	6.889999999999999680e+00	4.251180000000000092e+01	4.275469999999999970e+01	4.058572294564892502e+01
3.275899999999999750e+02	8.619999999999999218e+00	4.411639999999999873e+01	4.439840000000000231e+01	4.126858487257079844e+01
3.275899999999999750e+02	1.033999999999999986e+01	4.565379999999999683e+01	4.602579999999999671e+01	4.083525461055148753e+01
3.442599999999999909e+02	5.169999999999999929e+00	4.122270000000000323e+01	4.133229999999999649e+01	3.402768580297233569e+01
3.442599999999999909e+02	6.889999999999999680e+00	4.251850000000000307e+01	4.265540000000000020e+01	3.747967920492726535e+01
3.442599999999999909e+02	8.619999999999999218e+00	4.386800000000000210e+01	4.400520000000000209e+01	3.896548292865354313e+01
3.442599999999999909e+02	1.033999999999999986e+01	4.513689999999999714e+01	4.533460000000000178e+01	3.873029056691739669e+01
3.609300000000000068e+02	5.169999999999999929e+00	4.162559999999999860e+01	4.168189999999999884e+01	3.916446948490215618e+01
3.609300000000000068e+02	6.889999999999999680e+00	4.272659999999999769e+01	4.280310000000000059e+01	4.036249731056877721e+01
3.609300000000000068e+02	8.619999999999999218e+00	4.389479999999999649e+01	4.393690000000000140e+01	4.095877358680892399e+01
3.609300000000000068e+02	1.033999999999999986e+01	4.500260000000000105e+01	4.504890000000000327e+01	4.053202329869588283e+01
3.775899999999999750e+02	5.169999999999999929e+00	4.215599999999999881e+01	4.216770000000000351e+01	4.123131556033537493e+01
3.775899999999999750e+02	6.889999999999999680e+00	4.312270000000000181e+01	4.313300000000000267e+01	4.179533400112111963e+01
3.775899999999999750e+02	8.619999999999999218e+00	4.410969999999999658e+01	4.410260000000000247e+01	4.213298768817482198e+01
3.775899999999999750e+02	1.033999999999999986e+01	4.511670000000000158e+01	4.505019999999999669e+01	4.218537611441589519e+01
4.098199999999999932e+02	5.070000000000000284e+00	3.522930000000000206e+01	4.334250000000000114e+01	3.453894999999999982e+01
4.098199999999999932e+02	5.070000000000000284e+00	3.468540000000000134e+01	4.334250000000000114e+01	3.481090000000000373e+01
4.098199999999999932e+02	5.070000000000000284e+00	3.439249999999999829e+01	4.334250000000000114e+01	3.495735000000000525e+01
3.659300000000000068e+02	5.070000000000000284e+00	3.359749999999999659e+01	4.175319999999999965e+01	3.324883333333333013e+01
3.659300000000000068e+02	5.070000000000000284e+00	3.347200000000000131e+01	4.175319999999999965e+01	3.329066666666665952e+01
3.659300000000000068e+02	5.070000000000000284e+00	3.317909999999999826e+01	4.175319999999999965e+01	3.338829999999999387e+01
3.659300000000000068e+02	5.070000000000000284e+00	3.309539999999999793e+01	4.175319999999999965e+01	3.341620000000000346e+01
3.431499999999999773e+02	5.070000000000000284e+00	3.041769999999999996e+01	4.123819999999999908e+01	3.002019999999999911e+01
3.431499999999999773e+02	5.070000000000000284e+00	3.008299999999999841e+01	4.123819999999999908e+01	3.018755000000000166e+01
3.431499999999999773e+02	5.070000000000000284e+00	2.995739999999999981e+01	4.123819999999999908e+01	3.025034999999999741e+01
3.348199999999999932e+02	5.070000000000000284e+00	3.087790000000000035e+01	4.112669999999999959e+01	3.113210677561685813e+01
3.342599999999999909e+02	5.070000000000000284e+00	3.020850000000000080e+01	4.112100000000000222e+01	3.153716076544028724e+01
3.325899999999999750e+02	5.070000000000000284e+00	2.979009999999999891e+01	4.110520000000000351e+01	3.454689643521930265e+01
1.910000000000000000e+02	5.000000000000000000e+00	2.514071999999999889e+02	2.169619999999999891e+02	3.808034043689168016e+02
1.926999999999999886e+02	5.000000000000000000e+00	5.589894000000000460e+02	5.903849999999999909e+02	4.826436211563954544e+02
1.925999999999999943e+02	5.000000000000000000e+00	5.499211999999999989e+02	5.270259999999999536e+02	4.909104613387381733e+02
1.954000000000000057e+02	5.000000000000000000e+00	2.797835999999999785e+02	2.638439999999999941e+02	2.807832813378138894e+02
1.980000000000000000e+02	5.000000000000000000e+00	1.494737000000000080e+02	1.468930000000000007e+02	1.678747116956414231e+02
2.015000000000000000e+02	5.000000000000000000e+00	1.040040000000000049e+02	1.032279999999999944e+02	1.039719000000000051e+02
2.015000000000000000e+02	5.000000000000000000e+00	1.039719000000000051e+02	1.032279999999999944e+02	1.040040000000000049e+02
2.095000000000000000e+02	5.000000000000000000e+00	7.313989999999999725e+01	7.180819999999999936e+01	7.313989999999999725e+01
2.095000000000000000e+02	5.000000000000000000e+00	7.313989999999999725e+01	7.180819999999999936e+01	7.313989999999999725e+01
2.200000000000000000e+02	5.000000000000000000e+00	5.768370000000000175e+01	5.783319999999999794e+01	5.787630000000000052e+01
2.200000000000000000e+02	5.000000000000000000e+00	5.787630000000000052e+01	5.783319999999999794e+01	5.768370000000000175e+01
2.305000000000000000e+02	5.000000000000000000e+00	5.073409999999999798e+01	5.133379999999999654e+01	5.820556311866347698e+01
2.404000000000000057e+02	5.000000000000000000e+00	4.737960000000000349e+01	4.777499999999999858e+01	4.733140000000000214e+01
2.404000000000000057e+02	5.000000000000000000e+00	4.733140000000000214e+01	4.777499999999999858e+01	4.737960000000000349e+01
2.505999999999999943e+02	5.000000000000000000e+00	4.500419999999999732e+01	4.541429999999999723e+01	4.869754544611806324e+01
1.942599999999999909e+02	4.690000000000000391e+00	1.930888999999999953e+02	1.735720000000000027e+02	3.049572869316421588e+02
1.998199999999999932e+02	4.690000000000000391e+00	9.439600000000000080e+01	9.373850000000000193e+01	1.678253541839389698e+02
2.053700000000000045e+02	4.690000000000000391e+00	7.532880000000000109e+01	7.321689999999999543e+01	1.183034719740429068e+02
2.109300000000000068e+02	4.690000000000000391e+00	6.492239999999999611e+01	6.333709999999999951e+01	9.029876270829777241e+01
2.164799999999999898e+02	4.690000000000000391e+00	5.794010000000000105e+01	5.743529999999999802e+01	7.735303303812808906e+01
2.220399999999999920e+02	4.690000000000000391e+00	5.324040000000000106e+01	5.347449999999999903e+01	6.703793710905813441e+01
2.275900000000000034e+02	4.690000000000000391e+00	5.028640000000000043e+01	5.064170000000000016e+01	6.370394198170854594e+01
2.331500000000000057e+02	4.690000000000000391e+00	4.800370000000000203e+01	4.851689999999999969e+01	5.874713924291440037e+01
2.387100000000000080e+02	4.690000000000000391e+00	4.639240000000000208e+01	4.687769999999999726e+01	5.203236710127978881e+01
2.442599999999999909e+02	4.690000000000000391e+00	4.538530000000000086e+01	4.558800000000000097e+01	5.047861985501234017e+01
