# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.300000000000000000e+02	5.000000000000000000e+00	5.667999999999999705e-01	1.141750000000000043e+00	2.666481143498230288e+00
1.400000000000000000e+02	5.000000000000000000e+00	1.150500000000000078e+00	1.720809999999999951e+00	3.193309482726562010e+00
1.500000000000000000e+02	5.000000000000000000e+00	1.758099999999999996e+00	2.320629999999999971e+00	1.753212062322317744e+00
1.600000000000000000e+02	5.000000000000000000e+00	2.397699999999999942e+00	2.951430000000000220e+00	2.832934206187757820e+00
1.700000000000000000e+02	5.000000000000000000e+00	3.089799999999999880e+00	3.633010000000000073e+00	3.321246658090994508e+00
1.800000000000000000e+02	5.000000000000000000e+00	3.888399999999999856e+00	4.414220000000000255e+00	4.147452056681655286e+00
1.850000000000000000e+02	5.000000000000000000e+00	4.368999999999999773e+00	4.888440000000000119e+00	5.017483243047765384e+00
1.900000000000000000e+02	5.000000000000000000e+00	5.034799999999999720e+00	5.535330000000000084e+00	5.382702510620716474e+00
1.500000000000000000e+02	3.200000000000000178e+00	6.100999999999999757e-01	2.303119999999999834e+00	6.729133685332409076e-01
1.600000000000000000e+02	3.200000000000000178e+00	1.269400000000000084e+00	2.953440000000000065e+00	1.334121666802193351e+00
1.700000000000000000e+02	3.200000000000000178e+00	1.997500000000000053e+00	3.676349999999999785e+00	2.490721672068356707e+00
1.750000000000000000e+02	3.200000000000000178e+00	2.435400000000000009e+00	4.092810000000000059e+00	3.331222745681837516e+00
9.981999999999999318e+01	3.400000000000000244e-01	0.000000000000000000e+00	-6.481959999999999944e-01	1.003322744297429313e-03
1.053700000000000045e+02	3.400000000000000244e-01	2.985999999999999766e-01	-3.436589999999999923e-01	2.986654629665377869e-01
1.109300000000000068e+02	3.400000000000000244e-01	6.008999999999999897e-01	-3.555090000000000333e-02	6.011083251649844694e-01
1.164800000000000040e+02	3.400000000000000244e-01	9.069000000000000394e-01	2.755270000000000219e-01	9.068013095943546764e-01
1.220400000000000063e+02	3.400000000000000244e-01	1.216599999999999904e+00	5.913249999999999895e-01	1.216635496379052883e+00
9.981999999999999318e+01	6.899999999999999467e-01	0.000000000000000000e+00	-6.394060000000000299e-01	-5.893051721623291349e-04
1.053700000000000045e+02	6.899999999999999467e-01	2.985999999999999766e-01	-3.351299999999999835e-01	2.986654629665378424e-01
1.109300000000000068e+02	6.899999999999999467e-01	6.008999999999999897e-01	-2.734119999999999953e-02	6.042542069173656438e-01
1.164800000000000040e+02	6.899999999999999467e-01	9.069000000000000394e-01	2.833450000000000135e-01	9.063386906685605426e-01
1.220400000000000063e+02	6.899999999999999467e-01	1.216599999999999904e+00	5.986540000000000195e-01	1.216547081614026471e+00
1.275900000000000034e+02	6.899999999999999467e-01	1.533900000000000041e+00	9.182360000000000522e-01	1.534103654518009119e+00
1.331500000000000057e+02	6.899999999999999467e-01	1.858500000000000041e+00	1.244289999999999896e+00	1.860220185629651413e+00
1.387100000000000080e+02	6.899999999999999467e-01	2.190700000000000092e+00	1.577700000000000102e+00	2.188738452622317254e+00
9.981999999999999318e+01	1.030000000000000027e+00	0.000000000000000000e+00	-6.308580000000000298e-01	1.185800051200661207e-03
1.053700000000000045e+02	1.030000000000000027e+00	2.985999999999999766e-01	-3.268320000000000114e-01	2.992599350839252881e-01
1.109300000000000068e+02	1.030000000000000027e+00	6.008999999999999897e-01	-1.934810000000000002e-02	5.962803158450382668e-01
1.164800000000000040e+02	1.030000000000000027e+00	9.031000000000000139e-01	2.909630000000000272e-01	9.037349242772604319e-01
1.220400000000000063e+02	1.030000000000000027e+00	1.212900000000000089e+00	6.058069999999999844e-01	1.213244693954412590e+00
1.275900000000000034e+02	1.030000000000000027e+00	1.530100000000000016e+00	9.248039999999999594e-01	1.531589475514594456e+00
1.331500000000000057e+02	1.030000000000000027e+00	1.854800000000000004e+00	1.250110000000000054e+00	1.854740450530174334e+00
1.387100000000000080e+02	1.030000000000000027e+00	2.186999999999999833e+00	1.582529999999999992e+00	2.188785725754013090e+00
1.442599999999999909e+02	1.030000000000000027e+00	2.537799999999999834e+00	1.923359999999999959e+00	2.532528460825081762e+00
9.981999999999999318e+01	1.379999999999999893e+00	0.000000000000000000e+00	-6.220489999999999631e-01	6.951718488232335597e-04
1.053700000000000045e+02	1.379999999999999893e+00	2.985999999999999766e-01	-3.182760000000000034e-01	2.981290488501319169e-01
1.109300000000000068e+02	1.379999999999999893e+00	5.970999999999999641e-01	-1.110180000000000021e-02	5.987282747739338662e-01
1.164800000000000040e+02	1.379999999999999893e+00	9.031000000000000139e-01	2.988310000000000133e-01	9.031994470842110712e-01
1.220400000000000063e+02	1.379999999999999893e+00	1.212900000000000089e+00	6.132039999999999713e-01	1.212989094423294389e+00
1.275900000000000034e+02	1.379999999999999893e+00	1.530100000000000016e+00	9.316119999999999957e-01	1.530246612259813066e+00
1.331500000000000057e+02	1.379999999999999893e+00	1.854800000000000004e+00	1.256159999999999943e+00	1.854927090790162936e+00
1.387100000000000080e+02	1.379999999999999893e+00	2.186999999999999833e+00	1.587599999999999900e+00	2.188244878487942024e+00
1.442599999999999909e+02	1.379999999999999893e+00	2.533999999999999808e+00	1.927110000000000101e+00	2.531236310266307576e+00
1.498199999999999932e+02	1.379999999999999893e+00	2.884799999999999809e+00	2.278579999999999828e+00	2.893141282810281822e+00
1.553700000000000045e+02	1.379999999999999893e+00	3.250599999999999934e+00	2.644829999999999792e+00	3.243433349648439545e+00
9.981999999999999318e+01	1.719999999999999973e+00	0.000000000000000000e+00	-6.134819999999999718e-01	4.455037998311309937e-04
1.053700000000000045e+02	1.719999999999999973e+00	2.985999999999999766e-01	-3.099520000000000053e-01	2.982789415159973756e-01
1.109300000000000068e+02	1.719999999999999973e+00	5.970999999999999641e-01	-3.073719999999999838e-03	5.981494158347211432e-01
1.164800000000000040e+02	1.719999999999999973e+00	9.031000000000000139e-01	3.064970000000000194e-01	9.022889072548606615e-01
1.220400000000000063e+02	1.719999999999999973e+00	1.212900000000000089e+00	6.204229999999999468e-01	1.212099953795643392e+00
1.275900000000000034e+02	1.719999999999999973e+00	1.530100000000000016e+00	9.382709999999999662e-01	1.529566352627124592e+00
1.331500000000000057e+02	1.719999999999999973e+00	1.854800000000000004e+00	1.262110000000000065e+00	1.854511140717360451e+00
1.387100000000000080e+02	1.719999999999999973e+00	2.186999999999999833e+00	1.592619999999999925e+00	2.189516150998644495e+00
1.442599999999999909e+02	1.719999999999999973e+00	2.530299999999999994e+00	1.930889999999999995e+00	2.526862894767559098e+00
1.498199999999999932e+02	1.719999999999999973e+00	2.881099999999999994e+00	2.280640000000000001e+00	2.881843207661832107e+00
1.553700000000000045e+02	1.719999999999999973e+00	3.239399999999999835e+00	2.644359999999999822e+00	3.234920977301664280e+00
1.609300000000000068e+02	1.719999999999999973e+00	3.627499999999999947e+00	3.029669999999999863e+00	3.620180029977305924e+00
9.981999999999999318e+01	2.069999999999999840e+00	0.000000000000000000e+00	-6.046529999999999960e-01	1.317943974281658411e-03
1.053700000000000045e+02	2.069999999999999840e+00	2.985999999999999766e-01	-3.013700000000000268e-01	2.981447575716028586e-01
1.109300000000000068e+02	2.069999999999999840e+00	5.970999999999999641e-01	5.207960000000000193e-03	5.989760458213745364e-01
1.164800000000000040e+02	2.069999999999999840e+00	9.031000000000000139e-01	3.144129999999999980e-01	9.016500658000127233e-01
