Temperature (K),Pressure (MPa),Cp (J/mol*K),Reference
233.15,4.31,46.2581,Jones-1963
238.71,4.31,45.0496,Jones-1963
244.26,4.31,43.7068,Jones-1963
249.82,4.31,43.1026,Jones-1963
255.37,4.31,42.3641,Jones-1963
260.93,4.31,41.7598,Jones-1963
266.48,4.31,41.357,Jones-1963
272.04,4.31,41.0213,Jones-1963
277.59,4.31,40.8199,Jones-1963
283.15,4.31,40.7528,Jones-1963
