# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
2.942599999999999909e+02	0.000000000000000000e+00	3.559660000000000224e+01	3.556640000000000157e+01	3.625450000000000017e+01
2.942599999999999909e+02	1.719999999999999973e+00	3.722800000000000153e+01	3.732690000000000197e+01	3.732870000000001909e+01
2.942599999999999909e+02	3.450000000000000178e+00	3.900719999999999743e+01	3.935609999999999786e+01	4.001445299999999605e+01
3.109300000000000068e+02	0.000000000000000000e+00	3.625450000000000017e+01	3.620420000000000016e+01	3.625450000000000017e+01
3.109300000000000068e+02	1.719999999999999973e+00	3.768460000000000321e+01	3.771249999999999858e+01	3.732870000000001909e+01
3.109300000000000068e+02	3.450000000000000178e+00	3.924219999999999686e+01	3.939690000000000225e+01	4.001445299999999605e+01
3.275899999999999750e+02	0.000000000000000000e+00	3.695949999999999847e+01	3.691270000000000095e+01	3.625450000000000017e+01
3.275899999999999750e+02	1.719999999999999973e+00	3.821490000000000009e+01	3.822030000000000172e+01	3.732870000000001909e+01
3.275899999999999750e+02	3.450000000000000178e+00	3.956439999999999912e+01	3.964549999999999841e+01	4.001445299999999605e+01
3.442599999999999909e+02	0.000000000000000000e+00	3.773160000000000025e+01	3.768430000000000035e+01	3.625450000000000017e+01
3.442599999999999909e+02	1.719999999999999973e+00	3.881920000000000215e+01	3.882900000000000063e+01	3.732870000000001909e+01
3.442599999999999909e+02	3.450000000000000178e+00	4.000079999999999814e+01	4.005319999999999681e+01	4.120260000000004652e+01
3.609300000000000068e+02	0.000000000000000000e+00	3.859089999999999776e+01	3.850970000000000226e+01	3.625450000000000017e+01
3.609300000000000068e+02	1.719999999999999973e+00	3.953090000000000259e+01	3.952040000000000219e+01	3.732870000000001909e+01
3.609300000000000068e+02	3.450000000000000178e+00	4.055140000000000100e+01	4.058509999999999707e+01	4.120260000000004652e+01
3.775899999999999750e+02	0.000000000000000000e+00	3.947710000000000008e+01	3.937989999999999924e+01	3.625450000000000017e+01
3.775899999999999750e+02	1.719999999999999973e+00	4.031640000000000157e+01	4.027890000000000015e+01	3.732870000000001909e+01
3.775899999999999750e+02	3.450000000000000178e+00	4.120259999999999678e+01	4.121450000000000102e+01	4.055139999999993705e+01
1.800000000000000000e+02	3.200000000000000178e+00	1.277547900000000027e+03	1.034530000000000030e+02	7.499309999999988463e+01
1.805000000000000000e+02	3.200000000000000178e+00	9.664186999999999443e+02	9.820130000000000337e+01	7.499309999999988463e+01
1.805999999999999943e+02	3.200000000000000178e+00	9.712496999999999616e+02	9.725650000000000261e+01	7.499309999999988463e+01
1.855000000000000000e+02	3.200000000000000178e+00	7.256199999999999761e+01	7.180429999999999779e+01	7.499309999999988463e+01
1.931999999999999886e+02	3.200000000000000178e+00	5.798859999999999815e+01	5.785020000000000095e+01	5.491889999999993677e+01
1.930999999999999943e+02	3.200000000000000178e+00	5.810099999999999909e+01	5.796350000000000335e+01	5.491889999999993677e+01
2.029000000000000057e+02	3.200000000000000178e+00	5.020439999999999969e+01	5.030830000000000268e+01	4.786939999999997042e+01
2.029000000000000057e+02	3.200000000000000178e+00	5.002790000000000248e+01	5.030830000000000268e+01	4.786939999999997042e+01
1.553700000000000045e+02	1.030000000000000027e+00	4.209550000000000125e+01	4.348660000000000281e+01	5.545600000000006702e+01
1.609300000000000068e+02	1.030000000000000027e+00	4.048420000000000130e+01	4.165720000000000312e+01	5.545600000000006702e+01
1.664799999999999898e+02	1.030000000000000027e+00	3.934290000000000020e+01	4.037669999999999959e+01	5.545600000000006702e+01
1.720399999999999920e+02	1.030000000000000027e+00	3.853719999999999857e+01	3.940959999999999752e+01	5.545600000000006702e+01
1.775900000000000034e+02	1.030000000000000027e+00	3.800010000000000332e+01	3.865540000000000020e+01	5.062209999999994636e+01
1.831500000000000057e+02	1.030000000000000027e+00	3.759729999999999706e+01	3.805330000000000013e+01	4.733230000000002491e+01
1.887100000000000080e+02	1.030000000000000027e+00	3.726160000000000139e+01	3.756830000000000069e+01	4.491530000000005174e+01
1.942599999999999909e+02	1.030000000000000027e+00	3.699300000000000210e+01	3.717569999999999908e+01	4.323689999999996303e+01
1.998199999999999932e+02	1.030000000000000027e+00	3.672449999999999903e+01	3.685620000000000118e+01	3.699299999999996658e+01
2.053700000000000045e+02	1.030000000000000027e+00	3.652309999999999945e+01	3.659779999999999944e+01	3.699299999999996658e+01
2.109300000000000068e+02	1.030000000000000027e+00	3.638880000000000337e+01	3.638949999999999818e+01	4.001420000000005217e+01
2.164799999999999898e+02	1.030000000000000027e+00	3.625450000000000017e+01	3.622480000000000189e+01	3.934290000000007126e+01
2.220399999999999920e+02	1.030000000000000027e+00	3.605310000000000059e+01	3.609709999999999752e+01	3.887289999999993739e+01
2.275900000000000034e+02	1.030000000000000027e+00	3.598599999999999710e+01	3.600240000000000151e+01	3.847010000000000218e+01
2.331500000000000057e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.593690000000000140e+01	3.820150000000003132e+01
2.387100000000000080e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.589789999999999992e+01	3.793299999999999983e+01
2.442599999999999909e+02	1.030000000000000027e+00	3.585170000000000101e+01	3.588309999999999889e+01	3.773160000000004288e+01
2.498199999999999932e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.589039999999999964e+01	3.759729999999993311e+01
2.553700000000000045e+02	1.030000000000000027e+00	3.591879999999999740e+01	3.591819999999999879e+01	3.753009999999995472e+01
2.609300000000000068e+02	1.030000000000000027e+00	3.598599999999999710e+01	3.596529999999999916e+01	3.746300000000007202e+01
2.664800000000000182e+02	1.030000000000000027e+00	3.605310000000000059e+01	3.603029999999999688e+01	3.739589999999999037e+01
2.720400000000000205e+02	1.030000000000000027e+00	3.612019999999999698e+01	3.611229999999999762e+01	3.739589999999999037e+01
2.775899999999999750e+02	1.030000000000000027e+00	3.618739999999999668e+01	3.621000000000000085e+01	3.739589999999999037e+01
2.831499999999999773e+02	1.030000000000000027e+00	3.625450000000000017e+01	3.632309999999999661e+01	3.727432200000003348e+01
1.720399999999999920e+02	2.069999999999999840e+00	5.545600000000000307e+01	5.519189999999999685e+01	5.062209999999994636e+01
1.775900000000000034e+02	2.069999999999999840e+00	5.062210000000000321e+01	5.015529999999999688e+01	5.687931500000001250e+01
1.831500000000000057e+02	2.069999999999999840e+00	4.733229999999999649e+01	4.703629999999999711e+01	5.270330000000005555e+01
1.887100000000000080e+02	2.069999999999999840e+00	4.491530000000000200e+01	4.487409999999999854e+01	4.921219999999996020e+01
