# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
1.800000000000000000e+02	2.962000000000000099e+01	5.806000000000000227e+01	5.842900000000000205e+01	4.870223839490419238e+01
1.800000000000000000e+02	2.608999999999999986e+01	5.535000000000000142e+01	5.589759999999999707e+01	6.116896754327519403e+01
1.800000000000000000e+02	2.255999999999999872e+01	5.290999999999999659e+01	5.321079999999999899e+01	5.777821798186661084e+01
1.800000000000000000e+02	1.894000000000000128e+01	5.000000000000000000e+01	5.025289999999999679e+01	5.574550904425067444e+01
1.800000000000000000e+02	1.800000000000000000e+01	4.904999999999999716e+01	4.944409999999999883e+01	5.574806963421085015e+01
1.800000000000000000e+02	1.552999999999999936e+01	4.734000000000000341e+01	4.722120000000000317e+01	5.368028204690924099e+01
1.800000000000000000e+02	1.435999999999999943e+01	4.607000000000000028e+01	4.611099999999999710e+01	5.329554701098164315e+01
1.800000000000000000e+02	1.097000000000000064e+01	4.277000000000000313e+01	4.262120000000000175e+01	5.054113015291246569e+01
1.800000000000000000e+02	6.679999999999999716e+00	3.764000000000000057e+01	3.726039999999999708e+01	4.392481023725351008e+01
1.800000000000000000e+02	4.730000000000000426e+00	3.446999999999999886e+01	3.408630000000000138e+01	4.391350694263216781e+01
1.800000000000000000e+02	3.529999999999999805e+00	3.178000000000000114e+01	3.153209999999999980e+01	4.236613056224654628e+01
1.700000000000000000e+02	3.135999999999999943e+01	6.587000000000000455e+01	6.653730000000000189e+01	6.022684993592167757e+01
1.700000000000000000e+02	2.801000000000000156e+01	6.350000000000000000e+01	6.414589999999999748e+01	7.009349022515262106e+01
1.700000000000000000e+02	2.462999999999999901e+01	6.125999999999999801e+01	6.161520000000000152e+01	6.619462170539250678e+01
1.700000000000000000e+02	2.144000000000000128e+01	5.820000000000000284e+01	5.909870000000000090e+01	6.309501287254245483e+01
1.700000000000000000e+02	1.778000000000000114e+01	5.565999999999999659e+01	5.602499999999999858e+01	6.052306520508074783e+01
1.700000000000000000e+02	1.476999999999999957e+01	5.331000000000000227e+01	5.331150000000000233e+01	5.914048801470116246e+01
1.700000000000000000e+02	1.465000000000000036e+01	5.325999999999999801e+01	5.319919999999999760e+01	5.914048801470116246e+01
1.700000000000000000e+02	1.161999999999999922e+01	5.025999999999999801e+01	5.023890000000000100e+01	5.647075524404279179e+01
1.700000000000000000e+02	8.589999999999999858e+00	4.707000000000000028e+01	4.697910000000000252e+01	5.117011014494416798e+01
1.700000000000000000e+02	5.919999999999999929e+00	4.364999999999999858e+01	4.374649999999999750e+01	4.925343855692781858e+01
1.700000000000000000e+02	3.209999999999999964e+00	4.024000000000000199e+01	3.989419999999999789e+01	4.429285395451432805e+01
1.400000000000000000e+02	3.217000000000000171e+01	9.731999999999999318e+01	9.864570000000000505e+01	8.898193001290735538e+01
