Temperature (K)	Pressure (MPa)	Volume (m3/kg)	Reference
207.197	8.7439	0.0045376833913817	Vennix-1965
213.323	10.2706	0.0045391370570283	Vennix-1965
222.792	12.6432	0.0045411869856265	Vennix-1965
227.846	13.9174	0.0045422457378927	Vennix-1965
233.272	15.2884	0.0045434705357843	Vennix-1965
238.506	16.6109	0.0045446959943776	Vennix-1965
242.985	17.7429	0.0045457563836784	Vennix-1965
248.766	19.2026	0.0045469830758197	Vennix-1965
253.111	20.3005	0.0045478122967241	Vennix-1965
258.314	21.6145	0.0045490400988604	Vennix-1965
262.932	22.7811	0.0045500693084757	Vennix-1965
267.819	24.0117	0.0045517967707951	Vennix-1965
267.886	24.0266	0.0045517967707951	Vennix-1965
273.153	25.3551	0.0045523618026325	Vennix-1965
191.453	5.3786	0.004165161654922	Vennix-1965
194.804	6.3256	0.0041658574488572	Vennix-1965
199.611	7.7104	0.0041668876506084	Vennix-1965
203.054	8.7135	0.0041675840213695	Vennix-1965
207.627	10.0574	0.0041684478444305	Vennix-1965
212.935	11.6265	0.0041695072129472	Vennix-1965
221.36	14.131	0.0041712368127599	Vennix-1965
228.637	16.3016	0.0041728002657773	Vennix-1965
236.599	18.6801	0.0041743648912536	Vennix-1965
245.086	21.214	0.0041766860492187	Vennix-1965
233.068	23.5968	0.0041778615949655	Vennix-1965
260.836	25.9036	0.0041794300190302	Vennix-1965
268.824	28.2716	0.0041809996211512	Vennix-1965
275.154	30.1472	0.0041824020481858	Vennix-1965
194.419	7.7509	0.0037752294810992	Vennix-1965
198.42	9.1963	0.0037759382983891	Vennix-1965
201.044	10.1638	0.0037765101191437	Vennix-1965
207.77	12.6173	0.0037778374105215	Vennix-1965
213.666	14.7882	0.003778936564322	Vennix-1965
222.393	18.1824	0.0037806552731528	Vennix-1965
232.812	21.835	0.0037825132355433	Vennix-1965
241.295	24.9578	0.0037840744170625	Vennix-1965
254.531	29.8027	0.0037865105953836	Vennix-1965
261.826	32.4594	0.0037879369843651	Vennix-1965
267.883	34.6584	0.0037890880810809	Vennix-1965
272.981	36.4997	0.003790101625056	Vennix-1965
196.384	10.4601	0.0035530812213759	Vennix-1965
200.537	12.2244	0.0035534457500483	Vennix-1965
208.822	15.7426	0.0035548235336541	Vennix-1965
217.044	19.2276	0.0035563443875138	Vennix-1965
225.022	22.5971	0.0035577447228506	Vennix-1965
233.079	25.9963	0.0035592680778073	Vennix-1965
240.996	29.3223	0.0035606503809924	Vennix-1965
250.735	33.3921	0.0035624204823218	Vennix-1965
258.646	36.6598	0.0035638256077006	Vennix-1965
266.75	10.0092	0.0036274431337347	Vennix-1965
274.303	13.1136	0.0036289000314828	Vennix-1965
193.63	11.7303	0.0033738197096604	Vennix-1965
198.667	14.1558	0.0033747328460237	Vennix-1965
203.156	16.3161	0.0033755185387191	Vennix-1965
208.214	18.7511	0.0033763228821329	Vennix-1965
212.424	20.7694	0.0033771276089678	Vennix-1965
218.758	23.8049	0.003378152361725	Vennix-1965
223.742	26.1867	0.003379067845208	Vennix-1965
229.135	28.7485	0.0033799655005569	Vennix-1965
233.395	30.7683	0.0033806619698543	Vennix-1965
237.607	32.7596	0.0033813403868634	Vennix-1965
243.055	35.3252	0.0033823676982477	Vennix-1965
248.039	37.6587	0.0033831753094999	Vennix-1965
253.126	40.0348	0.003384093517827	Vennix-1965
263.283	44.7525	0.0033858027116595	Vennix-1965
272.927	49.184	0.0033874031986869	Vennix-1965
196.089	19.431	0.0031215928204563	Vennix-1965
204.181	24.1785	0.0031229688600905	Vennix-1965
211.525	28.4629	0.0031241269236795	Vennix-1965
219.063	32.8253	0.0031253955188028	Vennix-1965
227.105	37.4341	0.003126665144606	Vennix-1965
235.3	42.1001	0.0031279358023456	Vennix-1965
244.174	47.0891	0.0031294116881273	Vennix-1965
253.828	52.4859	0.0031309833091036	Vennix-1965
259.343	55.5441	0.0031309833091036	Vennix-1965
267.733	60.1053	0.0031332334717516	Vennix-1965
274.489	63.8125	0.0031343046142141	Vennix-1965
197.315	28.4387	0.0029427323797483	Vennix-1965
204.169	33.1269	0.0029440525328255	Vennix-1965
212.644	38.8576	0.0029450816835486	Vennix-1965
228.43	49.3464	0.0029475880293922	Vennix-1965
235.778	54.155	0.0029529072245686	Vennix-1965
247.36	61.652	0.0029504616428007	Vennix-1965
252.992	65.2311	0.0029517468148378	Vennix-1965
196.791	39.6392	0.0027860563274615	Vennix-1965
204.366	45.5919	0.0027872146983343	Vennix-1965
211.255	50.9403	0.0027882243871086	Vennix-1965
