Temperature (K),Pressure (MPa),Volume (m3/kg),Reference
207.855,7.1833,0.006109355458844726,Vennix-1965
213.044,7.9691,0.006110852526991509,Vennix-1965
233.386,11.0688,0.006116848143764134,Vennix-1965
252.887,14.0387,0.006122434635602121,Vennix-1965
273.016,17.0925,0.0061284530125011345,Vennix-1965
273.058,17.0967,0.0061284530125011345,Vennix-1965
190.532,4.5834,0.005586993193790805,Vennix-1965
191.032,4.6643,0.005587293618224515,Vennix-1965
191.848,4.7983,0.005589247164848786,Vennix-1965
191.873,4.8009,0.005589247164848786,Vennix-1965
193.248,5.0248,0.005589547831739495,Vennix-1965
195.11,5.334,0.005589848530979976,Vennix-1965
197.3,5.6992,0.005590600420645717,Vennix-1965
199.216,6.0228,0.005591101792806914,Vennix-1965
200.901,6.3092,0.005591402659271104,Vennix-1965
203.064,6.6782,0.005592054647705362,Vennix-1965
207.564,7.4516,0.005593308899075269,Vennix-1965
213.197,8.4266,0.005594864952380649,Vennix-1965
213.204,8.4282,0.005594864952380649,Vennix-1965
213.212,8.4293,0.005594864952380649,Vennix-1965
223.184,10.166,0.005597678083131117,Vennix-1965
233.161,11.9122,0.0056001921985962535,Vennix-1965
243.137,13.6601,0.005603010690387513,Vennix-1965
253.153,15.4123,0.005605529599337595,Vennix-1965
263.124,17.1554,0.005608353467509221,Vennix-1965
273.092,18.8977,0.005610877183666429,Vennix-1965
273.15,18.8927,0.005610877183666429,Vennix-1965
191.032,4.6701,0.005298398828112862,Vennix-1965
192.498,4.9295,0.005300245666386634,Vennix-1965
195.84,5.5256,0.005301056880191896,Vennix-1965
198.182,5.9511,0.005301642911277177,Vennix-1965
203.434,6.9192,0.005303040893042264,Vennix-1965
212.034,8.5308,0.005305297256548025,Vennix-1965
212.035,8.531,0.005305297256548025,Vennix-1965
222.632,10.5407,0.005308097815333443,Vennix-1965
233.402,12.5956,0.005310629894873953,Vennix-1965
233.403,12.5973,0.005310629894873953,Vennix-1965
237.033,13.2922,0.005311761067638479,Vennix-1965
237.034,13.292,0.005311761067638479,Vennix-1965
243.378,14.5053,0.005313481373442263,Vennix-1965
243.381,14.505,0.005313481373442263,Vennix-1965
253.284,16.3987,0.005315701308021859,Vennix-1965
263.449,18.3402,0.0053185582367234925,Vennix-1965
268.3,19.2683,0.0053196927898692585,Vennix-1965
268.3,19.2678,0.0053196927898692585,Vennix-1965
272.694,20.105,0.005320827827163336,Vennix-1965
272.695,20.1049,0.005320827827163336,Vennix-1965
272.698,20.1046,0.005320827827163336,Vennix-1965
190.032,4.5236,0.0049213488724333425,Vennix-1965
191.032,4.7247,0.004845085653846727,Vennix-1965
190.532,4.0239,0.004844859742376322,Vennix-1965
190.703,4.6599,0.004846554592094963,Vennix-1965
191.454,4.8097,0.0049230976697679,Vennix-1965
192.397,4.9969,0.00484678066165535,Vennix-1965
196.505,5.8521,0.004924303120008909,Vennix-1965
203.573,7.3642,0.0048493442580912535,Vennix-1965
209.295,8.611,0.004850778037632875,Vennix-1965
218.622,10.6682,0.004852892521941092,Vennix-1965
228.103,12.7755,0.004855235709458498,Vennix-1965
238.55,15.1093,0.004857619009285493,Vennix-1965
245.92,16.7546,0.004936429256407494,Vennix-1965
252.972,18.3347,0.004861141493245444,Vennix-1965
260.108,19.93,0.004862809825661266,Vennix-1965
267.312,21.5373,0.004941554944862818,Vennix-1965
274.151,23.0576,0.004866111946773922,Vennix-1965
188.969,4.3866,0.004533591702119957,Vennix-1965
189.258,4.4502,0.004533789517189496,Vennix-1965
189.767,4.5639,0.004533789517189496,Vennix-1965
190.032,4.024,0.004532635839243361,Vennix-1965
190.172,4.6549,0.004533987349522401,Vennix-1965
191.032,4.3523,0.004532833570905181,Vennix-1965
190.447,4.7177,0.004533987349522401,Vennix-1965
190.532,4.7379,0.004532635839243361,Vennix-1965
190.736,4.784,0.004533987349522401,Vennix-1965
191.075,4.8615,0.004534218175732762,Vennix-1965
192.892,5.2817,0.004535273680636728,Vennix-1965
195.048,5.7893,0.004535009758343298,Vennix-1965
195.065,5.7928,0.004535009758343298,Vennix-1965
197.1,6.2787,0.004535438647670069,Vennix-1965
203.01,6.9812,0.004536065631861877,Vennix-1965
203.322,7.7904,0.004536890875216334,Vennix-1965
207.197,8.7439,0.004537683391381796,Vennix-1965
213.323,10.2706,0.0045391370570283356,Vennix-1965
222.792,12.6432,0.0045411869856265595,Vennix-1965
227.846,13.9174,0.004542245737892725,Vennix-1965
233.272,15.2884,0.004543470535784396,Vennix-1965
238.506,16.6109,0.004544695994377662,Vennix-1965
242.985,17.7429,0.004545756383678417,Vennix-1965
248.766,19.2026,0.004546983075819794,Vennix-1965
253.111,20.3005,0.004547812296724158,Vennix-1965
258.314,21.6145,0.004549040098860462,Vennix-1965
262.932,22.7811,0.00455006930847573,Vennix-1965
267.819,24.0117,0.004551796770795143,Vennix-1965
267.886,24.0266,0.004551796770795143,Vennix-1965
273.153,25.3551,0.004552361802632569,Vennix-1965
187.649,4.3274,0.004164466093375155,Vennix-1965
188.927,4.6771,0.0041646330069588155,Vennix-1965
190.532,5.1216,0.004163715147788904,Vennix-1965
