# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.908499999999999943e+02	4.589999999999999858e+00	2.485999999999999943e+02	2.492189999999999941e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.620000000000000107e+00	2.397899999999999920e+02	2.410289999999999964e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.629999999999999893e+00	2.288700000000000045e+02	2.346479999999999961e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.157700000000000102e+02	2.133870000000000005e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050600000000000023e+02	2.133870000000000005e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.044399999999999977e+02	2.133870000000000005e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050900000000000034e+02	2.133870000000000005e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.128799999999999955e+02	2.324900000000000091e+02	3.151263453504272434e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.258700000000000045e+02	2.324900000000000091e+02	3.151263453504272434e+02
1.906299999999999955e+02	4.559999999999999609e+00	2.473499999999999943e+02	2.496289999999999907e+02	3.151263453504272434e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.040900000000000034e+02	2.134199999999999875e+02	3.151263453504272434e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.912599999999999909e+02	2.134199999999999875e+02	3.151263453504272434e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.951599999999999966e+02	2.134199999999999875e+02	3.151263453504272434e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.955399999999999920e+02	2.134199999999999875e+02	3.151263453504272434e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.058700000000000045e+02	2.134199999999999875e+02	3.151263453504272434e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.190500000000000114e+02	2.134199999999999875e+02	3.151263453504272434e+02
1.905600000000000023e+02	4.559999999999999609e+00	2.469300000000000068e+02	2.479869999999999948e+02	3.151263453504272434e+02
1.905600000000000023e+02	4.580000000000000071e+00	2.369600000000000080e+02	2.424559999999999889e+02	3.151263453504272434e+02
1.905000000000000000e+02	4.549999999999999822e+00	2.465699999999999932e+02	2.484960000000000093e+02	3.151263453504272434e+02
1.905000000000000000e+02	4.580000000000000071e+00	2.362899999999999920e+02	2.387239999999999895e+02	3.151263453504272434e+02
1.904300000000000068e+02	4.570000000000000284e+00	2.355200000000000102e+02	2.394970000000000141e+02	3.151263453504272434e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.183000000000000114e+02	2.207160000000000082e+02	3.151263453504272434e+02
1.902500000000000000e+02	4.549999999999999822e+00	2.332299999999999898e+02	2.379230000000000018e+02	3.151263453504272434e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.068300000000000125e+02	2.207160000000000082e+02	3.151263453504272434e+02
1.903700000000000045e+02	4.570000000000000284e+00	2.157700000000000102e+02	2.322050000000000125e+02	3.151263453504272434e+02
1.903499999999999943e+02	4.570000000000000284e+00	2.155900000000000034e+02	2.328830000000000098e+02	3.151263453504272434e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.208300000000000125e+02	2.478549999999999898e+02	3.151263453504272434e+02
