Temperature (K)	Pressure (MPa)	Enthalpy (kJ/mol)	Reference	Outlier
283.15	1.03	14.4317	Jones-1963	1
160.93	1.38	9.707	Jones-1963	1
166.48	1.38	9.9607	Jones-1963	1
172.04	1.38	10.1996	Jones-1963	1
177.59	1.38	10.431	Jones-1963	1
183.15	1.38	10.6586	Jones-1963	1
185.93	1.38	10.7706	Jones-1963	1
188.71	1.38	10.8788	Jones-1963	1
190.59	1.38	10.9534	Jones-1963	1
194.26	1.38	11.0953	Jones-1963	1
197.04	1.38	11.2035	Jones-1963	1
199.82	1.38	11.3117	Jones-1963	1
202.59	1.38	11.4125	Jones-1963	1
205.37	1.38	11.5207	Jones-1963	1
210.93	1.38	11.7297	Jones-1963	1
216.48	1.38	11.935	Jones-1963	1
222.04	1.38	12.1402	Jones-1963	1
227.59	1.38	12.3455	Jones-1963	1
233.15	1.38	12.5507	Jones-1963	1
238.71	1.38	12.756	Jones-1963	1
244.26	1.38	12.9575	Jones-1963	1
249.82	1.38	13.1591	Jones-1963	1
255.37	1.38	13.3606	Jones-1963	1
260.93	1.38	13.5621	Jones-1963	1
266.48	1.38	13.7637	Jones-1963	1
272.04	1.38	13.9652	Jones-1963	1
277.59	1.38	14.1667	Jones-1963	1
283.15	1.38	14.3682	Jones-1963	1
166.48	1.72	9.7256	Jones-1963	1
172.04	1.72	9.9981	Jones-1963	1
177.59	1.72	10.2556	Jones-1963	1
183.15	1.72	10.4944	Jones-1963	1
185.93	1.72	10.6138	Jones-1963	1
188.71	1.72	10.7295	Jones-1963	1
190.59	1.72	10.8079	Jones-1963	1
194.26	1.72	10.9572	Jones-1963	1
197.04	1.72	11.0691	Jones-1963	1
199.82	1.72	11.1811	Jones-1963	1
202.59	1.72	11.2931	Jones-1963	1
205.37	1.72	11.3976	Jones-1963	1
216.48	1.72	11.8305	Jones-1963	1
222.04	1.72	12.0432	Jones-1963	1
227.59	1.72	12.2522	Jones-1963	1
233.15	1.72	12.4612	Jones-1963	1
238.71	1.72	12.6702	Jones-1963	1
244.26	1.72	12.8754	Jones-1963	1
249.82	1.72	13.0807	Jones-1963	1
255.37	1.72	13.286	Jones-1963	1
260.93	1.72	13.4912	Jones-1963	1
266.48	1.72	13.6965	Jones-1963	1
272.04	1.72	13.9017	Jones-1963	1
277.59	1.72	14.107	Jones-1963	1
283.15	1.72	14.3123	Jones-1963	1
172.04	2.07	9.7555	Jones-1963	1
177.59	2.07	10.0503	Jones-1963	1
183.15	2.07	10.3227	Jones-1963	1
185.93	2.07	10.4496	Jones-1963	1
188.71	2.07	10.5728	Jones-1963	1
190.59	2.07	10.6586	Jones-1963	1
194.26	2.07	10.8191	Jones-1963	1
197.04	2.07	10.9348	Jones-1963	1
199.82	2.07	11.0579	Jones-1963	1
202.59	2.07	11.1699	Jones-1963	1
205.37	2.07	11.2856	Jones-1963	1
210.93	2.07	11.5095	Jones-1963	1
216.48	2.07	11.726	Jones-1963	1
222.04	2.07	11.9424	Jones-1963	1
227.59	2.07	12.1589	Jones-1963	1
233.15	2.07	12.3716	Jones-1963	1
238.71	2.07	12.5843	Jones-1963	1
244.26	2.07	12.7933	Jones-1963	1
249.82	2.07	13.0023	Jones-1963	1
255.37	2.07	13.2113	Jones-1963	1
260.93	2.07	13.4203	Jones-1963	1
266.48	2.07	13.6293	Jones-1963	1
272.04	2.07	13.8383	Jones-1963	1
277.59	2.07	14.0436	Jones-1963	1
283.15	2.07	14.2525	Jones-1963	1
172.04	2.41	9.4606	Jones-1963	1
177.59	2.41	9.8152	Jones-1963	1
183.15	2.41	10.1212	Jones-1963	1
185.93	2.41	10.263	Jones-1963	1
188.71	2.41	10.4011	Jones-1963	1
190.59	2.41	10.4907	Jones-1963	1
194.26	2.41	10.6624	Jones-1963	1
197.04	2.41	10.793	Jones-1963	1
199.82	2.41	10.9161	Jones-1963	1
202.59	2.41	11.0393	Jones-1963	1
205.37	2.41	11.1587	Jones-1963	1
210.93	2.41	11.3901	Jones-1963	1
216.48	2.41	11.6177	Jones-1963	1
222.04	2.41	11.8417	Jones-1963	1
227.59	2.41	12.0619	Jones-1963	1
233.15	2.41	12.282	Jones-1963	1
238.71	2.41	12.5022	Jones-1963	1
244.26	2.41	12.715	Jones-1963	1
249.82	2.41	12.9277	Jones-1963	1
255.37	2.41	13.1404	Jones-1963	1
260.93	2.41	13.3531	Jones-1963	1
266.48	2.41	13.5659	Jones-1963	1
272.04	2.41	13.7748	Jones-1963	1
277.59	2.41	13.9838	Jones-1963	1
283.15	2.41	14.1928	Jones-1963	1
177.59	2.76	9.5129	Jones-1963	1
183.15	2.76	9.8786	Jones-1963	1
185.93	2.76	10.0391	Jones-1963	1
188.71	2.76	10.1959	Jones-1963	1
