Temperature (K)	Pressure (MPa)	Viscosity (uPa*s)	Reference	Outlier
260.0	0.5	9.879	Schley-2004	1
260.0	0.6	9.896	Schley-2004	1
260.0	0.7	9.906	Schley-2004	1
260.0	0.8	9.924	Schley-2004	1
260.0	0.9	9.939	Schley-2004	1
260.0	1.0	9.954	Schley-2004	1
260.0	1.25	10.0	Schley-2004	1
260.0	1.5	10.042	Schley-2004	1
260.0	1.75	10.088	Schley-2004	1
260.0	2.0	10.135	Schley-2004	1
260.0	2.26	10.196	Schley-2004	1
260.0	2.5	10.249	Schley-2004	1
260.0	2.73	10.302	Schley-2004	1
260.0	2.99	10.362	Schley-2004	1
260.0	3.25	10.429	Schley-2004	1
260.0	3.48	10.499	Schley-2004	1
260.0	3.74	10.568	Schley-2004	1
260.0	3.99	10.642	Schley-2004	-1
260.0	4.26	10.733	Schley-2004	-1
260.0	4.48	10.807	Schley-2004	-1
280.0	0.1	10.484	Schley-2004	1
280.0	0.2	10.504	Schley-2004	1
280.0	0.3	10.519	Schley-2004	1
280.0	0.4	10.536	Schley-2004	1
280.0	0.5	10.547	Schley-2004	1
280.0	0.6	10.564	Schley-2004	1
280.0	0.7	10.574	Schley-2004	1
280.0	0.8	10.589	Schley-2004	1
280.0	0.9	10.604	Schley-2004	1
280.0	1.0	10.619	Schley-2004	1
280.0	1.24	10.656	Schley-2004	1
280.0	1.5	10.699	Schley-2004	1
280.0	1.75	10.742	Schley-2004	1
280.0	1.99	10.789	Schley-2004	1
280.0	2.23	10.832	Schley-2004	1
280.0	2.5	10.887	Schley-2004	1
280.0	2.74	10.939	Schley-2004	1
280.0	3.0	10.99	Schley-2004	1
280.0	3.25	11.048	Schley-2004	1
300.0	0.1	11.142	Schley-2004	1
300.0	0.2	11.161	Schley-2004	1
300.0	0.3	11.173	Schley-2004	1
300.0	0.4	11.19	Schley-2004	1
300.0	0.5	11.204	Schley-2004	1
300.0	0.6	11.216	Schley-2004	1
300.0	0.7	11.228	Schley-2004	1
300.0	0.8	11.238	Schley-2004	1
300.0	0.9	11.253	Schley-2004	1
300.0	1.0	11.268	Schley-2004	1
300.0	1.25	11.306	Schley-2004	1
300.0	1.49	11.342	Schley-2004	1
300.0	1.75	11.383	Schley-2004	1
300.0	2.0	11.424	Schley-2004	1
300.0	2.25	11.468	Schley-2004	1
300.0	2.49	11.511	Schley-2004	1
300.0	2.74	11.558	Schley-2004	1
300.0	2.99	11.605	Schley-2004	1
300.0	3.25	11.657	Schley-2004	1
300.0	3.5	11.711	Schley-2004	1
300.0	3.75	11.767	Schley-2004	1
300.0	3.99	11.82	Schley-2004	1
300.0	4.25	11.879	Schley-2004	-1
300.0	4.5	11.939	Schley-2004	-1
320.0	0.1	11.773	Schley-2004	1
320.0	0.2	11.795	Schley-2004	1
320.0	0.3	11.809	Schley-2004	1
320.0	0.4	11.821	Schley-2004	1
320.0	0.5	11.835	Schley-2004	1
320.0	0.6	11.846	Schley-2004	1
320.0	0.7	11.859	Schley-2004	1
320.0	0.8	11.871	Schley-2004	1
320.0	0.9	11.882	Schley-2004	1
320.0	1.0	11.898	Schley-2004	1
320.0	1.25	11.932	Schley-2004	1
320.0	1.5	11.967	Schley-2004	1
320.0	1.75	12.003	Schley-2004	1
320.0	2.0	12.044	Schley-2004	1
320.0	2.25	12.084	Schley-2004	1
320.0	2.49	12.123	Schley-2004	1
320.0	2.74	12.167	Schley-2004	1
320.0	3.0	12.21	Schley-2004	1
320.0	3.26	12.26	Schley-2004	1
320.0	3.49	12.303	Schley-2004	1
320.0	3.76	12.353	Schley-2004	1
320.0	4.01	12.406	Schley-2004	1
320.0	4.25	12.455	Schley-2004	-1
320.0	4.51	12.513	Schley-2004	-1
340.0	0.1	12.402	Schley-2004	1
340.0	0.2	12.421	Schley-2004	1
340.0	0.3	12.439	Schley-2004	1
340.0	0.4	12.452	Schley-2004	1
340.0	0.5	12.461	Schley-2004	1
340.0	0.6	12.472	Schley-2004	1
340.0	0.7	12.484	Schley-2004	1
340.0	0.8	12.496	Schley-2004	1
340.0	0.91	12.509	Schley-2004	1
340.0	1.0	12.521	Schley-2004	1
340.0	1.26	12.558	Schley-2004	1
340.0	1.49	12.584	Schley-2004	1
340.0	1.75	12.616	Schley-2004	1
340.0	1.99	12.654	Schley-2004	1
340.0	2.25	12.69	Schley-2004	1
340.0	2.5	12.728	Schley-2004	1
340.0	2.75	12.763	Schley-2004	1
340.0	3.0	12.804	Schley-2004	1
340.0	3.24	12.844	Schley-2004	1
340.0	3.51	12.89	Schley-2004	1
340.0	3.75	12.932	Schley-2004	1
340.0	4.0	12.978	Schley-2004	1
340.0	4.25	13.026	Schley-2004	-1
340.0	4.49	13.069	Schley-2004	-1
360.0	0.1	12.995	Schley-2004	1
360.0	0.2	13.018	Schley-2004	1
360.0	0.3	13.032	Schley-2004	1
360.0	0.4	13.044	Schley-2004	1
360.0	0.5	13.058	Schley-2004	1
360.0	0.6	13.067	Schley-2004	1
360.0	0.7	13.079	Schley-2004	1
360.0	0.8	13.092	Schley-2004	1
360.0	0.9	13.1	Schley-2004	1
360.0	1.0	13.114	Schley-2004	1
360.0	1.25	13.145	Schley-2004	1
360.0	1.5	13.176	Schley-2004	1
360.0	1.75	13.207	Schley-2004	1
360.0	2.0	13.238	Schley-2004	1
360.0	2.25	13.275	Schley-2004	1
360.0	2.5	13.31	Schley-2004	1
360.0	2.74	13.34	Schley-2004	1
360.0	3.0	13.377	Schley-2004	1
360.0	3.25	13.416	Schley-2004	1
360.0	3.5	13.454	Schley-2004	1
360.0	3.75	13.496	Schley-2004	-1
360.0	4.0	13.539	Schley-2004	-1
360.0	4.25	13.58	Schley-2004	-1
360.0	4.5	13.624	Schley-2004	-1
233.15	0.13	8.941	Evers-2002	1
233.15	3.15	9.743	Evers-2002	-1
263.15	0.13	9.969	Evers-2002	1
263.15	3.69	10.798	Evers-2002	-1
293.15	0.15	10.979	Evers-2002	1
293.15	0.16	10.977	Evers-2002	1
293.15	4.22	11.807	Evers-2002	-1
333.15	0.17	12.261	Evers-2002	1
373.15	0.19	13.479	Evers-2002	1
373.15	0.2	13.482	Evers-2002	1
423.15	0.21	14.901	Evers-2002	-1
473.15	0.23	16.28	Evers-2002	-1
523.15	0.26	17.577	Evers-2002	-1
523.15	0.27	17.59	Evers-2002	-1
273.1	1.06	10.53	van der Gulik-1992	1
273.1	1.43	10.58	van der Gulik-1992	1
273.1	1.81	10.59	van der Gulik-1992	1
273.1	2.61	10.82	van der Gulik-1992	1
273.1	3.01	10.79	van der Gulik-1992	1
273.1	3.57	11.0	van der Gulik-1992	1
273.1	4.24	11.16	van der Gulik-1992	-1
298.15	0.1	11.18	Kongo-1988	1
298.15	0.12	11.19	Kongo-1988	1
298.15	0.17	11.19	Kongo-1988	1
298.15	0.29	11.19	Kongo-1988	1
298.15	0.5	11.23	Kongo-1988	1
298.15	1.02	11.3	Kongo-1988	1
298.15	1.51	11.33	Kongo-1988	1
298.15	2.03	11.41	Kongo-1988	1
298.15	2.52	11.53	Kongo-1988	1
298.15	3.0	11.59	Kongo-1988	1
298.15	3.53	11.71	Kongo-1988	1
298.15	4.02	11.82	Kongo-1988	1
323.15	0.1	11.98	Kongo-1988	1
323.15	0.52	12.03	Kongo-1988	1
